topic_id,label,label_short,system_component,issue_type,severity,confidence,onset_mileage_typical_miles,onset_mileage_range,affected_engines,affected_years,known_part_codes,engine_notes,prevalence_pct,chronic_signal,summary,warning_signs,inspection_advice,data_quality,thread_count,notes
1,ABS and brake system electrical faults with associated warning lights,ABS/Brake Electrical,brakes,intermittent_fault,medium,high,,,"[""2.0_TSI""]",,[],,13.7,0.256,"This topic clusters complaints about ABS warning lights, brake system faults, and related electrical issues like exterior lighting and cruise control malfunctions. The data suggests recurring, often intermittent problems with the ABS control module and wheel speed sensors, leading to diagnostic challenges and unresolved warning lights despite brake system functionality.","[""ABS warning light illuminates intermittently"", ""Brake warning light activates alongside ABS/airbag lights"", ""Grinding noise or squealing from brakes, especially when turning""]","When buying a used VW Golf, check for any stored or historical ABS/brake fault codes and ensure all warning lights (ABS, brake, airbag) extinguish after startup; listen for abnormal brake noises during low-speed turns.",medium,168,"Most complaints lack specific engine data; issue appears across many model years (2000-2023) suggesting a persistent, platform-wide electrical/brake system vulnerability rather than a model-year-specific defect."
2,"Fuel system issues including fuel leaks, tank pressure problems, and evaporative emissions faults",Fuel system leaks,other,fluid_leak,high,high,,,"[""2.0_TSI""]",2015-2017,[],"Primarily affects 2.0 TSI gasoline engines, with minimal diesel (TDI) representation in complaints.",10.0,0.18,"This topic represents fuel system complaints including fuel leaks from the tank, charcoal canister saturation, and evaporative emissions system faults. Complaints describe strong fuel odors, visible leaks near rear wheels, fuel tank bulging from pressure, and check engine lights with codes like P0456.","[""Strong fuel odor around vehicle"", ""Check engine light with evaporative emissions codes"", ""Visible fuel leaks near rear wheels"", ""Fuel gauge dropping rapidly""]","Check for fuel odors around the vehicle, inspect for fuel stains near the rear wheels and fuel tank area, and scan for evaporative emissions fault codes (P0456 common).",medium,122,High prevalence in 2015-2017 model years suggests a potential manufacturing period issue. Limited mileage data prevents age-based analysis. US market only.
3,"Intermittent engine power loss and stalling, often with ignition coil or electrical system faults",Engine power loss,electrical,intermittent_fault,high,medium,,,"[""1.8_TSI"", ""2.0_TSI"", ""TDI_unknown""]",2000-2019,"[{""code"": ""06B905115"", ""name"": ""Ignition coil (1.8T/2.0T)"", ""notes"": ""Common failure on EA113/EA888 engines, causes misfire and power loss""}]","Complaints span multiple engine generations (EA113 1.8T, EA888 2.0T, and TDIs), suggesting electrical/ignition system issues rather than engine-family-specific mechanical faults.",9.8,0.3,"This topic describes dangerous intermittent engine power loss and stalling events, often during acceleration or lane changes, with symptoms including rough idling, hesitation, and check engine lights. Complaints frequently mention ignition coil failures (especially on 1.8T engines) and electrical system faults affecting multiple model years.","[""Sudden loss of power during acceleration"", ""Check engine light with flashing misfire indication"", ""Rough idling or engine hesitation before stalling""]","Check for stored fault codes related to misfires (P0300-P0304) and ignition system faults. Inspect ignition coils for cracks or carbon tracking, especially on 1.8T and 2.0T engines.",medium,120,"Engine spec data is limited (90% unknown), but complaints span 2000-2019 model years with both gasoline and diesel engines affected, suggesting a broad electrical/ignition system issue pattern."
4,Diesel high-pressure fuel pump failure causing sudden engine stall,HPFP failure,engine,chronic_failure,high,high,,,"[""2.0_TDI""]",2010-2013,"[{""code"": ""03L130755"", ""name"": ""High-pressure fuel pump (HPFP)"", ""notes"": ""EA189 diesel engine; metal fragments from pump failure contaminate entire fuel system""}]","Affects EA189 2.0 TDI engines (US market Golf TDI) from 2010-2013, with complaints peaking in 2011 models.",7.4,0.33,"Multiple complaints describe sudden engine stall while driving, often preceded by flashing glow plug warning light and check engine light. Failures typically require complete fuel system replacement due to metal contamination from the high-pressure fuel pump.","[""Flashing glow plug warning light"", ""Sudden loss of power followed by engine stall"", ""Loud whining or clicking noise from fuel pump""]",Check service history for HPFP replacement on 2010-2013 Golf TDI models; ask if fuel system was ever contaminated with metal fragments.,medium,91,"US market only affects 2.0 TDI (EA189); 36.3% of complaints specifically identified as TDI, with strong statistical association to diesel fuel system components."
5,Coolant leak from thermostat housing and water pump assembly,Thermostat housing leak,cooling,fluid_leak,medium,high,,40k-75k miles,"[""2.0_TSI"", ""1.8_TSI""]",2015-2019,"[{""code"": ""EA888 Gen3"", ""name"": ""Thermostat housing assembly"", ""notes"": ""Plastic housing prone to cracking and leaking coolant""}]",Issue specifically mentioned for EA888 Gen 3 engines (1.8L and 2.0L TSI) in complaint snippets.,5.4,0.288,"Recurring coolant leaks from the thermostat housing and water pump assembly, particularly in EA888 Gen 3 engines (1.8L and 2.0L TSI). Complaints indicate this is a known manufacturing defect with plastic components failing, leading to coolant loss and potential overheating.","[""Low coolant warning light"", ""Coolant puddles under engine bay"", ""Frequent need to refill coolant reservoir""]","Check for coolant residue around the thermostat housing and water pump area, inspect coolant level and condition, and look for any signs of previous repairs in this area.",medium,66,"US market data shows strong pattern in 2015-2019 model years, though engine spec data is mostly unknown (90.9%). Complaint snippets specifically reference EA888 Gen 3 engines."
6,Suspension and wheel noise issues including coil spring failures and structural noises,Suspension Noise,suspension,noise,medium,high,,,"[""2.0_TSI""]",2000-2020,[],,5.3,0.123,"This topic captures complaints about suspension-related noises, particularly coil spring failures and structural noises from the body and pillars. Complaints describe loud popping, clanking, and knocking sounds during suspension cycles, often accompanied by handling instability.","[""Loud popping or clanking noise from rear suspension over bumps"", ""Knocking sound from B-pillar during tight turns or elevation changes"", ""Creaking noise from front suspension during compression cycles""]","Check for broken coil springs, particularly rear springs, and listen for suspension noises during test drive over bumps and during turning maneuvers.",medium,65,"Engine data is mostly unknown (89.2%), limiting engine-specific analysis. Complaints span multiple generations (2000-2020) suggesting this is not model-year specific."
7,Airbag deployment failures and unintended deployments,Airbag malfunctions,other,intermittent_fault,high,medium,,,[],2000-2004,[],,4.8,0.085,"This topic captures complaints about airbag systems failing to deploy during collisions or deploying unexpectedly without impact. Complaints describe serious accidents where airbags did not activate despite significant damage, and incidents where airbags deployed spontaneously during normal driving.","[""Airbag warning light illuminated"", ""Previous reports of unintended deployment"", ""Vehicle involved in prior collision with airbag non-deployment""]",Check for airbag warning lights and review vehicle history for any airbag-related incidents or repairs. Verify recall status for airbag systems.,medium,59,"Strongly concentrated in early 2000s models (2000-2004). Engine data is mostly unknown, suggesting this is not engine-specific but rather a vehicle-wide safety system issue."
8,Takata airbag recall parts availability and deployment failure complaints,Takata airbag recall,other,other,high,high,,,"[""unknown"", ""TDI_unknown"", ""2.0_TSI""]",2000-2018,[],,4.4,0.352,"This topic consists of complaints related to the Takata airbag recall, specifically focusing on parts unavailability, delayed notifications, and actual airbag deployment failures during accidents. Owners report waiting over a year for replacement parts while driving with potentially lethal airbag inflators, and some describe accidents where airbags failed to deploy entirely.","[""Airbag warning light illuminated"", ""Steering wheel controls (horn, volume, cruise) not functioning"", ""Official recall notice received but no remedy available""]",Check for open Takata airbag recalls by VIN and verify completion; inspect for airbag warning lights and test all steering wheel controls including horn function.,high,54,This is a regulatory recall issue rather than a mechanical reliability pattern; complaints span multiple generations and engine types because the Takata recall affected many vehicle models across manufacturers.
9,"Airbag and seat belt warning light illumination, often due to sensor or wiring faults",Airbag Warning Light,electrical,sensor_fault,high,high,,,[],2000-2017,[],,5.5,0.358,"This topic clusters complaints about airbag and seat belt warning lights illuminating, indicating a fault in the supplemental restraint system (SRS). Common causes reported include failed sensors in the seat belt latches, wiring harness issues (e.g., high resistance, chafed wires), and in some cases, a failed airbag module itself.","[""Airbag warning light illuminated on dashboard"", ""Intermittent or permanent SRS fault indication""]","When buying a used VW Golf, ensure no airbag warning light is illuminated during the pre-start and drive cycle; a diagnostic scan for SRS fault codes is highly recommended, especially on older models (2000-2005).",medium,67,Complaints span many model years but are heavily weighted toward older vehicles (2000-2005); engine spec is mostly unknown as this is an electrical/safety system issue not tied to a specific powertrain.
10,Excessive oil consumption and oil pan issues with check engine light warnings,Oil consumption,engine,chronic_failure,high,medium,,,"[""1.8_TSI"", ""2.0_TSI"", ""1.4_TSI""]",2000-2017,"[{""code"": ""EA111"", ""name"": ""EA111 engine family"", ""notes"": ""Piston rings and valve stem seals known for oil consumption in pre-2014 1.4 TSI and 1.2 TSI engines""}, {""code"": ""EA211"", ""name"": ""EA211 engine family"", ""notes"": ""Post-2014 engines with improved oil consumption design""}]","Primarily affects EA111 petrol engines (1.4 TSI, 1.8 TSI) from pre-2014 production years, with complaints mentioning 1 quart per 700-1000 miles consumption.",4.0,0.184,"Owners report excessive oil consumption (1 quart per 700-1000 miles) with check engine light illumination, often dismissed by dealers as 'normal' for modern engines. Complaints span multiple model years (2000-2017) with recurring themes of oil pan issues, turbo concerns, and diagnostic charges for unresolved problems.","[""Check engine light illumination"", ""Frequent need to add oil between changes"", ""Smoke from tailpipe during acceleration"", ""Dealer stating 1 quart per 1000 miles is normal""]","Check oil level and consumption history, look for oil leaks around pan and turbo, scan for stored engine codes related to oil pressure or temperature sensors.",medium,49,"US market data shows strong correlation with EA111 engine family (pre-2014), though engine spec data is mostly unknown in complaints. Includes some TDI complaints possibly related to turbo/oil system."
