topic_id,label,label_short,system_component,issue_type,severity,confidence,onset_mileage_typical_km,onset_mileage_range,affected_engines,affected_years,engine_family_codes,known_part_codes,engine_notes,prevalence_pct,chronic_signal,summary,warning_signs,inspection_advice,data_quality,thread_count,notes
1,"Motor oil selection, quality, and maintenance discussions",Oil selection,engine,other,low,high,,,"[""all""]",all,[],[],"Discussions span all major engine families (D4F, H4Bt, H5Ft, H4D, K9K) with no specific failure pattern.",5.2,0.605,"This topic represents general forum discussions about motor oil brands, viscosities (5w30, 5w40, 10w40), and maintenance advice, not a specific mechanical failure. The high chronic signal indicates recurring, unresolved questions about oil selection and quality, but the FREX terms (liqui, moly, castrol, motul, elf) and snippets show it is an advisory/opinion topic.","[""Confusion over correct oil viscosity (5w30 vs 5w40)"", ""Seeking recommendations for 'highest quality' oil brands""]",Consult the vehicle's manual for the manufacturer's specified oil grade and change intervals.,high,72,"This is a maintenance discussion topic, not a fault topic. The engine breakdown and covariates show broad, non-specific engagement across all engine types. The 'chronic' signal reflects persistent community questions, not a chronic failure."
2,"Steering rack/column noise and potential failure, often reported under warranty",Steering Rack Noise,suspension,chronic_failure,medium,medium,14000.0,3760-44000 km,"[""all""]",all,[],[],Evidence is not engine-specific; complaints span all engine groups with no clear concentration.,8.7,1.35,"A prevalent issue involving ticking, creaking, or buzzing noises from the steering column/rack, often reported in low-mileage vehicles under warranty. Complaints are chronic and unresolved, leading to repeated service visits and warranty claims.","[""Ticking or creaking noise from steering column, especially on startup or at low speeds"", ""Buzzing or vibration from the dashboard area when accelerating or turning""]","Listen for steering column noises during startup, low-speed maneuvers, and acceleration. Check for play or roughness in the steering rack and inspect mounting points.",medium,154,"High proportion of 'unknown' engine data limits precise engine mapping. FREX terms strongly indicate steering ('direksiyon') and gearbox ('kutusu') related noise, but the primary issue appears to be steering-related. Covariate effects show no significant engine-specific risk, supporting a broad issue."
3,"Headlight condensation, fogging, and LED upgrade discussions",Headlight condensation,lighting,other,low,medium,,,"[""all""]",all,[],[],No specific engine pattern identified; topic appears across all engine groups and generations.,5.0,0.956,"Discussions center on headlight condensation (fogging) and aftermarket LED upgrades. The topic shows a high chronic signal, indicating repeated, unresolved complaints about moisture in headlight assemblies.","[""Condensation or fog inside headlight unit"", ""Moisture buildup after washing or rain"", ""Discussions about LED bulb upgrades or replacements""]",Check headlight seals and ventilation valves for integrity. Inspect for cracks or damage to the housing that may allow moisture ingress.,medium,70,"FREX terms strongly indicate headlight (far/farlar) and condensation (bugu) issues, but representative snippets are off-topic, discussing unrelated features and OBD scanners. The high chronic signal and consistent terms suggest a real, recurring complaint, but snippet mismatch introduces uncertainty about the exact nature of user problems. Engine breakdown is dominated by 'unknown' (90%), preventing specific engine targeting. Covariate effects show no strong engine-specific signal, supporting a 'all' engines designation."
4,"Brake system warnings and emissions control alerts, often with ABS/ESC faults",Brake/Emissions Warnings,brakes,sensor_fault,medium,medium,32500.0,8500-100000 km,"[""all""]",all,[],[],"Evidence is broad across engine groups, with significant covariate effects for many, including 1.5_DCI, 0.9_TCE, and 1.2_TCE, but the majority of threads have unknown engine specification.",6.0,1.153,"A cluster of complaints related to dashboard warning lights for ABS/ESC, brake wear, and emissions control (clean/carbon/sondu). Issues appear intermittently and are often diagnosed as sensor faults or linked to fuel quality. The problem spans multiple generations and engine types, with no clear single mechanical root cause.","[""ABS/ESC warning light illumination"", ""Dashboard message prompting 'egzoz emisyon kontrol ettirin' (exhaust emission control check)""]","Diagnose using an OBD scanner for fault codes related to ABS, wheel speed sensors, or emissions systems. Check brake pad wear sensors and inspect for simple electrical connection issues before major component replacement.",medium,82,"Topic appears to mix distinct but co-occurring issues: brake system (ABS, balata) warnings and emissions/exhaust (emisyon, clean, carbon) faults. The 'chronic_signal' is above 1.0, but snippets show varied, intermittent complaints rather than a single chronic mechanical failure. High proportion of 'unknown' engine data limits precise engine targeting."
5,Manual transmission clutch and gearbox engagement issues,Clutch/Gearbox Issues,gearbox,chronic_failure,medium,high,41500.0,18000-100000 km,"[""all""]",all,[],[],"Evidence spans multiple engine groups (DCI, TCE, NA) across all generations, but specific engine family mapping is unclear due to high 'unknown' rates.",9.7,0.875,"Chronic complaints regarding clutch operation, gear engagement, and gearbox failures in manual transmission Renault Clios. Issues include clutch judder, difficulty shifting gears, and premature gearbox component failure.","[""Clutch judder or vibration during take-off"", ""Difficulty engaging or shifting gears, especially 2nd to 3rd"", ""Gearbox warning messages or unexpected neutral drops""]","Inspect clutch assembly (pressure plate, clutch disc, release bearing) and gearbox internals for wear or damage. Check for proper hydraulic system operation if applicable.",medium,159,"High proportion of 'unknown' engine data (76.1%) limits precise engine targeting. Covariate effects show all engine groups have similar, significant association with the topic, supporting a broad 'all engines' classification. The issue appears consistently across all year cohorts (pre-2013, 2013-2019, 2020+)."
6,"Air conditioning (A/C) performance and tire discussions, including seasonal tire regulations and compressor operation",A/C & Tire Talk,other,other,low,medium,,,"[""all""]",all,[],[],No specific engine failure pattern identified; topic is dominated by general discussions.,4.5,0.837,"This topic captures general forum discussions about air conditioning system operation, performance, and efficiency, often intertwined with conversations about tires (brands, sizes, seasonal regulations). The high chronic signal indicates recurring, unresolved questions and shared experiences rather than a chronic mechanical failure.","[""Questions about A/C cooling efficiency or compressor operation"", ""Discussions comparing tire brands (e.g., Goodyear, Michelin) and sizes (e.g., 205/55)""]","If concerned about A/C performance, verify refrigerant levels and compressor clutch operation. For tires, check manufacturing date and ensure compliance with seasonal regulations.",medium,67,"Topic is a mixed bag of general owner discussions (A/C, tires) rather than a specific fault. High 'unknown' engine percentage and broad covariate effects support a non-engine-specific topic. The chronic signal likely reflects persistent user questions, not a chronic part failure."
7,"Idle instability, stalling, and ignition system faults",Idle/Stalling Issues,engine,chronic_failure,high,medium,45000.0,4000-138000 km,"[""all""]",all,[],[],"Evidence points to a broad issue across many engine types, with strong signals for older NA petrol (1.4, 1.6) and some TCE/DCI models.",15.6,0.905,"A widespread and chronic issue characterized by unstable idle (rolanti), engine stalling (istop), and misfiring, often linked to ignition components (buji, bobin, atesleme), throttle body (kelebegi), and sensors. Complaints span multiple generations and engine types, with many unresolved cases requiring repeated repairs.","[""Unstable or rough idle (rolanti dalgalanma)"", ""Engine stalling, especially at idle or low speed""]","Prioritize checking ignition coils, spark plugs, throttle body and its sensor, and crankshaft/camshaft position sensors. For LPG-converted vehicles, also inspect the LPG system's interaction with ignition timing.",medium,249,"High proportion of 'unknown' engine data (77.5%) limits precise engine targeting. Covariate effects show all listed engine groups have similar, significant estimates, suggesting a systemic issue not confined to one family. Snippets and FREX terms strongly indicate ignition/throttle body faults, but the broad engine spread and high chronic signal point to a pervasive, hard-to-resolve problem pattern."
8,High fuel consumption complaints across multiple engine types,High Fuel Consumption,engine,other,medium,high,,,"[""all""]",all,[],[],"Complaints span petrol (TCE, NA) and diesel (DCI) engines across all generations.",6.6,0.819,"A prevalent topic of user complaints regarding higher-than-expected fuel consumption (yakıt tüketimi) across various Renault Clio models and engine types. Discussions frequently compare actual consumption to factory figures, express buyer's remorse over engine choice, and share personal consumption averages.","[""Fuel consumption significantly exceeding factory advertised figures (e.g., 10-11 L/100km vs. 6.6 L/100km)"", ""Owner expressions of regret or concern over engine choice based on fuel efficiency""]","Verify driving conditions and style, as complaints are highly subjective and often lack mechanical fault diagnosis. Consider checking for basic maintenance issues like air filters, tire pressure, and potential sensor faults if consumption is extreme.",high,109,"The issue is defined by subjective owner complaints rather than a diagnosed mechanical fault. High 'unknown' engine percentage and broad engine distribution suggest a general ownership concern topic. Chronic signal is high, indicating persistent, unresolved discussion. Covariate effects are uniformly significant but very similar across all engine groups, supporting a broad, non-specific issue."
9,"Cooling system issues including coolant loss, overheating, and thermostat/water pump problems",Cooling System Faults,cooling,chronic_failure,medium,high,12000.0,4000-88000 km,"[""all""]",all,[],[],"Evidence spans multiple engine groups, but specific family codes cannot be reliably inferred due to high 'unknown' proportion.",9.8,0.684,"A prevalent and chronic topic concerning cooling system malfunctions, characterized by coolant loss (antifriz eksiltme), overheating (hararet), and failures of components like the thermostat, water pump (devirdaim), and hoses. Complaints are reported across multiple Clio generations and engine types, often requiring repeated repairs.","[""Coolant level dropping (antifriz eksiltme)"", ""Engine overheating (hararet) especially in stop-and-go traffic"", ""Swelling or leaking coolant hoses"", ""Cooling fan running continuously or not activating properly""]","Check for coolant leaks at the thermostat housing, water pump, radiator, and hoses. Monitor coolant level and engine temperature gauge, and test the cooling fan operation.",medium,162,"High proportion (79%) of threads have unknown engine group, limiting precise engine targeting. Covariate effects show all engine groups have similar, significant association with the topic, supporting a broad 'all engines' classification. The chronic signal and snippets indicate recurring, unresolved complaints."
10,"General vehicle comparison, specification, and purchase discussion",Specs & Purchase,other,other,low,high,,,"[""all""]",all,[],[],"Discussion spans multiple engine types (1.5 DCI, 1.2 NA, 0.9 TCE, 1.4 NA) with no single engine dominant enough to isolate.",6.8,0.497,"This topic captures general forum discussions about vehicle comparisons, specifications, trim levels (e.g., Icon, Authentique, Executive), and purchase considerations. It is not indicative of a mechanical failure or fault.","[""Comparing specifications between model years"", ""Discussing trim levels and equipment packages""]",Not applicable; this is a non-technical discussion topic.,high,86,"FREX and PROB terms (bg, edition, table, executive, authentique, 2007, tourer) strongly indicate discussion of vehicle specs, trims, and model years. Snippets show users comparing cars, trims, engines (e.g., 1.5 DCI vs. 1.2 NA, manual vs. EDC), and purchase experiences. The chronic signal is moderate but reflects ongoing, general discussion, not a chronic failure. Engine breakdown is mixed, and covariate effects are uniformly low and similar across all engine groups, confirming no specific fault association."
