topic_id,label,label_short,system_component,issue_type,severity,confidence,onset_mileage_typical_miles,onset_mileage_range,affected_engines,affected_years,known_part_codes,engine_notes,prevalence_pct,chronic_signal,summary,warning_signs,inspection_advice,data_quality,thread_count,notes
1,"General ownership experience, model comparisons, and purchase advice for Golf GTI/R models",Ownership & Purchase,other,other,low,high,,,"[""2.0_TSI"", ""2.0_TDI"", ""1.4_TSI"", ""1.6_TDI"", ""1.5_TSI"", ""1.8_TSI"", ""1.0_TSI""]",2013-2020,[],,12.7,1.835,"This topic captures general discussion threads about Golf ownership, including model comparisons (e.g., GTI vs. R vs. Cupra/S3), purchase advice on mileage and specifications, and sharing of technical documentation. The data shows a strong focus on the 2.0 TSI engine (86% of threads) and models from 2013-2020, with discussions recurring over time but not indicating a specific mechanical fault.","[""Seeking advice on optimal mileage for used purchase"", ""Comparing handling and performance between Golf variants and competitors""]","When buying, review the vehicle's service history thoroughly and consider the intended use case versus model variants (GTI vs. R vs. GTD).",high,339,"This is a general discussion topic, not a specific failure mode. The high prevalence and chronic signal score reflect recurring owner questions and shared experiences rather than an unresolved technical problem. The negative coefficient for 'engine_spec_reg_2.0_TSI' suggests this topic is slightly less prevalent for that engine relative to others in the full corpus, despite it being the dominant engine in the topic."
2,"Suspension and chassis rattles, creaks, and clonking noises",Suspension rattles,suspension,noise,low,high,16000.0,2000-40000 miles,"[""2.0_TSI""]",2013-2020,[],No specific engine-related failure pattern; issue appears chassis/suspension focused and affects 2.0 TSI (GTI/R) models predominantly.,7.4,1.106,"This topic captures recurring complaints about rattling, creaking, clonking, and banging noises from the suspension/chassis, often described as excessive for the vehicle's age and mileage. The issue appears early in vehicle life (median 16k miles) and is particularly associated with 2.0 TSI (GTI/R) models, suggesting possible suspension bushing, mount, or shock absorber concerns.","[""Creaking or clonking noises over bumps"", ""Rattling/buzzing that is intermittent and hard to locate"", ""Noise described as excessive for vehicle age""]","Test drive over varied road surfaces and listen for suspension creaks/clonks; check suspension bushes, shock absorber mounts, and engine/transmission mounts for wear.",high,198,"High proportion of 'unknown' engine specs (34.8%) reduces precision; topic terms are generic ('rattle', 'noises') which could encompass multiple underlying issues."
3,Cooling system thermostat and water pump leaks,Thermostat/Water Pump,cooling,fluid_leak,medium,high,27000.0,8000-54000 miles,"[""2.0_TSI"", ""2.0_TDI""]",2012-2019,[],"Primarily affects 2.0 TSI (GTI/R) engines, with a strong signal for 2.0 TDI as well; no specific engine family pattern from provided knowledge.",5.9,1.306,"A recurring issue involving coolant leaks from the thermostat housing and/or water pump, often presenting with erratic temperature gauge readings, low coolant levels, and occasional overheating warnings. The problem is prevalent at moderate mileages and appears across multiple model years, with a significant association with higher logged mileage.","[""Coolant level dropping below minimum"", ""Erratic temperature gauge movement between 80-90°C"", ""Low oil temperature reading"", ""Coolant smell or visible leak"", ""EPC light/limp mode with overheating codes (e.g., P00B7)""]","Check for coolant leaks around the thermostat housing and water pump, inspect coolant level when cold, and look for fault codes related to cooling system performance or temperature sensors.",high,157,"A large portion of threads have unknown engine spec (25.5%), which may obscure specific engine model patterns. The regression shows a strong positive coefficient for 'engine_spec_reg_unknown', suggesting these unspecified cases are highly associated with the topic."
4,Routine service and maintenance scheduling confusion,Service Scheduling,other,other,low,high,,,"[""2.0_TSI"", ""2.0_TDI""]",,[],,5.5,1.205,"This topic reflects recurring owner confusion and discussion about routine service intervals, costs, and what is included in minor/major services, particularly for newer vehicles. The data shows a focus on oil changes, filters, brake fluid, and inspection services, with many questions arising from VW's move away from physical service books and the use of flexible/long-life service regimes.","[""Service indicator displaying conflicting messages (e.g., oil change vs. inspection at different intervals)"", ""Uncertainty about what constitutes a minor vs. major service for a given model year""]",Check the vehicle's digital service history and confirm whether it is on a fixed or flexible (long-life) service schedule. Verify that the service indicator messages align with the car's age and mileage.,high,146,This is not a mechanical failure topic but a high-prevalence informational topic about maintenance. The strong representation of 2.0_TSI (GTI/R) engines and newer model years (2013-2021) suggests it is particularly relevant for performance models and vehicles under warranty or lease plans.
5,Brake disc and pad wear and replacement discussions,Brake wear,brakes,wear_item,low,high,15000.0,4200-38800 miles,"[""2.0_TSI""]",2013-2020,[],"The issue is strongly associated with the 2.0 TSI engine (GTI/R), but this likely reflects higher performance use rather than a specific engine fault.",5.2,1.022,"This is a high-prevalence topic concerning the routine wear and replacement of brake discs and pads, particularly for higher-performance 2.0 TSI models. Discussions focus on sourcing parts (OEM vs. aftermarket like Brembo, Pagid), high dealer/independent workshop costs, and checking wear levels, with no evidence of a systemic manufacturing defect.","[""Brake wear warning light or sensor trigger"", ""Visual inspection shows low pad thickness or scored discs"", ""Increased stopping distance or brake noise""]","When buying, check the reported thickness of front and rear discs and pads against OEM specifications; high costs for replacement are common, especially for performance models.",high,138,"The strong positive coefficient for 'engine_spec_reg_unknown' suggests many posts lack engine detail, but the clear association with 2.0 TSI and typical wear-and-tear topic indicates this is not a critical failure mode."
6,Exhaust and intake modifications for sound and performance,Exhaust/Intake Mods,exhaust,other,low,high,,,"[""2.0_TSI"", ""2.0_TDI"", ""1.8_TSI"", ""1.0_TSI"", ""1.4_GTE""]",2013-2019,[],"Predominantly affects 2.0 TSI (GTI/R) engines, but also appears in TDI and other TSI variants.",4.7,0.92,"This topic captures enthusiast discussions about aftermarket exhaust and intake modifications, including resonator deletes, downpipes, GPF/cat replacements, and brands like Milltek and Akrapovic. The focus is on enhancing sound and performance rather than reporting mechanical failures.","[""Owner interest in aftermarket exhaust or intake components"", ""Mentions of brands like Milltek, Scorpion, Akrapovic, or APR"", ""Discussions about resonator deletes or downpipe replacements""]","Check for aftermarket exhaust components, intake modifications, or tuning parts, and verify if any emissions-related components (GPF/cat) have been removed or altered.",high,125,"This is not a failure topic but a modification interest topic. High chronic signal suggests recurring enthusiast discussion rather than unresolved complaints. The low median mileage (7,000 miles) indicates modifications are often considered early in ownership."
7,Intermittent EPC light and limp mode triggered by misfire or electrical fault,EPC/Limp Mode,electrical,intermittent_fault,medium,medium,14208.0,4k-39k miles,"[""2.0_TSI""]",2013-2015,[],"Primarily observed in 2.0 TSI (EA888) engines, with a strong negative coefficient for 2.0 TDI suggesting this is a petrol-specific electrical/ignition issue.",4.6,1.016,"This topic describes recurring incidents where the EPC warning light illuminates, often accompanied by engine misfire, rough running, and the vehicle entering a protective 'limp mode', frequently during or after idling in traffic. The fault codes can sometimes be cleared temporarily by restarting the engine, but often recur, indicating an underlying intermittent sensor or ignition component failure.","[""EPC warning light on dashboard"", ""Engine enters limp mode, limiting power and RPM"", ""Engine misfire or rough idle, especially when hot or in traffic""]","When buying, check for any stored fault codes related to ignition coils, spark plugs, or throttle body; a history of recurring EPC lights, even if cleared, is a red flag.",medium,124,"High proportion of 'unknown' engine specs (41.9%) limits precise engine family mapping; topic terms are generic ('codes', 'scan', 'limp'), so the root cause (e.g., specific sensor, coil pack) is not explicitly identified in the provided data bundle."
8,"Vehicle acquisition, finance, and resale discussions for newer Golf GTI models",Finance & Resale,other,other,low,high,,,"[""2.0_TSI""]",2013-2020,[],,4.4,1.822,"This topic is not a technical fault but centers on financial and ownership lifecycle discussions for newer, often low-mileage Golf GTI models. Threads focus on PCP/lease deals, part-exchange, valuations (WBAC), and the decision-making process for acquiring or selling a vehicle.","[""High financial commitment on a PCP/lease contract"", ""Rapid depreciation or poor trade-in valuation""]","When considering a car from this topic, verify its full service history and check for any outstanding finance.",high,118,"The topic's high chronic signal score indicates recurring, unresolved discussions about finance and market value, not a mechanical problem. The strong association with the 'technical_bucket_medium' covariate suggests these discussions often occur in threads with some technical content, but the core theme is non-technical."
9,"Engine tuning, remapping, and throttle response modifications",Tuning & Remapping,engine,other,low,high,,,"[""2.0_TSI"", ""2.0_TDI"", ""1.4_TSI"", ""1.6_TDI"", ""1.9_TDI""]",2013-2020,[],"Overwhelmingly discussed for the 2.0 TSI (GTI/R) engine, with strong positive coefficient indicating this is a GTI/R owner topic.",4.1,1.431,"This topic captures enthusiast discussions about aftermarket engine tuning, including ECU remaps (Revo, APR, Unicorn) and plug-in tuning boxes (DTUK). The dialogue focuses on performance gains, brand comparisons, warranty implications, and compatibility issues, particularly with locked ECUs on newer models.","[""Interest in increased power/torque"", ""Researching tuning brands and options"", ""Concerns about clutch durability post-tune""]","Check for aftermarket tuning boxes or evidence of ECU remapping (dealer stamps, software stickers) if seeking an unmodified vehicle, and inquire about any associated warranty work.",high,109,"This is not a fault or failure topic, but a high-prevalence discussion topic among performance-oriented owners. The low median mileage (7,500 miles) suggests tuning is considered early in ownership."
10,"New car ownership experience, specification discussions, and initial impressions",New car experience,other,other,low,high,,,"[""2.0_TSI"", ""2.0_TDI""]",2009-2019,[],,5.1,1.75,"This topic captures discussions from new or prospective owners about their initial experiences, test drives, and vehicle specifications. The data shows a strong association with low-mileage vehicles (median 5k miles) and the 2.0 TSI engine, indicating this is primarily about the early ownership phase rather than a mechanical fault.",[],"Not applicable - this topic relates to purchase decisions and initial impressions, not a fault to inspect for.",high,136,"Topic terms (dcc, leather, seats, grey, nav, dynaudio, carbon, keyless, non pp, interior) and representative snippets clearly indicate discussions about optional equipment, colors, and first drives. The negative coefficient for mileage_log confirms this topic is less prevalent as mileage increases."
