thread_name,thread_url,engine_code,engine_spec,prod_year,message,reason
1.5 dci clio sesli calisma problemi,https://www.otoclubturkiye.com/forum/topic/189696-15-dci-clio-sesli-%C3%A7al%C4%B1%C5%9Fma-problemi/,1.5_DCI,1.5_DCI,2006,"Selamlar yakin zamanda kaza yaptigim 1.5 dci clio aracimin serviste tamponu kaputu ve camurlugu degisti araci is yogunlugu nedeni ile babam teslim aldi.Yolda gelirken dur kalk sikisik trafikte kalkis yaptiginda arac sesli calismaya baslamis sesi ford transit sesi gibi gaza bastikca artiyor bir kac yere gosterdim herkes farkli seyler soyledi.Kazadan dolayi sente atlamis olabilir dediler ,fakat kazadan sonra arabayi 100 km kullandik hic bir sorun yoktu.yagi yag filitresi mazot filitresi orjinal parcalari ile yeni degisti ,yag seviyesi vs hersey normal,sarsintilida calismiyor sadece motor sesi asiri artti ,gosterdigim ustalardan biri sanirim enjektorlerdi somunlarini gevsetti hepsindende mazot geliyordu 5 farkli yere gosterdim 5 ustada farkli seyler soyledi yarin servise goturecegim ayrica arac 2006 model 8.700 km de .ilk yag degisimi daha yeni yapildi problem sente atlamasi olabilirmi?",mechanical_or_context_signal
1.5 dci clio sesli calisma problemi,https://www.otoclubturkiye.com/forum/topic/189696-15-dci-clio-sesli-%C3%A7al%C4%B1%C5%9Fma-problemi/,1.5_DCI,1.5_DCI,2006,performans.. yakit tuketimi.. ?,short_signal
1.5 dci clio sesli calisma problemi,https://www.otoclubturkiye.com/forum/topic/189696-15-dci-clio-sesli-%C3%A7al%C4%B1%C5%9Fma-problemi/,1.5_DCI,1.5_DCI,2006,"Mehmet abi cekisinde herhangi degisiklik farketmedim sesli calismasindan sonra evden iki uc km uzaklitaki sanayiye kadar kullandim yuksek hizlara cikmadim.Yakit konusunda herhangi bir fikrim yok.problemden sonra 6 ,7 km kullandim sadece.motor sarsintilida calsmiyor ses haricinde problem gozukmuyor aracta.",mechanical_or_context_signal
1.5 dci clio sesli calisma problemi,https://www.otoclubturkiye.com/forum/topic/189696-15-dci-clio-sesli-%C3%A7al%C4%B1%C5%9Fma-problemi/,1.5_DCI,1.5_DCI,2006,abi oyle boyle degil traktor gibi calisiyor.Yolda gideren yayalar bile bakiyor bu ses ne diye.,mechanical_or_context_signal
1.5 dci clio sesli calisma problemi,https://www.otoclubturkiye.com/forum/topic/189696-15-dci-clio-sesli-%C3%A7al%C4%B1%C5%9Fma-problemi/,1.5_DCI,1.5_DCI,2006,"Kilyo da yanlis hatirlamiyor isem, sag onde altta, motor vibrasyonunu sonumleyen bir karsi agirlik gibi bir parca olmasi lazim, tam da carpilan yer orasi sanirim.",mechanical_or_context_signal
1.5 dci clio sesli calisma problemi,https://www.otoclubturkiye.com/forum/topic/189696-15-dci-clio-sesli-%C3%A7al%C4%B1%C5%9Fma-problemi/,1.5_DCI,1.5_DCI,2006,"Gecen ay ,Kardesimin kullandigi ve 2008 model 150 bindeki cliosu ,Yolda degisik sesler cikararak stop etti.Motor .krank piston,yay may ne varsa dagildi.Arac servis bakimliydi .Arabayi cekici marifetiyle yine yetkili servise getirdik ve yag bitmis bu yuzden de araba olmus dediler. Yapilan incelemede yag kacagi bulunamadi .Ben anladimki serviste bu arabaya ya yag konulmadi yada eksik konularak yollandi.Simdi bunlari niye anlattim .Servis diye cok da fazla guvenmeyin .Bir seyler eksik yada takildi diye yazilmius ve takilmamis olabilir.Hatta ,yeni denir kazali arabadan sokulup araciniza takilir siz sifir zannedersiniz. Ama su da bir gercek ki bu cliyolar acayip az yakiyor... 20 Subat 2010 tarihinde Hasan Basri Bayraktar tarafindan duzenlendi",mechanical_or_context_signal
1.5 dci clio sesli calisma problemi,https://www.otoclubturkiye.com/forum/topic/189696-15-dci-clio-sesli-%C3%A7al%C4%B1%C5%9Fma-problemi/,1.5_DCI,1.5_DCI,2006,"Araci yetkili renault servisine goturdum ve sentesinn atlamis oldugunu soylediler .sente 1 dis atlamis ,babam sanirim 1. vites dahil araci biraz sikistirmis devirsiz kullanma ve asiri motor freni yapildiginda atliyacagini soylediler,daha kotu sonuclari olabilecegini ucuz atlattigimizi soylediler.Triger kayisida 4 yilini doldurdugundan sokulmusken set olarak degistirttim.Kuzenimde servis calisani oldugundan indirimle 125 tl ye seti aldik iscilik almadilar.toplamda 30 dakikada arac hazir hale geldi.yardimlar icin herkese cok tesekkurler. Yakit konusuna gelince 2.3 granada ve ford ka dan sonra bu arac hic bir sey yakmiyor.",mechanical_or_context_signal
1.5 dci clio sesli calisma problemi,https://www.otoclubturkiye.com/forum/topic/189696-15-dci-clio-sesli-%C3%A7al%C4%B1%C5%9Fma-problemi/,1.5_DCI,1.5_DCI,2006,Yok kaza ile iliski kurmaldirlar.Zaten kazadan sonra 200 km ye yakin kullandim araci herhangi bir problem gozukmuyordu.,mechanical_or_context_signal
Clio Hb'de Tavan Lambasi Degisimi,https://www.otoclubturkiye.com/forum/topic/198246-clio-hbde-tavan-lambas%C4%B1-de%C4%9Fi%C5%9Fimi/,unknown,unknown,2010,eline saglik. eskisi 3 bolum 3 duyu vardi gibi ama sanirim degil.bu taktigin 2 duyu olarak gordum ama bir taraf bosta.taktigin buyuk goze sahip o nedenle galiba guzel aydinlatti.yanar haldeki resimler nerde? bende led calismasi sanmistim.ne zaman led yapacaksin? 5 Kasim 2010 tarihinde Oktay Toker tarafindan duzenlendi,medium_length_no_noise
Clio Hb'de Tavan Lambasi Degisimi,https://www.otoclubturkiye.com/forum/topic/198246-clio-hbde-tavan-lambas%C4%B1-de%C4%9Fi%C5%9Fimi/,unknown,unknown,2010,"Ariza isigi mi, bi ingiliz anahtari var, 10bin km de bir yaniyor, onu da silecek kolundaki yol bilgisayari dugmelerine ayni anda basinca resetleniyor hepsiburada.com da bi deneyeyim bakayim hazir olanlari...",mechanical_or_context_signal
Clio Hb'de Tavan Lambasi Degisimi,https://www.otoclubturkiye.com/forum/topic/198246-clio-hbde-tavan-lambas%C4%B1-de%C4%9Fi%C5%9Fimi/,unknown,unknown,2010,oluyor oluyor ben bugun aldim plaka icin http://cgi.ebay.com/ebaymotors/ws/eBayISAP...e=STRK:MEWAX:IT,mechanical_or_context_signal
Clio Hb'de Tavan Lambasi Degisimi,https://www.otoclubturkiye.com/forum/topic/198246-clio-hbde-tavan-lambas%C4%B1-de%C4%9Fi%C5%9Fimi/,unknown,unknown,2010,geceucusunda ahmet bey var direk ondan al urunleri gayet guzel.alanlar memnun. http://xenonmercek.com/ledler.html 5 Kasim 2010 tarihinde Oktay Toker tarafindan duzenlendi,medium_length_no_noise
Clio Hb'de Tavan Lambasi Degisimi,https://www.otoclubturkiye.com/forum/topic/198246-clio-hbde-tavan-lambas%C4%B1-de%C4%9Fi%C5%9Fimi/,unknown,unknown,2010,"Kendisiyle bi irtibata geceyim bakalim. Olursa guzel olur. Amacim cok aydinlanmasi degil, ekonomik aydinlanmasi. Bu site kendisine mi ait?",medium_length_no_noise
Clio Hb'de Tavan Lambasi Degisimi,https://www.otoclubturkiye.com/forum/topic/198246-clio-hbde-tavan-lambas%C4%B1-de%C4%9Fi%C5%9Fimi/,unknown,unknown,2010,Ya ebaydan almadan once burayi bilseydim iyi olurmus,medium_length_no_noise
