issue_id,label,system_component,affected_engines,affected_years,symptom,cause,fix,confidence,data_quality,source_videos,topic_id,topic_size,topic_top_terms,source,mention_count,distinct_channel_count,corroboration_count,engine_year_context,warning_signs,severity,merged_from_issue_ids,model_scope,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated,video_type_category,affected_engines_original,_scope_notes,affected_engines_trim_original
water_pump_coolant_leak,water pump and thermostat housing leaks,cooling,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.6_TDI"", ""1.8_TSI"", ""2.0_TDI"", ""2.0_TSI""]",early 2015 cars,"The water pump can fail at higher mileages, causing abnormal noises, vibrations, or erratic coolant temperatures.",Failing water pump or thermostat housing seal failure.,Replace water pump and/or thermostat housing assembly.,high,high,"[{""video_id"": ""Zskb3HeOWMA"", ""title"": ""Volkswagen Reliability... My Experience"", ""channel"": ""NewEnglandPete"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""b3YzKwG7HxI"", ""title"": ""7 Things To Look For BEFORE Buying An MK7 VW!"", ""channel"": ""Diego Arias"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""1PSOT7GacoA"", ""title"": ""Dead Misfire MK7 GTI, Another Shop Said Engine is TOAST"", ""channel"": ""HumbleMechanic"", ""video_type_category"": ""organic"", ""trim"": ""GTI""}, {""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""channel"": ""Calvin's Car Diary"", ""video_type_category"": ""organic"", ""trim"": ""R""}, {""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""channel"": ""Deutsche Auto Parts"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""Common Problems of VW MK7 GTI"", ""channel"": ""Lucas Huang"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}, {""video_id"": ""Lb2n9GpHgmk"", ""title"": ""How to Keep your GTI Running FOREVER - Reliability Mods & Tips!"", ""channel"": ""mk8Matt"", ""video_type_category"": ""organic"", ""trim"": ""GTI""}, {""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems"", ""channel"": ""CashedOutCars"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}, {""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""TDI""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}, {""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format"", ""trim"": ""TDI""}, {""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format"", ""trim"": ""R""}]",11,7,"[""yeah"", ""car"", ""know"", ""got"", ""okay"", ""weve"", ""youre"", ""sure"", ""good"", ""make sure""]",youtube,13,12,13,"[{""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4}, {""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3}, {""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}, {""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",[],low,"[""coolant_leak_thermostat_water_pump"", ""faulty_thermostat_housing_water_pump"", ""thermostat_water_pump_leak"", ""water_pump_coolant_leak"", ""water_pump_cover_stuck_closed"", ""water_pump_failure"", ""water_pump_leak"", ""water_pump_premature_failure""]","[""all_vw_golf_mk7""]","{""GTI"": 5, ""R"": 2, ""TDI"": 2, ""base"": 4}",4,mixed,8,False,"{""from_llm_year_phrase"": ""early 2015 cars"", ""from_llm_year_parsed"": [""2015""], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2015""}",2015,,,,
oil_consumption_clogged_scraper_rings,excessive oil consumption in TSI/TDI,engine,"[""1.2_TSI"", ""1.4_TSI"", ""2.0_TDI""]","mid-2014 (1.2/1.4 TSI), 2017 (1.2 TSI)","Excessive oil consumption requiring frequent top-ups, often appearing after 100,000-200,000 km.",Poorly designed oil scraper rings with small holes that clog with carbon; also faulty valve guides in some cylinder heads.,Engine rebuild with redesigned piston rings; valve guide replacement under warranty for some cases.,high,high,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""TDI""}, {""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""56T2XdwH4hU"", ""title"": ""Things I Wish I knew Before Buying a VW TDI"", ""channel"": ""Euro Driven"", ""video_type_category"": ""organic"", ""trim"": ""TDI""}, {""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format"", ""trim"": ""TDI""}, {""video_id"": ""ex_jlHto57E"", ""title"": ""Volkswagen’s 1.5 TSI engine: Common problems and advantages"", ""channel"": ""Dmitry Sapko"", ""video_type_category"": ""list_format"", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}, {""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""Lb2n9GpHgmk"", ""title"": ""How to Keep your GTI Running FOREVER - Reliability Mods & Tips!"", ""channel"": ""mk8Matt"", ""video_type_category"": ""organic"", ""trim"": ""GTI""}]",0,22,"[""engines"", ""tsi"", ""liter"", ""tdi"", ""issues"", ""consumption"", ""liter tsi"", ""oil consumption"", ""oil"", ""kilometers""]",youtube,8,7,8,"[{""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4}, {""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}, {""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3}]",[],low,"[""clogged_oil_scraper_rings"", ""oil_consumption_clogged_scraper_rings""]","[""diesel_only""]","{""GTI"": 2, ""TDI"": 3, ""base"": 3}",3,mixed,5,False,"{""from_llm_year_phrase"": ""mid-2014 (1.2/1.4 TSI), 2017 (1.2 TSI)"", ""from_llm_year_parsed"": [""2014"", ""2017""], ""from_transcript_context"": [""2014-2017""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2014-2017""}",2014-2017,,,,
sunroof_leak_squeak_crack,"sunroof leaks, squeaks, and cracks",body,[],,"Sunroofs on these cars are known to leak, squeak, squeal, and the roof can crack from the sunroof moving back and forth.",Design or manufacturing defect in the sunroof assembly or seals.,"Avoid sunroof-equipped models if possible; otherwise, inspect seals and mechanism for leaks and wear.",high,medium,"[{""video_id"": ""0mbw1oDtRC0"", ""title"": ""VW Golf Mk7 - Still a great car 10 years later?"", ""channel"": ""JJ on Cars"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""ex_jlHto57E"", ""title"": ""Volkswagen’s 1.5 TSI engine: Common problems and advantages"", ""channel"": ""Dmitry Sapko"", ""video_type_category"": ""list_format"", ""trim"": ""base""}, {""video_id"": ""wIKS8wlgu9I"", ""title"": ""VW Golf GTD - hidden features and ONE that could get you out of trouble!"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic"", ""trim"": ""GTD""}, {""video_id"": ""0KBFyZcZ_Cc"", ""title"": ""VW Golf GTD Review - after 8 years is it still any good?"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic"", ""trim"": ""GTD""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}, {""video_id"": ""PwzmaKYijOc"", ""title"": ""Volkswagen MK7 Golf GTI Buyer's Guide - Models, Engines, & Options"", ""channel"": ""FCP Euro"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""Common Problems of VW MK7 GTI"", ""channel"": ""Lucas Huang"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}]",1000,8,"[""gti"", ""mark"", ""golf"", ""car"", ""really"", ""horsepower"", ""little"", ""performance"", ""cars"", ""models""]",youtube,7,6,7,,[],low,"[""sunroof_leak_squeak_crack"", ""sunroof_leaks_squeaks_cracks""]","[""all_vw_golf_mk7""]","{""GTI"": 3, ""GTD"": 2, ""base"": 2}",3,mixed,4,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,,,
timing_belt_replacement_interval_confusion,confusing timing belt replacement intervals,engine,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.6_TDI"", ""2.0_TDI""]",,"Owners face confusion and expense over recommended timing belt replacement intervals, which have changed over time.","Volkswagen issued conflicting service recommendations for timing belt replacement intervals, ranging from 5 years/75k miles to 'lifetime' claims.","Replace timing belt and water pump at conservative intervals (e.g., 5-6 years or 150k miles) for long-term reliability.",high,high,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""ex_jlHto57E"", ""title"": ""Volkswagen’s 1.5 TSI engine: Common problems and advantages"", ""channel"": ""Dmitry Sapko"", ""video_type_category"": ""list_format"", ""trim"": ""base""}, {""video_id"": ""0KBFyZcZ_Cc"", ""title"": ""VW Golf GTD Review - after 8 years is it still any good?"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic"", ""trim"": ""GTD""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}]",1002,4,"[""belt"", ""kilometers"", ""timing"", ""chain"", ""replace"", ""200 000"", ""000 kilometers"", ""200"", ""000"", ""miles""]",youtube,4,4,4,"[{""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3, ""pre_years"": [2014, 2017]}, {""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4, ""pre_years"": [2014, 2017]}, {""engine"": ""1.5_TSI"", ""years"": ""2014-2024"", ""evidence_hits"": 6}]",,,,"[""all_vw_golf_mk7""]","{""GTI"": 1, ""GTD"": 1, ""base"": 2}",3,mixed,2,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(regex_enrichment, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2020""}",2013-2020,,,,
timing_chain_stretch_tensioner_failure,timing chain stretch and tensioner failure,engine,"[""1.8_TSI"", ""2.0_TSI""]",,"Rattling noise at cold start, especially around 200,000 km, with potential for catastrophic engine failure if chain jumps timing.","Timing chain stretch and tensioner wear, allowing excessive slack; camshaft adjuster seals can leak oil, causing erratic timing adjustment.","Replace timing chain, tensioner, guides, and camshaft adjuster seals; check tensioner extension (if >5 rings visible, replace chain system).",high,high,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""sWr0fpQVv20"", ""title"": ""Is this a New Common MK7 Engine Issue?"", ""channel"": ""Deutsche Auto Parts"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""1PSOT7GacoA"", ""title"": ""Dead Misfire MK7 GTI, Another Shop Said Engine is TOAST"", ""channel"": ""HumbleMechanic"", ""video_type_category"": ""organic"", ""trim"": ""GTI""}, {""video_id"": ""Lb2n9GpHgmk"", ""title"": ""How to Keep your GTI Running FOREVER - Reliability Mods & Tips!"", ""channel"": ""mk8Matt"", ""video_type_category"": ""organic"", ""trim"": ""GTI""}]",2001,8,"[""timing chain"", ""chain stretch"", ""chain tensioner"", ""chain rattle"", ""chain guide""]",youtube,4,4,4,,,,,"[""all_vw_golf_mk7""]","{""GTI"": 2, ""base"": 2}",2,mixed,2,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,,,
carbon_buildup_intake_valves,Carbon buildup on intake valves,engine,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]",,"Carbon deposits accumulate on the intake valves due to direct injection and pollution control systems, potentially requiring cleaning.",,,low,,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format"", ""trim"": ""GTI""}, {""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format"", ""trim"": ""TDI""}]",enum_augment,1,[],youtube,3,3,3,"[{""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4}, {""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}, {""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3}, {""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",[],low,"[""carbon_buildup_intake_valves"", ""intake_carbon_buildup""]","[""all_vw_golf_mk7""]","{""GTI"": 1, ""TDI"": 1, ""base"": 1}",3,mixed,2,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2013-2020""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(regex_enrichment, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2020""}",2013-2020,organic,,,
carbon_buildup_valve_spring_failure,carbon buildup causing valve spring failure,engine,"[""1.8_TSI"", ""2.0_TSI""]",,"Flashing check engine light, rough idle, misfires, and poor running due to carbon buildup on intake valves and potential valve spring failure.","Carbon buildup on intake valves from direct injection and PCV system recirculation, leading to valve sticking and eventual valve spring breakage.",Remove intake manifold to manually clean carbon deposits every ~100k miles; replace broken valve springs and timing chains during major repairs.,high,high,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""Watch This Before Buying a Volkswagen Golf MK7 2015-2021"", ""channel"": ""AutoMotivate"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""sWr0fpQVv20"", ""title"": ""Is this a New Common MK7 Engine Issue?"", ""channel"": ""Deutsche Auto Parts"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""1PSOT7GacoA"", ""title"": ""Dead Misfire MK7 GTI, Another Shop Said Engine is TOAST"", ""channel"": ""HumbleMechanic"", ""video_type_category"": ""organic"", ""trim"": ""GTI""}]",34,3,"[""cylinder"", ""going"", ""value"", ""misfire"", ""cam"", ""valve"", ""im"", ""plug"", ""intake"", ""im going""]",youtube,3,3,3,,,,,"[""all_vw_golf_mk7""]","{""GTI"": 1, ""base"": 2}",2,base,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2015-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2015-2020""}",2015-2020,,,,
dpf_egr_clogging_emissions,DPF/EGR clogging and emissions issues,exhaust,"[""1.6_TDI"", ""2.0_TDI""]",,"Warning lights, error codes, rough running, power problems, and DPF regeneration interruptions during short journeys.","EGR cooler clogging from exhaust gas recirculation, DPF soot accumulation from insufficient regeneration cycles, and complex emissions system design for regulations.","Strip down and clean EGR cooler system at high mileage, ensure proper DPF regeneration cycles through longer drives, and monitor for pending dieselgate-related investigations.",high,high,"[{""video_id"": ""56T2XdwH4hU"", ""title"": ""Things I Wish I knew Before Buying a VW TDI"", ""channel"": ""Euro Driven"", ""video_type_category"": ""organic"", ""trim"": ""TDI""}, {""video_id"": ""TtIKNOjBHDc"", ""title"": ""VW Golf MK7 (5G) How to tell if DPF regeneration is in progress?"", ""channel"": ""mr-fix"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format"", ""trim"": ""TDI""}]",2003,5,"[""dpf"", ""diesel particulate"", ""egr valve"", ""egr cooler"", ""adblue"", ""nox sensor""]",youtube,3,3,3,"[{""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",,,,"[""all_vw_golf_mk7""]","{""TDI"": 2, ""base"": 1}",2,TDI,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,,,
ea288_diesel_high_mileage_failures,"DPF regeneration, water pump, timing belt issues",engine,"[""1.6_TDI"", ""2.0_TDI""]",,"Driver notices DPF regeneration symptoms (increased idle, start/stop disabled), potential power loss from injectors, abnormal noises from water pump/tensioner, and coolant leaks.","High mileage wear on DPF system, water pump failure, timing belt degradation, injector wear, and EGR cooler clogging.","Complete DPF regeneration cycles, replace timing belt and oil pump belt before 200,000 km, inspect/replace water pump and injectors, clean EGR cooler.",high,high,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""TDI""}, {""video_id"": ""TtIKNOjBHDc"", ""title"": ""VW Golf MK7 (5G) How to tell if DPF regeneration is in progress?"", ""channel"": ""mr-fix"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format"", ""trim"": ""TDI""}]",36,3,"[""belt"", ""000 kilometers"", ""dpf"", ""kilometers"", ""timing belt"", ""000"", ""high"", ""pump"", ""water"", ""200 000""]",youtube,3,3,3,"[{""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",,,,"[""diesel_only""]","{""TDI"": 2, ""base"": 1}",2,TDI,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,,,
ea888_camshaft_phaser_failure,EA888 camshaft phaser failure and timing chain wear,engine,"[""1.8_TSI"", ""2.0_TSI""]",,"Rattling noise from upper timing cover, loss of drivability and performance, with timing hunting back and forth.","Camshaft adjuster (phaser) seal leakage causing inability to hold oil pressure, often due to low oil levels in 1.8T engines.","Replace camshaft and updated spool valve, requiring full timing chain service and cam cage resealing.",high,high,"[{""video_id"": ""sWr0fpQVv20"", ""title"": ""Is this a New Common MK7 Engine Issue?"", ""channel"": ""Deutsche Auto Parts"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""1PSOT7GacoA"", ""title"": ""Dead Misfire MK7 GTI, Another Shop Said Engine is TOAST"", ""channel"": ""HumbleMechanic"", ""video_type_category"": ""organic"", ""trim"": ""GTI""}, {""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format"", ""trim"": ""R""}]",14,6,"[""timing"", ""cam"", ""going"", ""valve"", ""spring"", ""chain"", ""camshaft"", ""time"", ""chains"", ""remove""]",youtube,3,3,3,,,,,"[""all_vw_golf_mk7""]","{""GTI"": 1, ""R"": 1, ""base"": 1}",3,mixed,2,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,,,
