topic,terms_frex,terms_prob,prevalence_pct,thread_count,chronic_signal,mileage_thread_count,mileage_median_km,mileage_p20_km,mileage_p80_km
1,"liqui, moly, castrol, 5w40, 5w30, motul, elf, yagin, silikon, 5w-30, ceratec, 5-30, sentetik, 10w40, rn720","elf, 5, filtresi, 2, 4, castrol, 5w40, 1, motul, yagini, 40, 3, yagin, 5w30, 30",5.15,72,0.605,42,60000,5200,102400
2,"tikirti, rot, direksiyon, garantisi, kutusundan, samandira, kutusu, takozu, amper, direksiyondan, viraj, parke, direksiyonu, maise, garantiye","servise, direksiyon, 2, 4, 1, serviste, 3, aku, aracta, kutusu, aracim, kronik, garantisi, goturdum, tapatalk",8.73,154,1.35,67,14000,3760,44000
3,"farlarin, bugu, farlari, farlar, sent, using, photon, ledler, my, far, yakismis, 5cm, led, sinyal, farin","tapatalk, 2, far, sent, my, using, kullanin, farlar, 1, 3, 4, kazasiz, cihazimdan, belasiz, led",4.98,70,0.956,12,3000,2000,31400
4,"abs, balatalar, kizdirma, esc, balatalari, balatalarin, disk, fren, emisyon, frene, frenle, uyarilar, clean, carbon, sondu","fren, ariza, balata, servise, abs, frene, 2, aracim, 4, 1, ettirin, disk, 3, balatalar, serviste",6.04,82,1.153,46,32500,8500,100000
5,"kavrama, debriyaja, debriyaj, sanzuman, debriyajdan, sanziman, sanzimanda, sanzimanin, manuele, kavriyor, vitese, vitesten, bostayken, viteste, bosta","vites, sanziman, debriyaj, 2, 3, 1, balata, vitese, viteste, aracim, 4, titreme, gaza, kavrama, bosta",9.74,159,0.875,56,41500,18000,100000
6,"goodyear, nokian, 205, lastigi, 55, 195, yakilir, kompresor, bijon, michelin, yanak, osram, d4, sogutuyor, klimayi","klima, 2, 3, lastigi, 16, jant, 4, 205, 55, tapatalk, klimayi, 1, orjinal, masallah, kullaniyorum",4.52,67,0.837,24,8500,2800,80000
7,"rolanti, kelebegi, atesleme, bobin, buji, kelebegini, marsta, istop, sensorunu, bobinler, marsi, valfi, dalgalanma, 2001, enjektorler","stop, 2, ariza, rolanti, buji, lpg, aracim, sensoru, benzinde, 1, kelebegi, 3, atesleme, ustaya, rolantide",15.62,249,0.905,51,45000,4000,138000
8,"ortalamam, lt, sehirici, ortalamasi, 1.0, tuketimim, yakiyo, depoyu, price-column-2, 5.5, 5.2, depoda, litre, class, 6.5","lt, litre, 1.2, td, turbo, dizel, 100, 2, yakiyor, 4, 3, 5, benzinli, vites, aracim",6.57,109,0.819,66,5400,1400,39000
9,"antifiriz, antifriz, kayisi, conta, genlesme, devirdaim, kayis, kalorifer, triger, sogutma, eksiltme, radyator, eksilme, hararet, kayisini","triger, hararet, 2, antifriz, conta, 1, sogutma, ustaya, fan, kayisi, aracim, 3, eksiltme, kalorifer, antifiriz",9.84,162,0.684,51,12000,4000,88000
10,"bg, dci, extreme, 1.5, authentique, day, clioiii, e5, executive, table, edition, 2007, tourer, edc, night","dci, 1.5, 1.2, 4, bg, icon, 3, edc, vites, 90, td, hb, 2012, 75, 16v",6.79,86,0.497,42,28000,4000,100000
11,"db, kasko, filitresi, axa, teslimat, dayama, hasarsizlik, sikayetden, ayipli, 20.000, polen, 000, aliexpress, kaskodan, desibel","filtresi, 4, 2, 1, 3, db, bakimi, 10, serviste, polen, servise, 20, orjinal, reno, kasko",4.89,78,0.652,50,22500,6600,62000
12,"artilari, eksileri, yonleri, polo, sevmedigim, fiesta, gorunusu, kofte, tutusu, i20, bmw, aveo, sinifinda, stock, colspan","4, 2, 3, 1, dizel, 1.2, icon, kronik, direksiyon, megane, dci, tapatalk, 5, td, memnunum",3.33,49,0.865,27,30000,10000,112200
13,"tus, kumanda, tusu, aparati, bass, aparat, tusa, eko, menavrus, acilmiyor, kablo, alpine, eco, anfi, teybin","eco, 2, tusu, 1, start, bagaj, 3, stop, kumanda, icon, tus, 4, tapatalk, kontak, kablo",5.52,86,1.074,6,6500,2000,10000
14,"atiker, brc, lpg, simit, kiti, enjeksiyonlu, krs, benzine, cizgide, lpg'li, amorti, ngk, gold, kolon, taktirmak","lpg, 1.2, 2, 3, 1, aracim, yakiyor, 4, atiker, benzinde, 100, hararet, ayari, 0.9, taktirdim",4.68,64,0.659,36,30000,3000,100000
15,"media, lgu, dosyalari, 9.1.3, surumu, 7.0.5, haritayi, wince, 4.0.6, dosyasini, 4.0.3, fat32, mediaskin, nng, 4.1.0","usb, tapatalk, cihazimdan, 2, media, flash, nav, guncelleme, 1, lgu, medianav, dosyayi, dosyalari, 9.1.3, 4",3.62,53,1.204,5,3000,2800,25000
