issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count
wiper_motor_failure,Wiper motor failure or sticking,Wiper motor failure,electrical,chronic_failure,medium,high,"[""2.0_16V""]",,,Front and rear wiper motors fail permanently or wipers stick mid-screen due to a faulty motor or perished wiring.,Faulty motor or perished wiring,Replace wiper motor,"[""Wipers moving slowly"", ""Wipers stopping mid-cycle""]",Test front and rear wipers on all speeds.,2,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Mentioned for general model and specifically for 2.0_16V.,2
airbag_system_faults,Airbag system electrical faults,Airbag faults,electrical,sensor_fault,high,high,"[""all""]",,,Airbag warning light and service light illuminate on the dashboard.,Seat pretensioner connector failure or side impact sensor circuit failure.,"Diagnose with OBD scanner, repair or replace faulty connectors/sensors.","[""Airbag warning light"", ""Service light""]",Check for airbag warning lights during pre-start and running. Use an OBD scanner for fault codes.,1,1,"[{""video_id"": ""1t2FLp23JdQ"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,Merged from seat pretensioner and side impact sensor issues due to identical symptom and system.,1
water_ingress_flooding,Water ingress from blocked drains or seals,Water leaks,body,fluid_leak,medium,high,"[""all""]",,,Carpets become sodden and flooded with water inside the vehicle. Water leaks from the courtesy light area or sunroof when turning.,Scuttle panel drain tube blockage or sunroof drain blockage/seal failure.,"Clear blocked drain tubes, check and reseal sunroof seals.","[""Damp carpets"", ""Water stains on headliner"", ""Musty odor""]","Inspect carpets for dampness, check scuttle drains and sunroof drains for blockages.",1,1,"[{""video_id"": ""V87ZBmLrkyU"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,Merged scuttle and sunroof drain issues as common water ingress causes.,1
excessive_oil_consumption_1_2,Excessive oil consumption on 1.2 petrol,Oil consumption,engine,chronic_failure,high,medium,"[""1.2""]",,,"Engine consumes oil, which can lead to catastrophic engine failure.",,"Regular oil level checks, top-ups, potential engine repair or rebuild.","[""Low oil level"", ""Blue exhaust smoke"", ""Oil smell""]","Check oil level and condition, look for smoke from exhaust, inspect for oil leaks.",1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,,1
starter_motor_water_ingress,Starter motor water ingress and freezing,Starter water ingress,electrical,intermittent_fault,medium,medium,[],,,"Water seeps into the starter motor, freezes overnight, and prevents the car from starting.",Water ingress into starter motor housing.,"Replace or reseal starter motor, protect from water exposure.","[""Slow cranking in wet conditions"", ""Starter noise""]",Inspect starter motor location for signs of water exposure or corrosion.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,,1
suspension_noise_rough_roads,Suspension noise on rough roads,Suspension noise,suspension,noise,low,medium,[],,,Excessive noise when driving on damaged roads.,,"Inspect and replace worn suspension components (bushings, struts).","[""Clunking or rattling over bumps""]","Test drive on rough roads, listen for noises, inspect suspension for wear.",1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,,1
fragile_air_vent_controls,Fragile air vent controls,Fragile vents,body,wear_item,low,medium,[],,,Vent controls are made from poor plastic and break easily if handled aggressively.,Poor quality plastic materials.,"Replace broken vent controls, handle with care.","[""Loose or broken vent slats""]",Operate all vent controls to check for breakage or looseness.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,,1
r_link_infotainment_bugs,R-Link infotainment system bugs,Infotainment bugs,electrical,intermittent_fault,medium,medium,[],,,"Infotainment system is buggy, slow, crashes, and can prevent access to climate controls.",Software bugs or hardware limitations.,"Software updates, system reset, or unit replacement.","[""System freezes"", ""Slow response"", ""Crashes""]","Test infotainment system thoroughly, check for responsiveness and crashes.",1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,,1
start_stop_battery_drain,Start-stop system battery drain,Battery drain,electrical,chronic_failure,medium,medium,[],,,"Start-stop system drains the battery, often resulting in a dead battery.",Battery degradation or system fault.,"Replace battery, diagnose start-stop system.","[""Frequent battery warnings"", ""Start-stop not working""]","Check battery health and age, test start-stop function.",1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,,1
rust_rear_arches,Rust on rear wheel arches,Rear arch rust,body,structural,high,high,"[""2.0_16V""]",,,Rust is appearing on the rear wheel arches as the cars age.,Age and corrosion,"Cut out and weld new metal, treat and protect","[""Bubbling paint"", ""Visible orange/brown corrosion""]","Check rear wheel arches thoroughly, especially inside edges.",1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
