issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count
water_ingress_blocked_drains,Water ingress from blocked scuttle or sunroof drains,Water leaks,body,chronic_failure,medium,high,"[""1.1"", ""1.2"", ""1.4"", ""1.7"", ""1.8"", ""1.9_D"", ""2.0""]",,,"Water floods the interior, causing sodden carpets and puddles on the floor, or water accumulates in the scuttle panel area. Water can also leak into the boot.","Scuttle panel drain tube blockage, sunroof drain blockage and seal failure, or degraded rubber bungs and door seals.","Clear debris from scuttle panel drains, replace rubber bungs, check and replace door seals.","[""Wet carpets"", ""Damp smell"", ""Water in courtesy light"", ""Water pooling near windshield base"", ""Damp footwells"", ""Water in spare wheel well""]","Check carpets for dampness, inspect scuttle panel and sunroof drains, check scuttle panel area for debris and signs of water damage or rust. Check boot floor and spare wheel well for dampness.",3,2,"[{""video_id"": ""V87ZBmLrkyU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""VQ3YHsEDV7I"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}, {""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,"Merged from multiple water ingress issues including scuttle drain, sunroof, boot, and interior leaks.",3
engine_oil_issues,Engine oil degrades quickly and may leak,Oil issues,engine,wear_item,medium,high,"[""1.1"", ""1.2"", ""1.4"", ""1.7"", ""1.8"", ""1.9_D"", ""2.0""]",,,"Engines work their lubricating oils hard, requiring more frequent oil changes. Oil leaks occur from engine seals.",High engine stress and heat; factory-used non-solidifying sealant degrades over time.,Use high-quality oil and change more frequently.,"[""Oil darkens quickly"", ""Increased engine noise"", ""Oil spots under car"", ""Low oil level between changes""]","Check oil condition and service history for frequent changes. Inspect engine bay and underside for oil seepage, especially around gaskets.",2,2,"[{""video_id"": ""vFVYN8VBBYk"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}, {""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,2
suspension_noise_and_harshness,"Suspension rattles, squeaks, and harsh ride",Suspension issues,suspension,wear_item,medium,high,"[""1.1"", ""1.2"", ""1.4"", ""1.7"", ""1.8"", ""1.9_D"", ""2.0""]",pre-update phase one car,,"Rattles and squeaks develop, and suspension becomes firm and crashy, especially in pre-update models. Noticeable noise on rough roads.","Worn suspension bushings or components, aging suspension design.","Inspect and replace worn suspension parts like shocks, struts, and bushings; consider upgrades.","[""Noise over bumps"", ""Creaking when turning"", ""Harsh ride quality"", ""Increased impact noise"", ""Clunks or rattles over bumps""]","Listen for noises over bumps, check suspension components for wear, and test drive over varied surfaces.",2,2,"[{""video_id"": ""vFVYN8VBBYk"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}, {""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Affects pre-update models more severely.,2
immobiliser_ecu_electrical_faults,Immobiliser and ECU electrical connection faults,Immobilizer/ECU fault,electrical,intermittent_fault,high,medium,"[""1.1"", ""1.2"", ""1.4"", ""1.7"", ""1.8"", ""1.9_D"", ""2.0""]",2002,,Vehicle fails to start or crank; immobilizer light may stay on solid red. Engine may fail to start due to poor ECU connection.,Immobilizer system fault or poor electrical connection at ECU.,"Check key transponder, immobilizer module, wiring, and secure ECU connectors.","[""Immobilizer light stays solid"", ""No fuel pump prime"", ""Intermittent no-start"", ""Electrical gremlins""]","Verify immobilizer light behavior, key recognition, and inspect ECU box connections for corrosion or looseness.",2,2,"[{""video_id"": ""oQAwOZ8X8X0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""7N_vokq9ZME"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,Year 2002 specified in one source but vehicle corpus ends 1998; may apply to later models or incorrect data.,2
wiper_motor_failure,Front and rear wiper motor failure or sticking,Wiper motor failure,electrical,chronic_failure,medium,high,"[""2.0""]",,,Wipers can stick mid-screen or fail permanently for both front and rear wipers.,Faulty motor or chafed wiring.,,"[""Wipers moving erratically"", ""Intermittent wiper operation""]",Test wipers at all speeds and check for smooth operation.,2,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Mentioned in two videos with slightly different symptoms; merged as same component failure.,2
body_rust_multiple_areas,"Rust on sills, rear arches, and fuel filler cap",Body rust,body,structural,high,high,"[""2.0""]",,,"Rust can develop on the sills (hidden by plastic side skirts), rear wheel arches, and around the fuel filler cap area.","Corrosion due to age, moisture, and design.","Cut out and weld in new metal, treat and protect.","[""Visible bubbling paint"", ""Flaky rust spots""]","Check sills thoroughly by removing side skirts, inspect rear wheel arches and fuel filler cap area for rust.",1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Consolidated from multiple rust-related raw issues.,1
ignition_coil_failure,Ignition coil failure causing no spark,Ignition coil failure,electrical,sensor_fault,high,high,"[""1.2""]",,,Car turns over but won't start due to no spark from the ignition coil.,Ignition coil failure,Replace ignition coil,"[""Engine misfires"", ""Difficulty starting when warm""]",Check for spark at the plugs; test ignition coil resistance.,1,1,"[{""video_id"": ""9oO0xSrvs1M"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,,1
crankshaft_position_sensor_failure,Crankshaft position sensor failure,Crank sensor failure,electrical,sensor_fault,high,high,"[""1.2""]",,,"Car fails to start, with the magnetized crank sensor losing its magnetic field.",Crankshaft position sensor failure,Replace crankshaft position sensor,"[""Intermittent no-start"", ""Stalling""]",Check sensor output with a multimeter or scan tool.,1,1,"[{""video_id"": ""9oO0xSrvs1M"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,,1
oil_consumption_1_2,High oil consumption leading to engine failure,Oil consumption,engine,chronic_failure,high,high,"[""1.2""]",,,"Engine consumes excessive oil, which can lead to catastrophic engine failure.",High oil consumption due to engine design or wear,Monitor oil level closely; rebuild or replace engine if severe,"[""Low oil between changes"", ""Blue exhaust smoke""]","Check oil level and for signs of burning oil (smoke, deposits).",1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,Specifically noted for 1.2 engine; may lead to catastrophic failure.,1
airbag_system_electrical_fault,Airbag system electrical faults,Airbag faults,electrical,sensor_fault,medium,medium,"[""1.1"", ""1.2"", ""1.4"", ""1.7"", ""1.8"", ""1.9_D"", ""2.0""]",,,Airbag warning light and service light illuminate on the dashboard.,Faulty seatbelt pretensioner connector or passenger side impact sensor circuit failure.,,"[""Dashboard warning lights""]",Check for airbag warning light on startup.,1,1,"[{""video_id"": ""1t2FLp23JdQ"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Merged from 'Faulty seatbelt pretensioner connector' and 'Passenger side impact sensor failure' as they share the same symptom and system.,1
engine_control_relay_stuck_closed,Engine control relay stuck closed causing battery drain,Relay fault,electrical,intermittent_fault,medium,medium,[],,,Battery drains flat overnight due to excessive parasitic draw.,,,[],,1,1,"[{""video_id"": ""YLEo2Xt3gJs"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
front_wiper_linkage_seizure,Front wiper linkage seizes,Wiper seizure,electrical,wear_item,low,medium,"[""1.1"", ""1.2"", ""1.4"", ""1.7"", ""1.8"", ""1.9_D"", ""2.0""]",,,"Front wipers do not move and the system enters a protection mode, disabling them.",,,[],,1,1,"[{""video_id"": ""VQ3YHsEDV7I"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,,1
spare_wheel_access_complicated,Complicated spare wheel access,Spare wheel access,body,other,low,medium,[],,,Spare wheel is not in the boot and requires a multi-step process to release it from under the car.,,,[],,1,1,"[{""video_id"": ""RC-ZA24whsA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
poor_rear_visibility,Poor rear visibility and blind spots,Poor visibility,body,other,low,high,"[""1.1"", ""1.2"", ""1.4"", ""1.7"", ""1.8"", ""1.9_D"", ""2.0""]",,,Rear visibility is poor with small rear windows and significant blind spots.,Design of rear window and pillars,Use additional mirrors or blind spot aids,"[""Difficulty seeing rear corners"", ""Reliance on mirrors""]",Assess rearward visibility during test drive.,1,1,"[{""video_id"": ""vFVYN8VBBYk"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,Inherent design characteristic.,1
starter_motor_water_ingress,Starter motor water ingress and freezing,Starter water ingress,electrical,chronic_failure,high,medium,[],,,"Water seeps into the starter motor, freezes overnight, and prevents the car from starting.",Water ingress into starter motor housing.,,"[""Slow cranking in wet conditions"", ""Starter noise after rain""]",Check starter motor location for signs of water exposure or corrosion.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
fuel_gauge_inaccuracy,Inaccurate fuel level gauge,Fuel gauge fault,fuel,sensor_fault,medium,medium,[],,,"Fuel gauge shows incorrect level, often reading half a tank for a long time before suddenly indicating empty, stranding the driver.",,,"[""Erratic gauge movement"", ""Fuel light comes on unexpectedly""]",Verify fuel gauge accuracy by filling tank and monitoring gauge response.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
power_steering_switch_leak,Power steering switch leak,Steering switch leak,other,fluid_leak,low,medium,"[""2.0""]",,,Power steering switch is common for starting to leak fluid.,,,"[""Low power steering fluid"", ""Fluid spots near steering components""]",Check power steering fluid level and inspect switch area for leaks.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
vent_control_plastic_breakage,Fragile air vent control plastics,Brittle vent controls,body,wear_item,low,medium,[],,,Air vent controls are made from brittle plastic and can break easily if handled aggressively.,Brittle plastic material.,,"[""Cracks on vent controls"", ""Stiff or loose adjustment""]",Gently test air vent controls for smooth operation and check for cracks.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
r_link_infotainment_bugs,R-Link infotainment system bugs and crashes,Infotainment bugs,electrical,intermittent_fault,low,medium,[],,,"The R-Link system is buggy, slow, crashes, and can interfere with climate controls.",,,"[""System freezes or reboots"", ""Slow response to inputs""]","Test infotainment system functions, including climate control integration, during a test drive.",1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
start_stop_battery_drain,Start-stop system drains battery,Start-stop fault,electrical,chronic_failure,medium,medium,[],,,"The start-stop system does not function correctly, leading to frequent dead batteries.",,,"[""Start-stop not activating"", ""Battery warning light""]",Check battery health and test start-stop functionality if equipped.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
clutch_wear_high_pedal,"Clutch wear, high pedal",Clutch wear,gearbox,wear_item,medium,high,"[""2.0""]",,,The self-adjusting clutch pedal rises high as the clutch wears out.,Normal clutch wear.,Replace clutch assembly.,"[""High clutch bite point"", ""Slipping under load""]",Check clutch pedal height and feel for slipping during test drive.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
drive_shaft_wear_vibration,Drive shaft wear causing vibration,Drive shaft wear,suspension,wear_item,medium,high,"[""2.0""]",,,Worn drive shafts cause a vibration felt through the steering wheel.,Worn CV joints or shafts.,Replace drive shaft(s).,"[""Vibration under acceleration"", ""Clicking on turns""]",Listen for clicks during tight turns and check for vibration during acceleration.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
rear_wheel_bearing_wear,Rear wheel bearing wear causing rumbling noise,Wheel bearing wear,suspension,wear_item,medium,high,"[""2.0""]",,,"Rear wheel bearings are susceptible to wear, producing a rumbling noise.",Normal wear and tear.,Replace wheel bearing.,"[""Rumbling or humming noise from rear""]","Listen for bearing noise during test drive, check for play in rear wheels.",1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
defazer_pulley_rattle,Defazer pulley rattles when engine is hot,Defazer pulley rattle,engine,noise,medium,medium,"[""2.0""]",,,A faulty defazer pulley in the VVT system rattles when the engine is hot.,,,"[""Rattling noise from engine when hot""]",Listen for rattling from the engine bay after a warm-up or test drive.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,,1
washer_jet_blockage,Washer jets become blocked,Blocked washers,electrical,chronic_failure,low,high,"[""2.0""]",,,"Washer jets are infamous for becoming blocked, which is an MOT failure.","Mineral deposits, dirt.",Clean or replace washer jets.,"[""Weak or no washer spray""]",Test washer jets during inspection.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
steering_wheel_melting,Steering wheel leather melts and becomes sticky,Sticky steering wheel,other,chronic_failure,low,high,"[""2.0""]",,,The cheap leather steering wheel coating can melt and become sticky.,Degradation of coating material.,Replace steering wheel or use a cover.,"[""Sticky or tacky steering wheel feel""]",Feel the steering wheel for sticky residue.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,1
