issue_id,label,system_component,affected_engines,affected_years,symptom,cause,fix,confidence,data_quality,source_videos,topic_id,topic_size,topic_top_terms,source,mention_count,distinct_channel_count,corroboration_count,model_scope,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated,video_type_category,warning_signs,severity,merged_from_issue_ids,affected_engines_original,_scope_notes
crank_no_start_air_fuel_spark_sensor_issues,"Crank no start, air/fuel/spark/sensor faults",engine,[],,"Engine cranks but fails to start, or experiences hesitation, rough idle, and poor acceleration.","Multiple potential causes including faulty sensors (MAF, MAP, crankshaft, camshaft), fuel delivery issues (pump, filter, injector), ignition problems (coils, plugs), air intake restrictions, vacuum leaks, timing issues, or clogged EGR valve.","Diagnose with OBD2 scanner, check fuel pressure, perform spark test, inspect sensors and wiring, clean or replace faulty components (e.g., MAF sensor, throttle body).",high,high,"[{""video_id"": ""aFAQ5l3Jk74"", ""title"": ""Bad Ignition Coil Symptoms: 7 Common Signs"", ""channel"": ""Honest Mechanic Colorado"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""yS2oTOMUxrE"", ""title"": ""Symptoms of a Failing Turbo: 9 Bad Turbocharger Signs"", ""channel"": ""Honest Mechanic Colorado"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""3nFnEN6bxKU"", ""title"": ""Crank No Start (The Most Common Causes)"", ""channel"": ""EasyAutoFix"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""VMmcARsAsbA"", ""title"": ""Car Losing Power Loss Of Acceleration - Easy Fix!"", ""channel"": ""proclaimliberty2000"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""lCizL9ms6xY"", ""title"": ""How To Tell If Your EGR Is Faulty - Common EGR Symptoms & Problems."", ""channel"": ""TorqueCars"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""t0T03mSW9-o"", ""title"": ""Most Common Symptoms Of Bad EGR Valve | Signs of failing EGR"", ""channel"": ""Daily Hands DIY"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""2K6mkzb3WRA"", ""title"": ""11 Bad MAF Sensor Symptoms | Car Mass Air flow Sensor Problems"", ""channel"": ""Car Care Clues"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""cnCcRSfWC_c"", ""title"": ""5 Signs of Bad Spark Plugs"", ""channel"": ""haile car care"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""BAiNzjrWUEA"", ""title"": ""Bad Throttle Body Symptoms-Some Sure Signs Of The Problem"", ""channel"": ""Despair Repair"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""Jrk5GubtdqE"", ""title"": ""Reasons For Petrol Engine Having a Hard Start | Petrol Car Long Cranking Before Start - Explained"", ""channel"": ""Auto Info Guy"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""g8Qjz085pQI"", ""title"": ""6 Things That Keep Your DPF Alive"", ""channel"": ""velovista and VistaExtra"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",3,14,"[""engine"", ""sensor"", ""fuel"", ""air"", ""faulty"", ""egr"", ""check engine"", ""ignition"", ""engine light"", ""light""]",youtube,11,10,11,"[""all_renault_clio_mk4""]","{""base"": 11}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,,,,,,
airbag_service_light_fault,Airbag and service light faults,electrical,[],,Airbag warning light and service light remain illuminated on the dashboard.,"Faulty side impact sensor, poor connections under seats, or faulty seatbelt pretensioner connectors.","Diagnose with OBD scanner to identify faulty sensor (often side impact sensor), check and clean connectors under seats, or replace faulty sensor.",high,high,"[{""video_id"": ""QycnbLJuV0s"", ""title"": ""Renault Clio hatchback 2013 review - CarBuyer"", ""channel"": ""Carbuyer"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""uNaJuRVF8m8"", ""title"": ""Check Injection System Renault: Causes & Fix"", ""channel"": ""Honest Mechanic Colorado"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""xCj4akEF9KE"", ""title"": ""Used Car Review: Renault Clio"", ""channel"": ""CarGurus UK"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""vFVYN8VBBYk"", ""title"": ""Renault Clio RS: Worthy of the hype, or just another French flop?  | ReDriven"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""u4sR-EGP4LU"", ""title"": ""Renault Clio 2021 review: is it better than a Peugeot 208?"", ""channel"": ""carwow"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""86zMFaU2ZH4"", ""title"": ""How To: Update the Renault MediaNav - Renault UK"", ""channel"": ""Renault UK"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""JVqGAmFN8So"", ""title"": ""0.9 Tce Fuses & Relays location ( box diagram ) RENAULT Clio 4"", ""channel"": ""doit_vehicles"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""1t2FLp23JdQ"", ""title"": ""Renault Clio 1.2 Airbag And Service Light On [Causes And Fixes]"", ""channel"": ""retrorestore"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""IRRWHyZwO3w"", ""title"": ""Renault's Biggest Mistake? Is The Clio RS200 EDC Really That Bad?"", ""channel"": ""JayEmm on Cars"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",2,18,"[""clio"", ""like"", ""just"", ""look"", ""car"", ""seat"", ""renault"", ""weve"", ""fuse"", ""youre""]",youtube,10,10,10,"[""all_renault_clio_mk4""]","{""base"": 10}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013""}",2013,,,,,,
dpf_egr_clogging,DPF and EGR system clogging issues,exhaust,"[""1.5_DCI""]",,"DPF filter becomes clogged with soot and ash, leading to regeneration problems and potential failure.","Poor combustion from bad fuel injectors, clogged EGR valves, air intake leaks, oil consumption, or using incorrect engine oil.","Use low SAPS oil, fix engine problems promptly, use fuel system cleaners, and avoid aggressive ECU remaps.",high,high,"[{""video_id"": ""THLOInExD7Y"", ""title"": ""AVOID These Car ENGINES!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""kVxIuLbuGZs"", ""title"": ""RELIABLE Car Engines You SHOULD Buy"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""VMmcARsAsbA"", ""title"": ""Car Losing Power Loss Of Acceleration - Easy Fix!"", ""channel"": ""proclaimliberty2000"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""lCizL9ms6xY"", ""title"": ""How To Tell If Your EGR Is Faulty - Common EGR Symptoms & Problems."", ""channel"": ""TorqueCars"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""t0T03mSW9-o"", ""title"": ""Most Common Symptoms Of Bad EGR Valve | Signs of failing EGR"", ""channel"": ""Daily Hands DIY"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""g8Qjz085pQI"", ""title"": ""6 Things That Keep Your DPF Alive"", ""channel"": ""velovista and VistaExtra"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""54GrVq8_KqE"", ""title"": ""How Do You Know a DPF Regen Is Really Happening & How To Tell When A DPF Regeneration Is Running?"", ""channel"": ""TorqueCars"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",2003,34,"[""dpf"", ""diesel particulate"", ""egr valve"", ""egr cooler"", ""adblue"", ""nox sensor""]",youtube,7,5,7,"[""all_renault_clio_mk4""]","{""base"": 7}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,,,,,,
timing_chain_stretch_rattle,Timing chain stretch and rattle,engine,"[""0.9_TCE"", ""1.2_TCE""]",,"Engine hesitation during acceleration, jerking sensation, or rattling noise from timing chain area.","Timing chain stretch, faulty tensioner, or worn chain guides.","Replace timing chain, tensioner, and guides; ensure proper oil specification and service intervals.",high,high,"[{""video_id"": ""THLOInExD7Y"", ""title"": ""AVOID These Car ENGINES!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""3nFnEN6bxKU"", ""title"": ""Crank No Start (The Most Common Causes)"", ""channel"": ""EasyAutoFix"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""vFVYN8VBBYk"", ""title"": ""Renault Clio RS: Worthy of the hype, or just another French flop?  | ReDriven"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""VMmcARsAsbA"", ""title"": ""Car Losing Power Loss Of Acceleration - Easy Fix!"", ""channel"": ""proclaimliberty2000"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",2001,5,"[""timing chain"", ""chain stretch"", ""chain tensioner"", ""chain rattle"", ""chain guide""]",youtube,5,5,5,"[""all_renault_clio_mk4""]","{""base"": 5}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""engine""}",,,,,,,
clutch_master_cylinder_failure,Clutch master cylinder failure symptoms,gearbox,[],,"Soft/spongy clutch pedal, pedal sticking to floor, difficulty shifting gears with grinding noises, and leaking brake fluid around transmission area.","Clutch master cylinder internal seal failure allowing air ingress and fluid leaks, or internal blockages preventing proper hydraulic pressure.","Replace clutch master cylinder, flush hydraulic system, and check slave cylinder for damage.",high,high,"[{""video_id"": ""0Cf8mJ83buo"", ""title"": ""Soft Brakes? Pedal to the Floor? 5 Common Car Brake Problems to Check!"", ""channel"": ""1A Auto: Repair Tips & Secrets Only Mechanics Know"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""m3lKyd5qb_g"", ""title"": ""Bad Clutch Master Cylinder Symptoms (Common Signs)"", ""channel"": ""Honest Mechanic Colorado"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""6nVnPNlyTQ0"", ""title"": ""7 Signs of a Bad Flywheel: Clear Symptoms to Notice"", ""channel"": ""Student Lesson"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""BAiNzjrWUEA"", ""title"": ""Bad Throttle Body Symptoms-Some Sure Signs Of The Problem"", ""channel"": ""Despair Repair"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",13,4,"[""clutch"", ""fluid"", ""pedal"", ""cylinder"", ""brake"", ""symptoms"", ""gears"", ""caliper"", ""make sure"", ""sure""]",youtube,4,4,4,"[""all_renault_clio_mk4""]","{""base"": 4}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,,,,,,
edc_gearbox_sport_mode_lack_of_bite,EDC gearbox lacks bite in sport mode,gearbox,"[""1.2_TCE"", ""1.5_DCI""]",,"In sport mode, the dual-clutch gearbox lacks the snappy, aggressive shift feel that drivers expect, feeling less responsive.",Software calibration in sport mode may prioritize smoothness over aggression.,"Switch to race mode for sharper, more responsive gear changes.",high,medium,"[{""video_id"": ""QycnbLJuV0s"", ""title"": ""Renault Clio hatchback 2013 review - CarBuyer"", ""channel"": ""Carbuyer"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""vFVYN8VBBYk"", ""title"": ""Renault Clio RS: Worthy of the hype, or just another French flop?  | ReDriven"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""HAfxcAmgnr8"", ""title"": ""Stiff Gear Shift? Stuck Manual Gear Stick? Common Problem Fixed in 30 Secs. It's Not Your Gearbox"", ""channel"": ""Rick The Spud"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""IRRWHyZwO3w"", ""title"": ""Renault's Biggest Mistake? Is The Clio RS200 EDC Really That Bad?"", ""channel"": ""JayEmm on Cars"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",8,7,"[""mode"", ""race"", ""im"", ""bit"", ""like"", ""really"", ""thats"", ""gear"", ""gearbox"", ""im going""]",youtube,4,4,4,"[""auto_only""]","{""base"": 4}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013""}",2013,,,,,,
brake_caliper_corrosion_failure,brake caliper corrosion and sticking,brakes,[],,"Soft or squishy brake pedal, uneven brake pad wear, or stuck caliper guide pins.","Corrosion of caliper pistons, bores, brackets, and guide pins due to damaged dust boots allowing water/debris ingress.",Replace corroded calipers and inspect/replace damaged brake hoses.,high,high,"[{""video_id"": ""0Cf8mJ83buo"", ""title"": ""Soft Brakes? Pedal to the Floor? 5 Common Car Brake Problems to Check!"", ""channel"": ""1A Auto: Repair Tips & Secrets Only Mechanics Know"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""ikIhsy89te0"", ""title"": ""Top 5 reasons why the suspension knocks | AUTODOC tips"", ""channel"": ""autodoc.co.uk"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""_DkKWvkOc1o"", ""title"": ""4 signs a caliper needs replaced | 4 Tips"", ""channel"": ""Babcox Media"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",1003,3,"[""caliper"", ""brake"", ""pads"", ""number"", ""brake hose"", ""calipers"", ""bracket"", ""hose"", ""piston"", ""corrosion""]",youtube,3,3,3,"[""all_renault_clio_mk4""]","{""base"": 3}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,,,,,,
oil_consumption_1_2_tce,1.2 TCE engine oil consumption,engine,"[""1.2_TCE""]",,Engine burns oil requiring frequent top-ups between oil changes.,,,high,high,"[{""video_id"": ""yS2oTOMUxrE"", ""title"": ""Symptoms of a Failing Turbo: 9 Bad Turbocharger Signs"", ""channel"": ""Honest Mechanic Colorado"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""g8Qjz085pQI"", ""title"": ""6 Things That Keep Your DPF Alive"", ""channel"": ""velovista and VistaExtra"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",2000,3,"[""oil consumption"", ""burning oil"", ""burns oil"", ""consumes oil"", ""quart of oil"", ""litre of oil"", ""liter of oil"", ""top up oil"", ""topping up oil"", ""oil level drops""]",youtube,3,3,3,"[""all_renault_clio_mk4""]","{""base"": 3}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2018""], ""from_model_scope_window"": [""2013-2018""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2018"", ""fallback_window_source"": ""engine""}",,,,,,,
battery_terminal_corrosion_voltage_drop,battery terminal corrosion causes voltage drop,electrical,[],,"Vehicle shows low charging voltage at battery terminals despite alternator working correctly, leading to poor electrical system performance.",Oxidation and corrosion buildup between battery terminals and cable connections creating significant resistance.,"Thoroughly clean all battery terminals and cable connections, ensure proper tightening, and check for aftermarket wing nuts that may not provide adequate contact.",high,high,"[{""video_id"": ""Le02JX9helk"", ""title"": ""Low Voltage Issue FIXED easy! NOT Alternator!!"", ""channel"": ""Budget Mechanic"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""xBVmbYBxMyo"", ""title"": ""Car Battery Drains Overnight Or After Days Of No Use! PARASITIC DRAIN"", ""channel"": ""electronicsNmore"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",27,3,"[""battery"", ""going"", ""current"", ""youre going"", ""youre"", ""post"", ""alternator"", ""flowing"", ""terminals"", ""vehicle""]",youtube,2,2,2,"[""all_renault_clio_mk4""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,,,,,,
coolant_flange_gasket_failure,brittle coolant flanges and gasket leaks,cooling,[],,Coolant leaks from brittle flanges and failing gaskets.,Brittle coolant flanges and poor gasket quality leading to failure.,Replace coolant flanges and gaskets with updated parts.,high,low,"[{""video_id"": ""kVxIuLbuGZs"", ""title"": ""RELIABLE Car Engines You SHOULD Buy"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""ka0l5G3tqaE"", ""title"": ""We Stripped Ford's WORST Modern Engine To See Why It Keeps Exploding"", ""channel"": ""DRIVETRIBE"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",18,3,"[""gaskets"", ""gas"", ""wrong"", ""going yeah"", ""brittle"", ""day"", ""theyve got"", ""okay"", ""eventually"", ""23""]",youtube,2,2,2,"[""all_renault_clio_mk4""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2019"", ""fallback_window_source"": ""model_window""}",,,,,,,
