topic,terms_frex,terms_prob,prevalence_pct,chronic_signal,thread_count,top_engine_specs,top_prod_years,top_components,mileage_median_miles,mileage_p20_miles,mileage_p80_miles
1,"brake, brakes, lights, fuse, abs, switch, control, pedal, cruise, cruise control","brake, brakes, lights, fuse, abs, switch, control, pedal, cruise, cruise control",13.7,0.256,168,"TDI_unknown: 6%, 2.0_TSI: 5%","2001, 2017, 2002, 2000, 2015","EXTERIOR LIGHTING: 29, SERVICE BRAKES, HYDRAULIC: 20, ELECTRICAL SYSTEM: 15, SERVICE BRAKES: 15",,,
2,"fuel, tank, gas, recall, fuel tank, gasoline, suction, pump, canister, gas tank","fuel, tank, gas, recall, fuel tank, gasoline, suction, pump, canister, gas tank",10.0,0.18,122,"2.0_TSI: 20%, TDI_unknown: 2%","2017, 2015, 2016, 2003, 2000","FUEL/PROPULSION SYSTEM: 55, FUEL SYSTEM, GASOLINE: 17, ENGINE,FUEL/PROPULSION SYSTEM: 10, ELECTRICAL SYSTEM: 7",,,
3,"mileage, engine, owns, tl owns, tl, power, taken, repaired, pedal, ignition","mileage, engine, owns, tl owns, tl, power, taken, repaired, pedal, ignition",9.8,0.3,120,"TDI_unknown: 8%, 2.0_TSI: 2%, TSI_unknown: 1%","2019, 2015, 2010, 2011, 2017","ELECTRICAL SYSTEM: 20, ENGINE: 10, ENGINE AND ENGINE COOLING: 8, POWER TRAIN: 8",,,
4,"fuel, fuel pump, pump, diesel, high pressure, pressure, high, engine, towed, glow","fuel, fuel pump, pump, diesel, high pressure, pressure, high, engine, towed, glow",7.4,0.33,91,TDI_unknown: 36%,"2011, 2010, 2012, 2013, 2015","FUEL/PROPULSION SYSTEM: 29, FUEL SYSTEM, DIESEL: 21, FUEL SYSTEM, DIESEL,FUEL/PROPULSION SYSTEM: 6, ENGINE,FUEL/PROPULSION SYSTEM: 5",,,
5,"coolant, housing, water, pump, engine, leak, belt, plastic, leaking, tensioner","coolant, housing, water, pump, engine, leak, belt, plastic, leaking, tensioner",5.4,0.288,66,"TDI_unknown: 5%, 2.0_TSI: 5%","2016, 2017, 2015, 2011, 2019","ENGINE: 31, ENGINE AND ENGINE COOLING: 13, POWER TRAIN: 7, UNKNOWN OR OTHER: 5",,,
6,"tire, suspension, spring, tires, noise, coil, sound, coil spring, body, loud","tire, suspension, spring, tires, noise, coil, sound, coil spring, body, loud",5.3,0.123,65,"TDI_unknown: 6%, 2.0_TSI: 5%","2000, 2015, 2017, 2001, 2013","SUSPENSION: 28, TIRES: 6, STRUCTURE: 5, WHEELS: 5",,,
7,"deployed, air, passenger, airbags, bags, air bags, bag, hit, air bag, deploy","deployed, air, passenger, airbags, bags, air bags, bag, hit, air bag, deploy",4.8,0.085,59,"TDI_unknown: 2%, 2.0_TSI: 2%","2002, 2001, 2003, 2000, 2004","AIR BAGS: 49, VISIBILITY,AIR BAGS,INTERIOR LIGHTING,EQUIPMENT: 1, SEAT BELTS,STRUCTURE: 1, SUSPENSION,AIR BAGS,WHEELS: 1",,,
8,"recall, received, airbag, available, number, parts, vin, campaign, campaign number, notice","recall, received, airbag, available, number, parts, vin, campaign, campaign number, notice",4.4,0.352,54,"TDI_unknown: 7%, 2.0_TSI: 4%","2011, 2016, 2013, 2015, 2010","AIR BAGS: 31, EXTERIOR LIGHTING: 2, SUSPENSION: 2, ENGINE AND ENGINE COOLING: 2",,,
9,"airbag, seat, bag, air bag, seat belt, belt, airbags, air, warning light, airbag light","airbag, seat, bag, air bag, seat belt, belt, airbags, air, warning light, airbag light",5.5,0.358,67,TDI_unknown: 4%,"2001, 2000, 2005, 2010, 2015","AIR BAGS: 42, SEAT BELTS: 8, AIR BAGS,SEAT BELTS: 3, SEATS: 2",,,
10,"oil, engine, pan, oil pan, turbo, engine light, manager, check engine, change, pay","oil, engine, pan, oil pan, turbo, engine light, manager, check engine, change, pay",4.0,0.184,49,"TDI_unknown: 10%, 2.0_TSI: 2%","2001, 2000, 2002, 2015, 2006","ENGINE AND ENGINE COOLING: 21, ENGINE: 6, POWER TRAIN: 3, UNKNOWN OR OTHER: 2",,,
11,"transmission, gear, neutral, mode, shift, reverse, automatic, manual, gears, accelerate","transmission, gear, neutral, mode, shift, reverse, automatic, manual, gears, accelerate",4.5,0.382,55,"TDI_unknown: 15%, 2.0_TSI: 11%","2011, 2015, 2012, 2017, 2001","POWER TRAIN: 37, UNKNOWN OR OTHER: 4, POWER TRAIN,ENGINE: 2, STRUCTURE: 2",,,
