thread_name,thread_url,engine_code,message,reason
Direksiyonu saga cevirince gelen ses (videolu),https://www.golftutkusu.com/topic/27874-direksiyonu-saga-cevirince-gelen-ses-videolu,unknown,"Videonun basinda ortasinda ve sonunda ses cok belirgin bir sekilde gelmekte,",mechanical_keywords
Direksiyonu saga cevirince gelen ses (videolu),https://www.golftutkusu.com/topic/27874-direksiyonu-saga-cevirince-gelen-ses-videolu,unknown,"Sorunu soyle aktarayim, arac dururken,  park icin manevra yaparken ve dusuk hizlarda saga donerken videodaki gibi",medium_length_no_noise
Direksiyonu saga cevirince gelen ses (videolu),https://www.golftutkusu.com/topic/27874-direksiyonu-saga-cevirince-gelen-ses-videolu,unknown,"tik tik ses yapiyor, yalnizca saga cevirince yapiyor ve ses sagdan soldan degil direkt  konsolun ortasindan geliyor.",mechanical_keywords
Direksiyonu saga cevirince gelen ses (videolu),https://www.golftutkusu.com/topic/27874-direksiyonu-saga-cevirince-gelen-ses-videolu,unknown,Gecen ustayla yol testine ciktik akabinde araci lifte kaldirip on-arka duzeni kontrol etti ve hic bir problem olmadigini ancak aracin altini ufak vurdugum icin ve egzozun dibindeki yalitimin egildigini egzoza temas ettiginden direksiyonu cevirince egzozun muhtemelen ona carpmasindan ses yapiyor olabilecegini soyledi yalitimi duzeltti yola ciktim ancak halen devam etmekte.,mechanical_keywords
Direksiyonu saga cevirince gelen ses (videolu),https://www.golftutkusu.com/topic/27874-direksiyonu-saga-cevirince-gelen-ses-videolu,unknown,Gecen uzun yola ciktim ve  direksiyonu sola cevirirken sertlestigini fark ettim saga cevirmede ise hicbir problem yok ve bu nedenle arac saga cekme yapiyor. (Lastik basinclarini ve jantlari kontrol ettim cekme bunlardan dolayi degil.) bir konuda bir kardesimiz/abimiz aciklama yapmis ancak sesin geldigi yer farkli oldugu icin yeni konu acmak istedim videonun basini ortasini ve sonunu full ses dinleyip beni yonlendirebilecek varsa cok tesekkur ederim simdiden.,mechanical_keywords
Islak ayakkabi ile pedaldan gelen ses,https://www.golftutkusu.com/topic/27870-islak-ayakkabi-ile-pedaldan-gelen-ses,unknown,"Merhabalar, manuel golf 7 araca sahibim, yagmurlu havalarda veya yikama sonrasinda araca bindigimde pedallara bastigimda ayakkabinin alti ile pedaldaki surtunme dolayisiyla cirt cirt ciyak ciyak ses geliyor, farkli araclar da kullandim ilk kez bu aracta basima geliyor. Bunu siz de yasiyor musunuz? Nasil bir cozume kavusturabilirim?",mechanical_keywords
Islak ayakkabi ile pedaldan gelen ses,https://www.golftutkusu.com/topic/27870-islak-ayakkabi-ile-pedaldan-gelen-ses,unknown,Bende de krom pedal var yalniz ses geliyor yapacak bisey yok her zaman olmuyor kuruyunca duzelir diyelim,mechanical_keywords
Islak ayakkabi ile pedaldan gelen ses,https://www.golftutkusu.com/topic/27870-islak-ayakkabi-ile-pedaldan-gelen-ses,unknown,"Yanitlar icin tesekkur ederim arkadaslar, krom pedal setini deneyecegim. Krom pedal sonrasi ses gelmeye devam ediyor mu? Bir de acaba neden diger araclarda yasamiyorken biz bunu yasiyoruz acaba?",mechanical_keywords
Golf 7 Bagaj Kapagi Amortisoru hk.,https://www.golftutkusu.com/topic/23990-golf-7-bagaj-kapagi-amortisoru-hk,unknown,Golf 7 aracimin bagaj kapagi amortisorleri yariya kadar aciliyor. Amortisorleri degistirmek istiyorum. Servise orjinalini sordugumda 3800 Tl fiyat verdi. Internette ve Sanayide orijinal olmayan yan sanayi fiyatlari 400 Tl civarinda. Arada cok fiyat farki var. Sanayide Audi arabaya orijinal olmayan motor kaputu amortisoru takilirken denk geldim. Kaputu cok hizli aciyordu. Usta arac sahibine amortisor alisasiya kadar kaputu dikkatli acin diyordu.,mechanical_keywords
Golf 7 Bagaj Kapagi Amortisoru hk.,https://www.golftutkusu.com/topic/23990-golf-7-bagaj-kapagi-amortisoru-hk,unknown,Hangisini almam gerektigi konusunda tereddutte kaldim. Tavsiyeleriniz nedir.,medium_length_no_noise
