topic_id,label,label_short,system_component,issue_type,severity,confidence,onset_mileage_typical_km,onset_mileage_range,affected_engines,affected_years,engine_family_codes,known_part_codes,engine_notes,prevalence_pct,chronic_signal,summary,warning_signs,inspection_advice,data_quality,thread_count,notes
1,Audio system and speaker installation discussions,Audio system installation,other,other,low,high,,,"[""all""]",all,[],[],,2.7,0.6,"This topic is not a vehicle fault or failure. It consists of user discussions about aftermarket audio system components, speaker upgrades, and installation advice. The terms and snippets are focused on product recommendations, compatibility questions, and sharing installation experiences.","[""User inquiries about speaker/amplifier compatibility"", ""Discussions about sourcing parts from AliExpress or aftermarket brands""]",No mechanical inspection is relevant as this is a non-issue topic related to audio system modifications.,high,63,"The topic is clearly a non-issue discussion based on FREX terms (anfi, alpine, bass, hoparlor, subwoofer, pioneer) and representative snippets showing product recommendations and installation questions. The engine breakdown is dominated by 'unknown' (87.3%), and the low, early mileage distribution (median 10,000 km) is consistent with owners making early customizations, not reporting failures. Chronic signal of 0.6 does not indicate a chronic failure, but likely repeated discussion theme."
2,"Timing belt (triger kayışı) failure, replacement cost, and service disputes",Timing belt failure,engine,wear_item,high,high,20000.0,5000-60000 km,"[""all""]",all,[],"[{""code"": null, ""name"": ""triger kayışı"", ""notes"": ""Timing belt""}]","Evidence spans multiple engine groups, but specific engine family codes cannot be reliably inferred from the provided bundle.",6.0,0.698,"A high-prevalence topic focused on timing belt (triger kayışı) failures, replacement costs, and disputes with authorized service centers. Complaints frequently mention high service bills for belt replacement around 20,000-60,000 km and discussions about warranty coverage.","[""High service bill for timing belt replacement"", ""Noise (ugultu) from engine bay"", ""Service recommendation for belt change at low mileage (e.g., 20,000 km)""]","Inspect the timing belt and tensioner (gergi) for wear, especially if unusual noise is present. Verify recommended replacement intervals with service history.",medium,148,"High 'unknown' engine group percentage (78.4%) limits precise engine targeting. Covariate effects show all engine groups are significantly associated, supporting a broad issue. The chronic signal is high (0.698), but snippets describe single incidents rather than explicitly chronic, unresolved failures across multiple reports for the same vehicle."
3,"General maintenance, oil, and filter discussions with some diesel-specific concerns",Maintenance & Filters,other,wear_item,low,high,40000.0,5000-109920 km,"[""all""]",all,"[""K9K""]",[],"Strongest specific signal is from the 1.5 DCI (K9K) diesel engine, but topic is broad and includes all engine types.",5.8,0.302,"This is a broad, high-prevalence topic centered on routine maintenance, specifically oil selection (5w30, 5w40, brands like Elf, Castrol, Motul) and filter (filtresi) replacement. There is a secondary but clear signal related to diesel (DCI) components like DPF and EGR, indicating related queries or issues within general maintenance threads.","[""Confusion over correct engine oil specification"", ""Exhaust emission warning light after refueling (diesel)"", ""Questions about high-mileage (e.g., 200,000 km) diesel engine reliability""]","Verify correct oil specification and filter part numbers for the specific engine. For diesel models with emission warnings, check fuel quality and consider DPF/EGR system condition.",medium,128,"Topic is mixed, combining general maintenance advice with some diesel-specific fault discussions (DPF, EGR). Over 50% of threads have unknown engine type, but the 1.5 DCI is the most identifiable and significant specific engine. The chronic signal is moderate but likely reflects recurring maintenance questions rather than a chronic failure."
4,"Manual and automatic transmission issues including gear engagement, clutch problems, and EDC behavior",Transmission Problems,gearbox,chronic_failure,medium,high,36000.0,4000-92000 km,"[""all""]",all,[],[],"Evidence spans all engine groups, with significant covariate effects for both petrol (TCE) and diesel (DCI) families.",10.0,0.465,"This topic covers a wide range of transmission-related complaints, including manual gearbox failures (broken gears), clutch engagement issues (trembling, adjustment), and concerns about EDC dual-clutch automatic behavior (noise, hesitation, start-stop interaction). The problem appears across multiple generations and engine types.","[""Difficulty engaging gears, especially reverse or second gear"", ""Unusual noise or 'shouting' from the engine during gear shifts"", ""Trembling or vibration during clutch engagement"", ""Hesitation or rolling back when starting from a stop with EDC""]","Check for clutch wear, gear synchronizer condition, and for EDC vehicles, scan for transmission control unit faults and inspect the dual-clutch assembly.",high,222,"High proportion of 'unknown' engine group (74.3%) limits precise engine targeting, but covariate effects and breakdowns show the issue is not isolated to a single powertrain. The topic bundles both manual and automatic (EDC) transmission concerns, which may represent distinct underlying faults."
5,Cooling system overheating and fluid loss issues,Cooling system faults,cooling,fluid_leak,high,high,9600.0,4200-87200 km,"[""all""]",all,[],"[{""code"": null, ""name"": ""thermostat"", ""notes"": ""Frequently mentioned in snippets""}, {""code"": null, ""name"": ""radiator"", ""notes"": ""Prominent in FREX terms""}]","Evidence spans multiple engine groups (1.5 DCI, 0.9 TCE, 1.2 TCE, 1.4 NA, 1.6 NA) and all generational cohorts, suggesting a broad cooling system concern.",7.3,0.615,"A prevalent topic concerning cooling system failures, primarily characterized by overheating (hararet) and coolant loss (antifriz eksilme). Issues appear across multiple Clio generations and engine types, often involving thermostat, radiator, or related components.","[""Overheating gauge reading (hararet)"", ""Frequent need to top up coolant (antifriz eksilme)""]","Check for coolant leaks at the thermostat housing, radiator, and hoses. Monitor the coolant level and expansion tank for unexplained drops.",medium,171,"High proportion of threads (75.4%) have unknown engine group, limiting precise engine targeting. Covariate effects show all engine groups have significant positive association, supporting a broad issue. Chronic signal is moderate (0.615), indicating recurring complaints but not overwhelmingly persistent."
6,"Tire and wheel selection, fitment, and seasonal change discussions",Tire/Wheel Fitment,other,other,low,high,,,"[""all""]",all,[],[],,3.2,0.556,"This topic consists of general discussions about tire and wheel selection, including brand comparisons (Goodyear, Michelin, Continental, Nokian), sizing (195/55, 205/55), fitment, and seasonal changes. It is not indicative of a mechanical failure or defect.","[""Discussions about tire brands and models"", ""Questions regarding wheel fitment and sizing""]","No specific inspection is advised as this is a discussion topic, not a fault.",high,73,"The topic is clearly about tire/wheel selection and seasonal regulations, not a vehicle fault. The chronic signal and mileage distribution are not relevant to a failure mode. Engine breakdown shows most threads are 'unknown', and covariate effects are uniform, confirming this is a general discussion topic unrelated to specific powertrains."
7,"Steering system noise and stiffness, potentially related to steering rack, pump, or linkage components",Steering Noise/Stiffness,suspension,noise,medium,medium,10000.0,3200-45400 km,"[""all""]",all,[],[],Evidence is not engine-specific; issue appears across multiple generations and engine types.,4.0,0.868,"A common complaint involves noises (creaking, grinding) and stiffness when turning the steering wheel, often intermittent. Users report sounds from the steering column, rack, or associated linkages, with concerns about steering pumps and control arms.","[""Creaking or grinding noise when turning the steering wheel, especially at full lock or during sharp turns"", ""Stiffness or unusual resistance in the steering feel""]","Check steering rack, power steering pump, linkage components (tie rods, control arms), and associated mounts for wear, play, or leaks. Noise can be intermittent, so replication may require specific conditions.",medium,95,"High chronic signal suggests recurring, unresolved complaints. However, engine breakdown data is dominated by 'unknown' (94.7%), limiting engine-specific conclusions. Covariate effects show no strong engine-specific signal, supporting a broad interpretation. Snippets point to a steering/suspension noise issue but are not highly diagnostic for a single root cause."
8,Interior trim rattles and squeaks from dashboard and trunk area,Interior rattles,other,noise,low,medium,14000.0,2500-36000 km,"[""all""]",all,[],[],No specific engine link; issue appears across all engine types based on broad evidence.,2.0,1.104,"Users report persistent interior rattles and squeaks, primarily from the dashboard and trunk area, often occurring at low speeds or when accelerating. Complaints are common across all Clio generations and engine types, with many threads mentioning service visits and attempts at DIY fixes like using silicone or spray.","[""Buzzing or vibration noise from dashboard during acceleration"", ""Squeaking or rattling sounds from the trunk area""]","Check for loose trim panels, dashboard components, and trunk fittings; test drive at low speeds to replicate the noise.",medium,44,"High proportion of 'unknown' engine data limits precise engine mapping. FREX terms (gicirtisi, cizirti, bagajdan) strongly indicate noise, but snippets also reference unrelated topics (e.g., motor cleaner, BMW), suggesting some topic mixture. Chronic signal is present but weak."
9,Forum price table formatting and discussion,Price table formatting,other,other,low,high,,,"[""all""]",all,[],[],,1.2,0.209,"This topic consists of forum posts containing HTML table formatting for vehicle price lists and specifications. The content is administrative or informational, not related to a mechanical or technical vehicle issue.","[""Posts containing HTML table tags (td, table, tr, bgcolor, align)"", ""Lists of vehicle models, years, and prices""]",No vehicle inspection is relevant; this is a data formatting artifact from forum posts.,high,25,"The topic is a clear false positive for vehicle issues. FREX and PROB terms are dominated by HTML/table formatting tags (td, table, align, class, width, bgcolor). Representative snippets show price lists and vehicle specification tables. The engine and year breakdowns are incidental to the listed vehicles in the price tables, not indicative of a fault pattern. Chronic signal is low and not related to a recurring technical problem."
10,"Headlight and interior lighting upgrades, modifications, and cleaning discussions",Lighting Upgrades,lighting,other,low,high,,,"[""all""]",all,[],"[{""code"": ""H7"", ""name"": ""Headlight bulb type"", ""notes"": ""Mentioned in FREX terms""}, {""code"": ""T10"", ""name"": ""Bulb type"", ""notes"": ""Mentioned in snippet 1""}]",No specific engine-related failure pattern; topic is about user modifications across all models.,5.4,0.575,"This topic primarily consists of user discussions about upgrading, replacing, or cleaning vehicle lighting components, including headlights (H7 bulbs, LEDs from Osram, Philips) and interior bulbs. It represents a common modification interest rather than a chronic mechanical or electrical failure.","[""Desire to upgrade lighting for better visibility or aesthetics"", ""Questions about DIY headlight lens cleaning and polishing""]",Check for aftermarket LED or bulb installations and inspect headlight lens clarity if cleaning is discussed.,high,111,"High chronic signal likely reflects ongoing, repeated community discussions about modifications, not a recurring vehicle fault. The 'unknown' engine group dominates (85.6%), supporting the topic's general, non-engine-specific nature. Snippet 5 mentions a trunk lock issue but is an outlier in a lighting-focused bundle."
