issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,merged_from_issue_ids,model_scope,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated,affected_engines_original,_scope_notes
thermostat_water_pump_housing_leak,Water pump failure causing coolant leak or overheating,Coolant leak,cooling,fluid_leak,high,high,"[""1.6_TDI"", ""1.8_TSI"", ""2.0_TDI"", ""2.0_TSI"", ""CJXC"", ""DJHA"", ""DNUE""]",,"before 200,000 km","Coolant leaking out of the thermostat water pump housing, causing low coolant warning or puddles on the garage floor.","Premature wear, seal failure, or water pump cover mechanism stuck closed.",Replace the thermostat housing or water pump assembly.,"[""Low coolant warning"", ""Puddles of coolant under car"", ""Coolant leak"", ""Overheating"", ""No coolant flow"", ""Temperature fluctuations"", ""Coolant loss""]","Check for coolant leaks around the water pump, monitor coolant level, and check for overheating issues and coolant circulation.",6,3,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""TDI""}, {""video_id"": ""2JvUhYwgEGM"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,high,Merged 'Premature water pump failure' and 'Water pump cover stuck closed causing overheating' as related cooling system failures.,6,"[""coolant_leak_thermostat_water_pump"", ""thermostat_water_pump_housing_leak"", ""water_pump_failure"", ""water_pump_thermostat_failure""]","[""all_vw_golf_mk7""]","{""TDI"": 1, ""base"": 5}",2,base,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
carbon_buildup_intake_valves,Carbon buildup on intake valves from direct injection,Carbon Buildup,engine,chronic_failure,medium,high,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""2.0_TSI"", ""CJXC"", ""DJHA"", ""DNUE""]",,,"Reduced engine performance, rough idle, or misfires due to carbon deposits on intake valves.",Carbon deposits on intake valves,Intake valve cleaning (walnut blasting),"[""Rough idle"", ""Loss of power"", ""Misfires"", ""Reduced power"", ""Reduced performance"", ""Rough running""]",Check for rough idle or performance loss; consider valve inspection if high mileage.,4,2,"[{""video_id"": ""FxfcS30ulZ4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}, {""video_id"": ""4f1aVIA801g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,high,Common in direct injection petrol engines without port injection.,4,"[""carbon_buildup_intake_valves"", ""carbon_buildup_on_valves""]","[""all_vw_golf_mk7""]","{""base"": 4}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
diesel_engine_reliability_issues,Diesel engines less reliable with DPF and power issues,Diesel problems,engine,chronic_failure,high,medium,"[""1.6_TDI"", ""2.0_TDI""]",,,"Diesels are less reliable than petrols, with potential for stalling at low RPM, power loss at high RPM, poor fuel economy, and DPF regeneration interruption risks.","Emissions systems complexity, DPF operation, potential turbo or fuel system issues.","Ensure proper DPF regeneration cycles, address potential sensor or turbo faults.","[""Check engine light"", ""Reduced power"", ""Poor MPG"", ""Rough idle""]","Check service history for DPF issues, test drive for low-RPM stalling and high-RPM power delivery.",3,1,"[{""video_id"": ""0mbw1oDtRC0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""TtIKNOjBHDc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""udX3VU-Haus"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,"Merges diesel reliability, DPF regeneration, low RPM stall, high RPM power drop, and poor fuel economy for diesel engines.",3,,"[""diesel_only""]","{""base"": 3}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
plastic_oil_pan_and_drain_plug_issues,Plastic oil pan cracking and drain plug leaks,Oil Plug Leak,engine,chronic_failure,medium,medium,"[""2.0_TSI""]",,,"Oil pan cracks easily, even at stock height, leading to oil leaks. The plastic drain plug can also leak.",Plastic oil pan and drain plug design prone to damage and wear.,Replace with an aftermarket metal drain plug or new plastic plug. Repair or replace oil pan if cracked.,"[""Oil spots under car"", ""Low oil level""]","Inspect oil pan and drain plug area for cracks, leaks, or seepage during oil changes.",3,1,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Merged plastic oil drain plug leak and plastic oil pan cracking issues.,3,"[""plastic_oil_drain_plug_leak"", ""plastic_oil_pan_and_drain_plug_issues"", ""plastic_oil_pan_plug_leak""]","[""all_vw_golf_mk7""]","{""base"": 3}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
rear_main_seal_failure,PCV failure causing rear main seal leak,PCV Seal Leak,engine,fluid_leak,high,high,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI"", ""CJXC"", ""DJHA"", ""DNUE""]",,,"Oil leak from the rear of the engine, leading to oil spots under the car and potential low oil level.",Seal degradation,Replace rear main seal,"[""Oil leak"", ""Oil spots under car"", ""Low oil level""]",Inspect bell housing area and undercarriage for oil leaks.,3,2,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""4f1aVIA801g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,3,"[""pcv_failure_rear_main_seal"", ""rear_main_seal_failure"", ""rear_main_seal_oil_leak""]","[""all_vw_golf_mk7""]","{""base"": 3}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
timing_chain_tensioner_failure,Timing chain tensioner failure on TSI engines,Tensioner wear,engine,chronic_failure,high,high,"[""1.8_TSI"", ""2.0_TSI""]",,,"Rattling noise at cold start, indicating potential excessive wear or failure of the timing chain tensioner.",Excessive wear or failure,Replace timing chain and tensioner,"[""Engine rattling on startup"", ""Timing-related noise"", ""Rattling noise at cold start""]",Listen for rattling noise during cold start; check timing chain tensioner condition.,3,1,"[{""video_id"": ""A10fzR5rZ1g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""FxfcS30ulZ4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}, {""video_id"": ""4f1aVIA801g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,high,Critical issue; can lead to engine destruction if not addressed. Merged with 'timing_chain_stretch'.,3,"[""timing_chain_tensioner_failure"", ""timing_chain_tensioner_wear_1_8_tsi""]","[""all_vw_golf_mk7""]","{""base"": 3}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
bonnet_release_cable_slip,Bonnet release cable slips off,Bonnet Cable,body,intermittent_fault,low,medium,[],,,Bonnet release lever does not open the bonnet because the cable has slipped.,,,[],Test the bonnet release mechanism to ensure it operates smoothly.,2,1,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,2,"[""bonnet_release_cable_break"", ""bonnet_release_cable_slip""]","[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""1.8_TSI"", ""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
clutch_at_power_limit,Standard clutch at power limit,Clutch Limit,gearbox,wear_item,medium,high,"[""2.0_TSI"", ""CJXC"", ""DJHA"", ""DNUE""]",,,"The standard clutch is considered to be at its limit with factory power, especially if modified.",Factory power output,Upgrade clutch,"[""Slipping clutch"", ""Burning smell"", ""Clutch wear"", ""Clutch slip""]",Check for clutch slip under acceleration; review tuning history.,2,2,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Especially with tuning.,2,,"[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
coolant_leak_thermostat_housing,Thermostat housing deterioration and coolant leak,Thermostat leak,cooling,fluid_leak,medium,high,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI""]",mostly in the before phase lift cars,,Coolant loss and potential overheating due to leaks from the thermostat/water pump housing.,,,"[""Coolant loss"", ""Overheating""]",Check for coolant residue around thermostat housing and water pump.,2,1,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,2,"[""coolant_leak_thermostat_housing"", ""thermostat_housing_coolant_leak""]","[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""mostly in the before phase lift cars"", ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
fuel_pump_nickel_plating_flaking,Fuel pump nickel plating flaking and recall,Fuel Pump Issues,fuel,chronic_failure,high,medium,"[""all""]",2015,,Fuel pump fails due to flaking nickel plating. Potential fire hazard due to accumulation in the fuel tank suction pump.,Degradation of nickel plating inside fuel pump. Design or manufacturing flaw leading to recall.,Replace the fuel pump assembly. Check for and address any open recalls.,"[""Engine stalling"", ""Loss of power"", ""Fuel delivery issues""]","Check service history for fuel pump replacement, especially on 2015 models. Check for any open recalls related to the fuel system.",2,1,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Merged fuel pump flaking and fuel tank suction pump recall issues. Specific to 2015 model year mention for flaking.,2,,"[""all_vw_golf_mk7""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""2015"", ""from_llm_year_parsed"": [""2015""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2015-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2015""}",2015,,
