issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,model_scope,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated,merged_from_issue_ids,affected_engines_original,_scope_notes
timing_chain_tensioner_failure,Timing chain tensioner failure causing engine damage,Timing chain failure,engine,chronic_failure,high,high,"[""1.2_TSI"", ""1.4"", ""1.4_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,before 100k km,"Potential for catastrophic engine damage due to timing chain or tensioner failure. Rattle when starting with a cold engine, risking serious engine damage.",Tensioner relies on proper oil level and pressure; design prone to failure.,Requires staying on top of timing chain service as a critical maintenance item to prevent failure.,"[""Engine rattling or noise on startup"", ""Timing chain noise under acceleration"", ""Rattle when starting with a cold engine"", ""Timing chain rattle, especially on startup""]",Check service history for timing chain replacement; listen for rattling on cold start.,7,2,"[{""video_id"": ""V3O6BHi2-pg"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""waG3i3Hon5Q"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""wdMEFFNou3Y"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""CzWxijTPkHY"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""LFed8YNxj2M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""ADUK5PFB4k4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""SWyKL-IK9Ww"", ""title"": ""VW Golf MK6 Issues of the Petrol Engines 2008-2013"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,high,Merged from 'timing_belt_rattle_failure' (specific to 2.0_TSI_R) and broader timing chain issues on EA888 engines. Note: EA113 (belt) vs EA888/EA111 (chain) distinction.,7,"[""all_vw_golf_mk6""]","{""base"": 7}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2008-2013""], ""from_engine_production_windows"": [""2008-2013""], ""from_model_scope_window"": [""2008-2013""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2008-2013""}",2008-2013,,,
carbon_buildup_intake_valves,Intake valve carbon buildup from direct injection,Carbon buildup,engine,wear_item,medium,high,"[""1.2_TSI"", ""1.4_TSI"", ""1.8_TSI"", ""2.0_TSI"", ""2.0_TSI_R""]",,80k-150k km,"Rough idle, misfires, and loss of power due to carbon deposits on direct injection engine intake valves.",Direct injection design leads to carbon accumulation on intake valves.,Walnut blasting or chemical cleaning of intake valves.,"[""Rough idle"", ""Loss of power"", ""Poor fuel economy"", ""Misfires"", ""Reduced power""]",Consider a borescope inspection of intake valves if high mileage and symptoms present.,4,3,"[{""video_id"": ""V3O6BHi2-pg"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""EonkR-ss2bs"", ""title"": ""Why We Went With A MK6 Volkswagen GTI"", ""channel"": ""The Parking Lot Mechanic"", ""video_type_category"": ""organic"", ""trim"": ""GTI""}, {""video_id"": ""ADUK5PFB4k4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""SWyKL-IK9Ww"", ""title"": ""VW Golf MK6 Issues of the Petrol Engines 2008-2013"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,Common issue on many direct injection petrol engines.,4,"[""all_vw_golf_mk6""]","{""GTI"": 1, ""base"": 3}",2,base,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2008-2013""], ""from_engine_production_windows"": [""2008-2013""], ""from_model_scope_window"": [""2008-2013""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2008-2013""}",2008-2013,"[""carbon_buildup_intake_valves"", ""intake_valve_carbon_buildup""]",,
dpf_clogging,Diesel particulate filter problems requiring replacement,DPF failure,exhaust,chronic_failure,high,high,"[""1.6_TDI"", ""2.0_TDI""]",,120k-200k km,"Vehicle lacks power, warning light for DPF, exhaust smell in engine bay, and rattling exhaust due to excessive back pressure. Can clog if long journeys are not regularly undertaken.",Insufficient regeneration cycles from short journeys.,DPF replacement or forced regeneration,"[""DPF warning light"", ""loss of power"", ""exhaust smell in cabin"", ""Warning light"", ""Reduced power"", ""Increased fuel consumption""]",Check service history for DPF regenerations or replacements. Look for DPF warning lights or fault codes.,3,2,"[{""video_id"": ""vGDO9iC6Mfk"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}, {""video_id"": ""75buEMYS0wc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""pSXXj2fgMwc"", ""title"": ""5 Things I LOVE About My VW Golf TDI (Mk6)"", ""channel"": ""AJ LoDato"", ""video_type_category"": ""organic"", ""trim"": ""TDI""}]",youtube,high,"Common issue on diesel vehicles, especially with urban driving.",3,"[""diesel_only""]","{""TDI"": 1, ""base"": 2}",2,base,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2008-2013""], ""from_model_scope_window"": [""2008-2013""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2008-2013"", ""fallback_window_source"": ""engine""}",,"[""dpf_clogging"", ""dpf_failure""]",,
dual_mass_flywheel_failure,Dual mass flywheel failure on TDI,DMF failure,gearbox,wear_item,high,high,"[""1.6_TDI"", ""2.0_TDI"", ""2.0_TSI_R""]",,,"Excessive vibration, rattling noises from the clutch area, especially at idle.","Wear and tear, especially with high torque or stop-start driving.",Replacement of the dual mass flywheel and often the clutch.,"[""clunking noise at idle"", ""vibration through clutch pedal"", ""rattling when engine is off"", ""Vibration"", ""Rattling at idle""]","Listen for rattling or clunking at idle, especially with clutch depressed.",3,2,"[{""video_id"": ""vGDO9iC6Mfk"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}, {""video_id"": ""CzWxijTPkHY"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""Vz1j3JU8E6M"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,Common on diesel engines due to higher torque.,3,"[""diesel_only""]","{""base"": 3}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2008-2009"", ""2013""], ""from_engine_production_windows"": [""2008-2013""], ""from_model_scope_window"": [""2008-2013""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2008-2013""}",2008-2013,"[""dual_mass_flywheel_failure"", ""dual_mass_flywheel_failure_tdi""]",,
fuel_injector_failure,Fuel injector failure,Injector failure,fuel,chronic_failure,high,high,"[""1.2_TSI"", ""1.4_TSI"", ""1.6_TDI"", ""1.8_TSI"", ""2.0_TDI"", ""2.0_TSI"", ""2.0_TSI_R""]",,200000 km,"Faulty injectors can occur, requiring testing or replacement, especially around 200,000 km.",Design or manufacturing fault leading to premature wear.,Test and replace faulty injectors,"[""Misfires"", ""Poor running"", ""Increased fuel consumption"", ""Rough idle"", ""Misfire"", ""Poor fuel economy"", ""Rough running""]",Check for fault codes related to injectors; inquire about replacement history.,3,3,"[{""video_id"": ""waG3i3Hon5Q"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""4isZJFleo9g"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""SWyKL-IK9Ww"", ""title"": ""VW Golf MK6 Issues of the Petrol Engines 2008-2013"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,Higher mileage concern.,3,"[""all_vw_golf_mk6""]","{""base"": 3}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2008-2013""], ""from_engine_production_windows"": [""2008-2013""], ""from_model_scope_window"": [""2008-2013""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2008-2013""}",2008-2013,,,
pcv_system_failure,PCV valve or crankcase ventilation system failure,PCV failure,engine,chronic_failure,medium,high,"[""1.4_TSI"", ""1.8_TSI"", ""2.0_TSI"", ""2.0_TSI_R""]",,128000 km,"Engine may exhibit oil consumption, rough idle, or check engine light. System is a weaker part, especially when tuning the engine.",Weak crankcase ventilation design,Replace PCV valve and rear main seal if needed,"[""Oil consumption"", ""Rough idle"", ""Check engine light"", ""Oil leaks"", ""Excessive crankcase pressure""]",Check PCV valve function and for oil leaks at rear of engine.,3,3,"[{""video_id"": ""CzWxijTPkHY"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""ADUK5PFB4k4"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}, {""video_id"": ""SWyKL-IK9Ww"", ""title"": ""VW Golf MK6 Issues of the Petrol Engines 2008-2013"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,Merged 'crankcase_ventilation_weakness' and 'pcv_failure' as they describe the same system.,3,"[""all_vw_golf_mk6""]","{""base"": 3}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2008-2013""], ""from_engine_production_windows"": [""2008-2013""], ""from_model_scope_window"": [""2008-2013""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2008-2013""}",2008-2013,"[""pcv_failure"", ""pcv_system_failure"", ""pcv_valve_failure_blows_seal""]",,
body_rust_and_trim_issues,"Body rust, brittle clips, and interior rattles",Body Issues,body,structural,medium,high,[],,,"Multiple body and interior issues including rust, brittle plastics, and sagging headliner.",,Regular cleaning of drainage holes,"[""Rust around tailgate"", ""Brittle bumper clips"", ""Sagging headliner"", ""Rattling interior"", ""Water accumulation in door""]","Check for rust around tailgate badge/lights, inspect bumper clips, listen for interior rattles, examine headliner, and check door drainage holes for blockages.",2,2,"[{""video_id"": ""CzWxijTPkHY"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""55rbRo6ZUHs"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,"Consolidated multiple body-related issues (bumper clips, door drains, wheel arch foam, tailgate rust, headlining sag, interior plastic brittleness) from source videos.",2,"[""all_vw_golf_mk6""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2009"", ""2013""], ""from_engine_production_windows"": [""2009-2013""], ""from_model_scope_window"": [""2009-2013""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2009-2013""}",2009-2013,,"[""2.0_TSI_R""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
cp4_high_pressure_fuel_pump_failure,High pressure fuel pump (CP4) failure,CP4 pump failure,fuel,chronic_failure,high,high,"[""1.6_TDI"", ""2.0_TDI""]",2008-2013,,"Pump failure can contaminate the fuel system with metal particles, potentially requiring a new engine or very expensive repair.",Pump mechanical failure,Replace high-pressure fuel pump and clean/repair fuel system,[],Check service history for pump replacement; consider preventive replacement on high-mileage examples.,2,1,"[{""video_id"": ""c4X_Kigzg4M"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""list_format"", ""trim"": ""base""}, {""video_id"": ""4isZJFleo9g"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,Referenced as 'high pressure fuel pump failure' and 'CP4 fuel pump failure'.,2,"[""all_vw_golf_mk6""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""2008-2013"", ""from_llm_year_parsed"": [""2008-2013""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2008-2013""], ""from_engine_production_windows"": [""2008-2013""], ""from_model_scope_window"": [""2008-2013""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2008-2013""}",2008-2013,,,
egr_valve_failure,EGR valve problems,EGR valve,exhaust,chronic_failure,medium,high,"[""1.6_TDI"", ""2.0_TDI""]",2008-2013,,There can be problems with the exhaust gas recirculation valve.,Carbon buildup from exhaust gases.,Cleaning or replacement of the EGR valve.,"[""loss of power"", ""rough idle"", ""check engine light""]",Check for fault codes related to EGR flow.,2,2,"[{""video_id"": ""4isZJFleo9g"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""vGDO9iC6Mfk"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",youtube,medium,Often related to DPF clogging in diesel engines.,2,"[""all_vw_golf_mk6""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""2008-2013"", ""from_llm_year_parsed"": [""2008-2013""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2008-2013""], ""from_engine_production_windows"": [""2008-2013""], ""from_model_scope_window"": [""2008-2013""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2008-2013""}",2008-2013,"[""egr_valve_failure"", ""egr_valve_problems""]",,
timing_chain_premature_wear,Premature timing chain wear on early EA111 engines,Timing chain wear,engine,chronic_failure,high,high,"[""1.2_TSI"", ""1.4"", ""1.4_TSI"", ""2.0_TSI""]",cars made to 2011,20k-100k km,"Timing chain mechanism can wear before 100,000 km, sometimes requiring replacement as early as 20,000-30,000 km.",Premature wear of timing chain components.,"Replace timing chain, tensioner, and guides.","[""Timing chain rattle on startup"", ""Whining noise on cold start""]",Check service history for timing chain replacement; listen for startup rattle.,2,2,"[{""video_id"": ""SWyKL-IK9Ww"", ""title"": ""VW Golf MK6 Issues of the Petrol Engines 2008-2013"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""Vz1j3JU8E6M"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,Affects EA111 chain-driven petrol engines up to 2011.,2,"[""all_vw_golf_mk6""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""cars made to 2011"", ""from_llm_year_parsed"": [""2008-2011""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2008-2013""], ""from_engine_production_windows"": [""2008-2013""], ""from_model_scope_window"": [""2008-2013""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2008-2011""}",2008-2011,"[""timing_chain_premature_wear"", ""timing_chain_wear_fsi""]",,
