issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,merged_from_issue_ids,model_scope,affected_engines_original,_scope_notes,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated
touch_controls_unresponsive_unlit,Erratic or unresponsive touch-sensitive climate controls,Touch control issues,electrical,intermittent_fault,medium,high,[],2019,,"Touch pads for climate control and heated seats are unresponsive or hard to operate while driving. At night, the driver cannot see the touch-sensitive climate/volume controls to operate them. Includes accidental presses from overly sensitive capacitive/haptic buttons.",Overly sensitive touch controls and design oversight,"Software adjustment, careful handling, or use of memory/external light","[""Difficulty operating controls while driving"", ""Controls not illuminated at night"", ""Unintended setting changes during steering""]","Test all touch controls during day and night driving conditions, including during cornering.",6,1,"[{""video_id"": ""nFsGTPz5800"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""A2gnwh7qYCk"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""P9DleUljRjA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""oQp9KxVqiuQ"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""RYZDp94LG80"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""rNMHOg3SPog"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,high,"Merged 'touch_controls_unresponsive', 'capacitive_controls_malfunction', 'climate_controls_unlit', and 'touch_interface_ergonomics'. Issue includes responsiveness, visibility, accidental activation, and ergonomics.",6,"[""touch_controls_unresponsive"", ""touch_controls_unresponsive_unlit""]","[""all_vw_golf_mk8""]","[""1.0_ETSI"", ""1.0_TSI"", ""1.4_EHYBRID"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 6}",1,base,0,False,"{""from_llm_year_phrase"": ""2019"", ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020""}",2020
infotainment_ui_complexity,Overly complex touchscreen infotainment interface,Complex infotainment,electrical,other,medium,high,[],,,"The driver finds the touchscreen system infuriating and difficult to use while driving, requiring multiple steps for basic functions like climate control. The infotainment screen is also laggy or unresponsive.",Design choice for minimalist interior,Adaptation or aftermarket solutions,"[""Frustration accessing climate controls"", ""Distraction while driving"", ""Screen lag"", ""Unresponsive touch controls""]","Spend time navigating menus, especially climate settings, and test all infotainment functions thoroughly during a test drive.",5,2,"[{""video_id"": ""nFsGTPz5800"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""A2gnwh7qYCk"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""rNMHOg3SPog"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""P9DleUljRjA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""EryhYgmqNAk"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,high,Merged with 'voice_command_unreliable' as part of overall HMI frustration and 'infotainment_screen_failure' for lag/unresponsiveness.,5,,"[""all_vw_golf_mk8""]","[""1.0_ETSI"", ""1.0_TSI"", ""1.4_EHYBRID"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 5}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020""}",2020
infotainment_system_performance,"Infotainment system lag, blackout, and slow startup",Infotainment lag/blackout,electrical,intermittent_fault,medium,high,[],,,"The center screen may be slow, unresponsive, lag after startup, or black out/reboot during a drive, often requiring a firmware update.",Software/firmware issues,Firmware update,"[""Slow response on startup"", ""Screen freezing"", ""Unexpected reboots""]",Test infotainment responsiveness and check for software version during a test drive.,4,1,"[{""video_id"": ""zWCiJW8C63U"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""oQp9KxVqiuQ"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""RYZDp94LG80"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""P9DleUljRjA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,high,"Merged from multiple reports of infotainment lag, blackout, and slow startup.",4,,"[""all_vw_golf_mk8""]","[""1.0_ETSI"", ""1.0_TSI"", ""1.4_EHYBRID"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 4}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020""}",2020
carbon_buildup_intake_valves,Carbon buildup on intake valves,Carbon buildup,engine,wear_item,medium,high,"[""2.0_TSI"", ""EA888 Gen 1"", ""EA888 Gen 2""]",pre-Mark 7,~100000 km,Engine runs rough or loses power due to intake valve deposits.,Direct injection design leading to deposit accumulation.,Manual cleaning of intake valves.,"[""Rough idle"", ""Loss of power"", ""Poor fuel economy"", ""Misfires""]","Check for service history of valve cleaning around 100,000 km.",2,1,"[{""video_id"": ""ADUK5PFB4k4"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""list_format"", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,high,Common in direct injection engines without port fuel injection.,2,"[""carbon_buildup_intake_valves"", ""carbon_buildup_on_intake_valves""]","[""all_vw_golf_mk8""]",,,"{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""pre-Mark 7"", ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020""}",2020
dsg_jerky_low_speed,DSG gearbox jerky at low speed,Jerky DSG,gearbox,chronic_failure,medium,medium,"[""1.0_ETSI"", ""1.5_ETSI"", ""2.0_TDI"", ""2.0_TSI""]",2019,,The automatic DSG gearbox feels jerky and unrefined during low-speed maneuvering.,,,"[""Rough shifts in parking lots or traffic""]",Test drive in stop-and-go traffic to assess low-speed behavior.,2,1,"[{""video_id"": ""A2gnwh7qYCk"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""P9DleUljRjA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Merged with 'clutch_pedal_action' as related drivetrain refinement issue. Focus kept on DSG behavior.,2,,"[""auto_only""]",,,"{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""2019"", ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020""}",2020
electrical_system_faults,Multiple electrical system faults,Electrical faults,electrical,intermittent_fault,medium,medium,[],,,"Infotainment system malfunction, travel assist errors, and steering wheel issues reported.",,,"[""Travel assist warning message"", ""System deactivation"", ""Flashing screens"", ""Erratic behavior""]",Check for any driver assistance or infotainment system fault codes.,2,1,"[{""video_id"": ""2cfJPerhPss"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""B573CeuGMhM"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,"Includes infotainment malfunction, travel assist errors, and steering wheel issues. Some reports are anecdotal from online forums.",2,,"[""all_vw_golf_mk8""]","[""2.0_TSI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2025""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2025""}",2025
suspension_issues,"Suspension knocks, groans, and harsh ride",Suspension issues,suspension,noise,medium,high,[],2021 and 2022,,"Noises, knocks, or groans from the front suspension, especially as mileage increases. On base models with torsion beam rear suspension, the rear of the car thumps and clatters heavily over transverse road ridges or repairs.",Torsion beam rear suspension design,Consider models with independent rear suspension if ride comfort is a priority.,"[""Knocking sounds from front"", ""Groaning over bumps"", ""Excessive noise from rear over bumps"", ""Jarring impacts""]","Listen for suspension noises during a test drive over varied surfaces. Drive over uneven surfaces, speed bumps, and repaired road sections to assess rear suspension comfort.",2,2,"[{""video_id"": ""P9DleUljRjA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""EryhYgmqNAk"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,high,Merged 'early_suspension_knocks' and 'torsion_beam_ride_quality' as related suspension comfort and noise issues.,2,,"[""all_vw_golf_mk8""]","[""1.0_ETSI"", ""1.0_TSI"", ""1.4_EHYBRID"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""2021 and 2022"", ""from_llm_year_parsed"": [""2021-2022""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""prefer_llm_phrase_on_conflict"", ""confidence"": ""high"", ""triangulated"": ""2021-2022""}",2021-2022
water_pump_thermostat_leak,Plastic water pump and thermostat housing leak,Water Pump,cooling,fluid_leak,high,high,"[""2.0_TSI"", ""EA888 Gen 3"", ""EA888 Gen 4""]",,,Coolant loss and potential overheating due to leaking plastic housing.,Plastic housing failure,Replace water pump/thermostat assembly,"[""Coolant level drop"", ""Overheating warning"", ""Overheating"", ""Coolant leak under car"", ""Coolant low warning""]",Check for coolant leaks around the water pump and inspect coolant level and condition.,2,1,"[{""video_id"": ""ADUK5PFB4k4"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,Common on EA888 engines.,2,"[""water_pump_failure"", ""water_pump_thermostat_leak""]","[""all_vw_golf_mk8""]",,,"{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020""}",2020
ac_solenoid_valve_failure,Air conditioning solenoid valve failure,AC valve fault,cooling,sensor_fault,medium,medium,"[""all""]",,,Poor air conditioning performance accompanied by a noise from the engine bay.,Solenoid valve failure,Replace AC solenoid valve,"[""Poor cooling"", ""Unusual engine bay noise""]",Test AC cooling performance and listen for abnormal noises.,1,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk8""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020""}",2020
blower_motor_failure,HVAC blower motor failure,Blower motor fault,electrical,chronic_failure,medium,medium,[],,,Poor heater performance or weak fan speed on all settings.,Blower motor failure,Replace blower motor,"[""Weak airflow"", ""No fan operation""]",Test HVAC fan at all speed settings.,1,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk8""]","[""all""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020""}",2020
