issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,model_scope,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated,merged_from_issue_ids,affected_engines_original,_scope_notes
carbon_buildup_intake_valves,Carbon buildup on intake valves and throttle body,Carbon buildup,engine,chronic_failure,medium,high,"[""0.9_TCE"", ""1.2_TCE""]",,,"Loss of power, rough idle, or misfires due to direct injection design.",Direct injection design leading to deposits.,Periodic cleaning of intake valves and throttle body.,"[""Rough idle"", ""Loss of power"", ""Misfires""]",Check for carbon deposits on intake valves and throttle body flap.,2,1,"[{""video_id"": ""_WqgVzlnzO4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""U_X59Q2rvUU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",youtube,high,Includes throttle body carbon buildup and sensor dependency from separate mentions.,2,"[""all_renault_clio_mk4""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,,,
egr_clogging,EGR valve and inlet conduit clogging,EGR clogging,exhaust,chronic_failure,medium,high,"[""1.5_DCI""]",,,"Reduced engine performance, warning lights, limp mode, or increased emissions due to carbon and soot buildup.",Carbon and soot accumulation from exhaust gas recirculation.,Cleaning or replacement of EGR valve and inlet conduit.,"[""Reduced performance"", ""Warning lights"", ""Limp mode"", ""Increased emissions"", ""Reduced engine performance""]","Inspect EGR system for soot and carbon deposits during service, especially on higher mileage vehicles, and check for related fault codes.",2,1,"[{""video_id"": ""hHK51MNcEsI"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""U_X59Q2rvUU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",youtube,high,Merged EGR valve sooting and EGR inlet conduit clogging.,2,"[""all_renault_clio_mk4""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,"[""egr_clogging"", ""egr_system_clogging""]",,
engine_noise_characteristic,Noisy engine characteristic for diesel and three-cylinder,Engine noise,engine,noise,low,high,"[""0.9_TCE"", ""1.5_DCI""]",2013,,The diesel engine is quite noisy. The three-cylinder petrol engine is also quite noisy most of the time.,Typical diesel engine characteristic. Inherent characteristic of the three-cylinder engine.,,"[""Excessive clatter at idle or under load"", ""Excessive engine noise at idle and under load""]",Listen for abnormal knocking or rattling beyond typical diesel noise. Listen for engine noise during cold start and acceleration.,2,1,"[{""video_id"": ""hN_e8p3y-X0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""K4tUsjiai8Y"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Merged 'diesel_engine_noise' and 'engine_noise_vibration' as both describe inherent engine noise characteristics. Kept most specific year (2013) and combined affected engines.,2,"[""diesel_only""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""2013"", ""from_llm_year_parsed"": [""2013""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2014""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2013""}",2013,,,
excessive_wind_noise,Excessive wind noise at motorway speeds,Wind noise,body,noise,low,high,[],2013,,"At motorway speeds, there is quite a lot of wind noise, making conversation difficult and long journeys tiring.",Aerodynamics and potential seal issues.,Seal replacement or aftermarket noise reduction,"[""Increased noise at highway speeds"", ""High wind noise above 60 mph"", ""Whistling sounds""]",Test drive at motorway speeds to assess cabin noise levels.,2,1,"[{""video_id"": ""K4tUsjiai8Y"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""Cf7MDFX--NE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,2,"[""all_renault_clio_mk4""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""2013"", ""from_llm_year_parsed"": [""2013""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2013""}",2013,,"[""0.9_TCE""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
gearbox_issues_manual,Notchy manual gearbox and reverse gear grinding,Notchy gearbox,gearbox,wear_item,medium,medium,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]",,,"The driver notes you have to be careful and really put it into reverse, otherwise you get a horrible grinding noise.",Synchromesh wear or clutch adjustment,Gearbox repair or clutch adjustment,"[""Notchy shifting feel"", ""Grinding noise when selecting reverse"", ""Difficulty engaging reverse""]",Test drive to assess gear shift smoothness. Test reverse gear engagement multiple times.,2,1,"[{""video_id"": ""BpSVplvqdl4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""Cf7MDFX--NE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,2,"[""all_renault_clio_mk4""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013"", ""2016""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,"[""gearbox_issues_manual"", ""gearbox_reverse_grinding"", ""notchy_manual_gearbox""]",,
poor_rear_visibility,Poor rear visibility from small windows,Poor rear view,body,structural,low,high,[],2013,,Difficulty seeing over shoulder when parking or exiting junctions due to reduced glass area.,Vehicle design with thick rear pillars and small rear window.,,"[""Difficulty seeing out rear window"", ""Blind spots"", ""Difficulty parking""]","Check visibility during test drive, especially when reversing or at junctions.",2,1,"[{""video_id"": ""K4tUsjiai8Y"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""U_X59Q2rvUU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",youtube,medium,,2,"[""all_renault_clio_mk4""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""2013"", ""from_llm_year_parsed"": [""2013""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2013""}",2013,,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
suspension_handling_issues,Excessive body roll and light steering feel,Suspension roll,suspension,structural,low,medium,[],,,"Suspension tends to roll in corners; steering lacks weight and feedback, reducing fun.",Suspension tuning for comfort,Aftermarket suspension upgrades or alignment adjustments,"[""Body lean in turns"", ""Vague steering response""]",Test drive on winding roads to assess body control and steering feedback.,2,1,"[{""video_id"": ""hN_e8p3y-X0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""QycnbLJuV0s"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,"Merged two separate suspension/handling complaints from different videos; 'excessive body roll' had no engine specified, so used engine from 'light steering' for consolidation.",2,"[""all_renault_clio_mk4""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2014""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2014""}",2013-2014,,"[""1.5_DCI""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
automatic_gearbox_performance,"Automatic gearbox not smooth, slow response",Gearbox sluggish,gearbox,intermittent_fault,medium,medium,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]",2016,,Automatic gearboxes are not very smooth and are slow to respond.,,Gearbox software update or fluid change may help,"[""Jerky shifts"", ""Delayed acceleration response""]",Test drive to assess gearshift smoothness and response times.,1,1,"[{""video_id"": ""VASAFqpowrs"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""auto_only""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2016"", ""from_llm_year_parsed"": [""2016""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2016""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2016""}",2016,,,
awkward_start_button_placement,Awkward start button placement,Start button placement,electrical,other,low,high,[],,,Start button is inconveniently located low on the left side of the center stack.,Ergonomic design choice.,,"[""Inconvenient access""]",Assess ease of use during test drive.,1,1,"[{""video_id"": ""U_X59Q2rvUU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",youtube,high,,1,"[""all_renault_clio_mk4""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
diesel_engine_noise,Diesel engine is quite noisy,Engine noise,engine,noise,low,medium,"[""1.5_DCI""]",,,The driver notices the diesel engine option is quite noisy.,Typical diesel engine characteristic,,"[""Excessive clatter at idle or under load""]",Listen for abnormal knocking or rattling beyond typical diesel noise.,1,1,"[{""video_id"": ""hN_e8p3y-X0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""diesel_only""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2014""], ""from_engine_production_windows"": [""2013-2019""], ""from_model_scope_window"": [""2013-2019""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2014""}",2014,,,
