topic_id,label,label_short,system_component,issue_type,severity,confidence,onset_mileage_typical_miles,onset_mileage_range,affected_generations,known_part_codes,generation_notes,prevalence_pct,chronic_signal,summary,warning_signs,inspection_advice,data_quality,thread_count,notes
1,"General vehicle comparison, ownership experience, and model selection discussions",Model Comparison & Ownership,other,other,low,high,,,"[""MK7"", ""MK7.5"", ""MK8"", ""Golf_R""]",[],"Discussions heavily favor MK7/MK7.5 and MK8 generations, with strong positive association for MK8 and 2.0 TSI models.",12.7,1.835,"This topic captures general forum discussions about vehicle comparison, ownership satisfaction, and model selection advice, rather than a specific mechanical fault. It is strongly associated with newer generations (MK8, MK7) and higher-spec models (2.0 TSI, Golf R), and shows a slight positive correlation with higher mileage vehicles. The high chronic signal suggests these are recurring, open-ended discussions about vehicle choice and experience.","[""Owner seeking advice on choosing between models (e.g., GTI vs R vs S3)"", ""Discussions comparing generations (e.g., MK7 vs MK7.5 vs MK8)"", ""General queries about long-term ownership and reliability""]",Not applicable as this is not a fault-specific topic. Threads relate to pre-purchase research and ownership experience sharing.,high,339,"This topic represents general conversation and advice threads, not a specific vehicle fault. The high prevalence and chronic signal indicate it's a core, recurring theme on the forum. The positive coefficients for MK8 and 2.0_TSI suggest these models are frequently discussed in comparative contexts."
2,"Suspension and chassis rattles, creaks, and clonking noises",Suspension rattles,suspension,noise,low,high,16000.0,2000-40000 miles,"[""MK6"", ""MK7"", ""MK7.5""]",[],"MK6 shows the strongest positive association with this topic, followed by MK7.5.",7.4,1.106,"This is a common, recurring complaint of rattling, creaking, and clonking noises from the suspension or chassis, often reported soon after purchase or dealer visits. The issue appears across generations but is most strongly associated with MK6 models and occurs at relatively low mileages.","[""Creaking or clonking noises over bumps"", ""Intermittent buzzing or rattling from the chassis""]","Test drive over varied road surfaces and listen for suspension creaks, clonks, or rattles, especially after the car has been to a dealer for other work.",medium,198,"Over half of the threads have an unknown engine group, limiting precise engine-specific analysis. The issue is noise-related and not linked to a specific catastrophic failure in the provided parts knowledge."
3,Cooling system thermostat and water pump failures causing leaks and temperature fluctuations,Thermostat/Water Pump,cooling,chronic_failure,medium,high,27000.0,8000-54000 miles,"[""MK7"", ""MK5""]",[],"MK7 shows strongest statistical association with this issue, while MK7.5 shows a negative association suggesting possible design improvement.",5.9,1.306,"This topic represents recurring complaints about cooling system failures, primarily involving thermostat housings and water pumps that develop leaks. Users report fluctuating temperature gauges, coolant loss, and occasional heater/smell issues, with problems appearing across a wide mileage range but concentrated around 27,000 miles median.","[""Coolant temperature gauge fluctuating between 80-90°C"", ""Coolant level dropping below minimum without visible leaks"", ""EPC light with limp mode and rising temperature"", ""Low oil temperature readings""]","Check for coolant leaks around thermostat housing and water pump, verify consistent temperature gauge operation at 90°C, and inspect for any coolant residue in engine bay during pre-purchase inspection.",high,157,"Nearly half (47.8%) of threads have unknown engine group, limiting precise engine-family analysis. The positive mileage_log coefficient suggests issue likelihood increases with mileage."
4,"Routine service scheduling, oil changes, and extended warranty queries",Service scheduling,other,wear_item,low,high,,,[],[],,5.5,1.205,"This topic captures routine service and maintenance discussions, including oil changes, filter replacements, service plans, and extended warranty queries. The data shows a focus on understanding service schedules, costs, and what is included in inspections, particularly for newer vehicles with low to moderate mileage.","[""Service indicator light activation"", ""Confusion over service schedule intervals""]",Check service history for adherence to manufacturer schedules and verify any extended warranty coverage details.,high,146,"This is a general maintenance topic, not a specific failure pattern. The high 'unknown' engine group percentage and low median mileage suggest many queries are from newer vehicle owners. The positive coefficient for Golf_R and MK5 may indicate specific service cost or schedule questions for those models."
5,"Brake disc and pad wear, replacement, and upgrade discussions",Brake wear,brakes,wear_item,low,high,15000.0,4200-38800 miles,"[""MK5"", ""MK6"", ""MK7"", ""MK7.5"", ""MK8"", ""Golf_R""]",[],"MK5 shows a positive coefficient for topic prevalence, while MK7.5 shows a negative coefficient, suggesting brake wear discussions are more common for older generations.",5.2,1.022,"This topic centers on the routine wear and replacement of brake discs and pads, including sourcing parts, comparing OEM versus aftermarket options (like Pagid, Brembo), and obtaining quotes for fitting. Discussions frequently involve checking wear levels, sensor functionality, and planning upgrades for performance models like the Golf R.","[""Low pad thickness reported during service"", ""Brake wear warning light not triggering as expected"", ""Excessive brake dust accumulation""]","Check brake pad thickness and disc condition during a pre-purchase inspection; verify if wear sensors are present and functional, especially on rear brakes.",high,138,"Over half (55.8%) of the threads have an unknown engine group, limiting analysis of specific engine-brake correlations. The topic represents routine maintenance rather than a chronic failure."
6,"Exhaust and intake modifications, including GPF/cat deletes and aftermarket parts",Exhaust/Intake Mods,exhaust,other,low,high,,,"[""MK7"", ""MK7.5"", ""MK8""]",[],"Strongest association with MK7.5 and MK8 generations, indicating focus on newer models with GPF/OPF filters.",4.7,0.92,"This topic centers on enthusiast discussions about aftermarket exhaust and intake modifications, including resonator deletes, downpipes, and brand comparisons (Milltek, Akrapovic). Key terms like 'gpf', 'cat', 'delete', and 'regen' indicate significant focus on removing or modifying gasoline particulate filters (GPF) and catalytic converters, likely for performance or sound enhancement. The low median mileage (7,000 miles) suggests these modifications are often considered early in vehicle ownership, driven by enthusiast interest rather than repair necessity.","[""Interest in aftermarket exhaust or intake systems"", ""Research into GPF/catalytic converter removal"", ""Discussions about tuning and performance parts""]","Check for aftermarket exhaust components, intake modifications, or signs of GPF/catalytic converter removal, which may affect emissions compliance and warranty.",high,125,"This is not a failure topic but a modification/enthusiast discussion topic. The high chronic signal score indicates recurring, unresolved discussions about parts and options rather than a persistent mechanical problem."
7,"EPC light and limp mode triggered by fault codes, often misfire-related",EPC/Limp Mode,electrical,intermittent_fault,high,medium,14208.0,3940-39400 miles,"[""MK7""]",[],Strongest association with MK7 generation; 2.0 TSI engines show particularly high prevalence.,4.6,1.016,"This topic describes recurring incidents where the EPC warning light illuminates, often accompanied by the car entering a protective 'limp mode' that limits engine performance. The issue is frequently triggered by misfires or fault codes that may temporarily clear after restarting, but often return, indicating an underlying intermittent electrical or sensor fault.","[""EPC warning light on dashboard"", ""Sudden engine power reduction (limp mode)"", ""Engine misfire or rough running"", ""Fault codes that reappear after clearing""]","When buying, scan for stored fault codes even if no warning lights are currently on, and check forum history for recurring EPC/limp mode complaints specific to the engine variant.",medium,124,"Over half of threads have unknown engine group, limiting precise engine-family diagnosis. The issue appears broadly electrical/sensor-related rather than tied to one specific mechanical part from the knowledge base."
8,"Vehicle acquisition, finance, and resale discussions",Finance & Resale,other,other,low,high,,,[],[],,4.4,1.822,"This topic centers on vehicle acquisition, financing, and resale processes rather than mechanical faults. Discussions include PCP/lease deals, trade-in valuations (WBAC), and decisions about purchasing new or used Golf models, particularly GTI and R variants. The low median mileage (16k miles) and positive coefficient for MK8 suggest these are often new or nearly-new vehicle transactions.",[],"Not applicable—this topic relates to financial and purchasing decisions, not mechanical inspection.",high,118,"This is a non-technical topic about vehicle finance and market values. The 'chronic signal' score likely reflects recurring discussions about PCP terms, lease deals, and resale values rather than unresolved mechanical complaints."
9,"Aftermarket tuning, remapping, and throttle response modifications",Tuning & Remapping,other,other,low,high,,,"[""MK7"", ""MK7.5"", ""Golf_R""]",[],"Discussion is heavily concentrated on MK7/MK7.5 models, with Golf_R also showing a positive association with the topic.",4.1,1.431,"This topic centers on user discussions and decisions regarding aftermarket performance modifications, specifically engine remaps (Revo, APR, Unicorn) and tuning boxes (DTUK). The low median mileage (7,500 miles) suggests these are early ownership considerations, often involving warranty concerns and comparisons between tuning methods.","[""Interest in increased power/torque"", ""Concerns about warranty invalidation"", ""Research into different tuning brands and methods""]",Check for aftermarket tuning boxes or evidence of an ECU remap; inquire about warranty status if modified.,high,109,"This is not a fault or failure topic, but a prevalent discussion theme among enthusiasts. The 'chronic signal' score likely reflects ongoing, recurring debates about tuning options rather than unresolved problems."
10,"Discussion of vehicle specifications, options, and interior features during purchase or test drives",Specs & Options,other,other,low,high,,,"[""MK6"", ""MK7"", ""MK7.5"", ""MK8""]",[],"Discussions span multiple generations, with strongest association to MK6 and MK7 based on regression coefficients.",5.1,1.75,"This topic captures forum threads focused on vehicle specifications, optional equipment, and interior features, particularly during the purchase decision or test drive phase. Key terms like DCC, leather seats, Dynaudio, keyless, and nav indicate discussions revolve around comparing trim levels, option packages, and personal configuration preferences rather than mechanical faults.",[],"When buying, verify the presence and functionality of advertised optional equipment (e.g., DCC adaptive chassis, Dynaudio sound system, keyless entry) against the vehicle's build sheet or VIN decoder.",high,136,This is not a fault topic but a discussion topic about features and specifications. The chronic signal score may indicate recurring questions or debates about options. The low median mileage (5000 miles) aligns with new or nearly-new vehicle discussions.
