issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,model_scope,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated,affected_engines_original,_scope_notes
engine_1_0_tce_sluggish_turbo_lag,1.0 TCE sluggish at low RPM with turbo lag,Turbo lag / sluggish,engine,chronic_failure,medium,high,"[""1.0_TCE""]",,,Engine feels sluggish at low revs with poor in-gear acceleration; meaningful power arrives only near 3000 RPM due to turbo lag.,Turbocharger response characteristics,,"[""Sluggish acceleration from low RPM"", ""Delayed power delivery""]",Test drive from low RPM to assess turbo response and in-gear acceleration.,3,1,"[{""video_id"": ""ovSl-i67bvM"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""IVFL-fZCbXw"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""LsPhtQfffik"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,high,"Merged from 'engine_sluggish_low_rpm', 'engine_sluggish_performance', and 'turbo_lag'.",3,"[""all_renault_clio_mk5""]","{""base"": 3}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [""2019-2025""], ""from_model_scope_window"": [""2019-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020""}",2020,,
manual_gearbox_notchy_imprecise,"Notchy, imprecise manual gearbox shifting",Notchy manual gearbox,gearbox,wear_item,medium,high,"[""1.0_SCE"", ""1.0_TCE"", ""1.5_BLUE_DCI""]",,,"The manual gearbox has a notchy, baggy, and imprecise shifting feel, which is noticeable during gear changes.",,,"[""Notchy gear engagement"", ""Vague or baggy shift feel""]",Test drive and pay close attention to the feel of the manual gearshift.,3,1,"[{""video_id"": ""BeyYPbeogjI"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""IVFL-fZCbXw"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""u4sR-EGP4LU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,high,"Merged from 'manual_gearbox_feel', 'gearbox_imprecise_shifting', and 'notchy_manual_gearbox'.",3,"[""all_renault_clio_mk5""]","{""base"": 3}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020-2021"", ""2023""], ""from_engine_production_windows"": [""2019-2025""], ""from_model_scope_window"": [""2019-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020-2023""}",2020-2023,,
a_pillar_blind_spot,A-pillar creates blind spot,A-pillar blind spot,body,structural,medium,medium,[],2024,,"The A-pillar design obstructs visibility, creating a blind spot.",,,[],Check visibility around A-pillars during test drive.,1,1,"[{""video_id"": ""ixQiSU0Ah-w"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk5""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2024"", ""from_llm_year_parsed"": [""2024""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2024""], ""from_engine_production_windows"": [""2019-2025""], ""from_model_scope_window"": [""2019-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2024""}",2024,"[""1.0_TCE""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
ambient_light_limited,Limited ambient lighting placement,Limited ambient lighting,electrical,other,low,medium,[],2024,,The driver notes the ambient light is only on the center console and not on the doors or in the back.,,,[],,1,1,"[{""video_id"": ""Hbx4_bvw_8w"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk5""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2024"", ""from_llm_year_parsed"": [""2024""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2024""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2024""}",2024,"[""1.6_E_TECH""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
automatic_gearbox_clunks,Automatic gearbox occasional clunks,Gearbox clunks,gearbox,intermittent_fault,low,medium,"[""1.3_TCE""]",,,The automatic gearbox (EDC7 dual-clutch) occasionally clunks during operation.,,,"[""Occasional clunking noises during gear shifts""]",Listen for clunks during automatic gear changes on a test drive.,1,1,"[{""video_id"": ""u4sR-EGP4LU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""auto_only""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2021""], ""from_engine_production_windows"": [""2019-2025""], ""from_model_scope_window"": [""2019-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2021""}",2021,,
engine_1_0_tce_rough_cold_start,1.0 TCE rough cold start,Rough cold start,engine,chronic_failure,low,medium,"[""1.0_TCE""]",,,"The 1.0-liter 3-cylinder engine is rough when cold, becoming smoother only after warming up.",Inherent 3-cylinder engine characteristics,,"[""Rough idle and vibration when engine is cold""]",Start the engine from cold and listen/feel for roughness.,1,1,"[{""video_id"": ""LsPhtQfffik"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk5""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2020""], ""from_engine_production_windows"": [""2019-2025""], ""from_model_scope_window"": [""2019-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2020""}",2020,,
engine_cover_missing,Engine lacks a cover,Missing engine cover,engine,other,low,medium,"[""1.0_TCE""]",2024,,The engine bay does not have a cosmetic or acoustic cover over the engine.,,,[],Inspect engine bay for missing covers.,1,1,"[{""video_id"": ""ixQiSU0Ah-w"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk5""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2024"", ""from_llm_year_parsed"": [""2024""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2024""], ""from_engine_production_windows"": [""2019-2025""], ""from_model_scope_window"": [""2019-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2024""}",2024,,
infotainment_screen_tilt,Infotainment screen tilted to driver,Tilted infotainment screen,electrical,other,low,medium,[],2024,,The multimedia screen in the center is noted as being a little bit tilted toward the driver.,,,[],,1,1,"[{""video_id"": ""Hbx4_bvw_8w"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk5""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2024"", ""from_llm_year_parsed"": [""2024""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2024""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2024""}",2024,"[""1.6_E_TECH""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
manual_handbrake_only,"Manual handbrake only, no electronic",Manual handbrake,other,other,low,medium,[],2024,,The vehicle is equipped with a manual handbrake instead of an electronic parking brake.,,,[],,1,1,"[{""video_id"": ""ixQiSU0Ah-w"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk5""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2024"", ""from_llm_year_parsed"": [""2024""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2024""], ""from_engine_production_windows"": [""2019-2025""], ""from_model_scope_window"": [""2019-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2024""}",2024,"[""1.0_TCE""]","[""system_component=other is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
rear_camera_resolution_poor,Poor resolution 360-degree cameras,Poor camera resolution,electrical,other,low,medium,[],2024,,"The driver states the resolution of the 360-degree cameras is not that good, though the view is acceptable at night.",,,[],,1,1,"[{""video_id"": ""Hbx4_bvw_8w"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk5""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""2024"", ""from_llm_year_parsed"": [""2024""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2024""], ""from_engine_production_windows"": [""2020-2025""], ""from_model_scope_window"": [""2020-2025""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2024""}",2024,"[""1.6_E_TECH""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
