topic,terms_prob,terms_frex,prevalence_pct,thread_count,chronic_signal,mileage_thread_count,mileage_median_km,mileage_p20_km,mileage_p80_km
1,"1, zorlayacak, zorlaya, 1-2-3-4, zorlamaya, 05, 05-30, zorlarsam, 0, zurt, ztn, zorlayip, 04, 0362, 03","zurt, ztn, 1-2-3-4, zorlayip, zorlamaya, 0-100, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda, zora, zoe",17.96,467,0.942,185,10000.0,3000.0,80000.0
2,"servise, zorlayarak, zorlayacak, zorlaya, 1-2-3-4, zorlamaya, 05, 05-30, zorlarsam, 0, zurt, ztn, zorlayip, 04, 0362","zorlayarak, zurt, ztn, 1-2-3-4, zorlayip, zorlamaya, 0-100, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda, zora",8.25,180,1.068,36,10000.0,3000.0,60000.0
3,"3, zorlayacak, zorlaya, 1-2-3-4, zorlamaya, 05, 05-30, zorlarsam, 0, zurt, ztn, zorlayip, 04, 0362, 03","zurt, ztn, 1-2-3-4, zorlayip, zorlamaya, 0-100, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda, zora, zoe",5.62,77,0.823,3,,,
4,"2, zorlayacak, zorlaya, 1-2-3-4, zorlamaya, 05, 05-30, zorlarsam, 0, zurt, ztn, zorlayip, 04, 0362, 03","zurt, ztn, 1-2-3-4, zorlayip, zorlamaya, 0-100, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda, zora, zoe",6.52,92,0.771,9,4000.0,2320.0,85600.0
5,"vites, 3, aracim, zorlaya, 1-2-3-4, zorlamaya, 05, 05-30, zorlarsam, 0, zurt, ztn, zorlayip, 04, 0362","zorlayarak, zurt, ztn, 1-2-3-4, zorlayip, zorlamaya, 0-100, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda, zora",6.72,156,0.885,11,20000.0,5000.0,25000.0
6,"tapatalk, 1, vites, cihazimdan, 2, lpg, stop, aracim, 4, rolanti, komple, 3, degistirdim, buji, ariza","zurt, ztn, 1-2-3-4, zorlayip, zorlamaya, 0-100, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda, zora, zoe",5.89,73,0.909,0,,,
7,"1, tapatalk, vites, cihazimdan, 2, lpg, 4, aracim, stop, 5, komple, 3, 10, aracta, rolanti","zurt, ztn, 1-2-3-4, zorlayip, zorlamaya, 0-100, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda, zora, zoe",4.86,4,0.867,0,,,
8,"1, 2, tapatalk, zorlaya, 1-2-3-4, zorlamaya, 05, 05-30, zorlarsam, 0, zurt, ztn, zorlayip, 04, 0362","zurt, ztn, 1-2-3-4, zorlayip, zorlamaya, 0-100, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda, zora, zoe",5.94,71,0.857,3,,,
9,"5, 1, zorlaya, 1-2-3-4, zorlamaya, 05, 05-30, zorlarsam, 0, zurt, ztn, zorlayip, 04, 0362, 03","zurt, ztn, 1-2-3-4, zorlayip, zorlamaya, 0-100, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda, zora, zoe",6.55,86,0.703,32,25000.0,10000.0,60000.0
10,"1, 4, lpg, 0, zorlaya, 1-2-3-4, zorlamaya, 05, 05-30, zorlarsam, zurt, ztn, zorlayip, 04, 0362","zurt, ztn, 1-2-3-4, zorlayip, zorlamaya, 0-100, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda, zora, zoe",5.27,62,0.874,6,17000.0,1000.0,63000.0
11,"4, 5, zorlaya, 1-2-3-4, zorlamaya, 05, 05-30, zorlarsam, 0, zurt, ztn, zorlayip, 04, 0362, 03","zurt, ztn, 1-2-3-4, zorlayip, zorlamaya, 0-100, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda, zora, zoe",4.74,17,0.828,1,,,
12,"hararet, klima, fren, fan, balata, 000, sogutma, dizel, abs, radyator, 4, debriyaj, tik, serviste, conta","zurt, ztn, 1-2-3-4, zorlayip, zorlamaya, 0-100, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda, zora, zoe",5.63,103,0.814,5,20000.0,15000.0,34000.0
13,"stop, ariza, 0, lpg, 2, 000, zorlaya, 1-2-3-4, zorlamaya, 05, 05-30, zorlarsam, zurt, ztn, zorlayip","zurt, ztn, 1-2-3-4, zorlayip, zorlamaya, 0-100, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda, zora, zoe",5.61,81,0.903,5,94000.0,17000.0,107600.0
14,"0, 4, 9, zorlaya, 1-2-3-4, zorlamaya, 05, 05-30, zorlarsam, zurt, ztn, zorlayip, 04, 0362, 03","0, zorlayarak, zorlayacak, zurt, ztn, 05-30, zorlayip, 1-2-3-4, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda",5.33,65,0.934,1,,,
15,"td, zorlayarak, zorlayacak, zorlaya, 1-2-3-4, zorlamaya, 05, 05-30, zorlarsam, 0, zurt, ztn, zorlayip, 04, 0362","zorlayarak, zurt, ztn, 1-2-3-4, zorlayip, zorlamaya, 0-100, zorundalar, zorlamak, zorlamadim, zorlamadan, zorlama, zorladim, zorda, zora",5.1,6,0.831,1,,,
