issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count
thermostat_water_pump_assembly_leak,Thermostat and water pump assembly coolant leak,Coolant leak,cooling,fluid_leak,medium,high,"[""1.8_TSI"", ""2.0_TSI""]",2018,,"Coolant smell from under the hood, visible wetness/crystallization around the pump assembly, or puddle of coolant on the floor.",Leaking thermostat housing or water pump assembly.,"Replace the leaking component (thermostat housing, water pump, or assembly).","[""Coolant smell"", ""Visible wetness/crystallization"", ""Low coolant level""]",Check under the hood for coolant residue or wetness around the thermostat and water pump area. Inspect the ground under the car for coolant puddles.,4,2,"[{""video_id"": ""rdQqxKgBEWg"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""zoSbJVeqdnQ"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""9s5dyDCpGMs"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""bBnY69Fzf1I"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,high,"Merged from thermostat housing leak, thermostat water pump assembly leak, leaking water pump/thermostat housing, and water pump leak issues.",4
carbon_buildup_intake_valves,Carbon buildup on intake valves causing misfire,Carbon buildup,engine,chronic_failure,medium,high,"[""1.8_TSI"", ""2.0_TSI""]",2018,,"Check engine light for misfire due to carbon buildup on intake, especially on cold startup. Performance loss, rough idle, or misfires.",Carbon deposits accumulating on intake valves due to direct injection.,Carbon cleaning service (walnut blasting or chemical cleaning).,"[""Check engine light"", ""Misfire on cold startup"", ""Reduced power"", ""Rough idle"", ""Poor fuel economy""]",Consider a borescope inspection of the intake valves if high mileage or symptoms are present.,2,2,"[{""video_id"": ""9s5dyDCpGMs"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""bBnY69Fzf1I"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,high,Merged from carbon buildup on intake valves and carbon buildup causing misfire issues.,2
dsg_gearbox_jerkiness_clunky_shifts,DSG gearbox jerkiness and clunky shifts,DSG jerkiness,gearbox,chronic_failure,medium,high,"[""1.4_TSI""]",,,"Gear shifts feel jerky, clunky, or not smooth, with increased resistance, especially in cold weather or going into fourth gear.",,,"[""Jerky shifts"", ""Clunky feel"", ""Increased shift resistance in cold""]","Test drive in various conditions, especially cold starts, and check for clunky shifts into fourth gear.",2,1,"[{""video_id"": ""Vgxon_BrQck"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""RPskR5TPnh0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Merged from 'gearbox_clunky_shifts' and 'dsg_gearbox_jerkiness' as related DSG transmission issues.,2
rear_suspension_knocking_rattle,Rear suspension knocking and rattling noise,Rear suspension knock,suspension,noise,medium,high,"[""CJXC"", ""DJHA"", ""DNUE""]",early models,,"Knocking and rattling noise from the rear suspension, especially noticeable at speeds under 30mph.",,,"[""Knocking noise from rear"", ""Rattling over bumps at low speed""]","Listen for rear suspension knocks during a low-speed test drive, especially on uneven surfaces.",2,1,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Merged from 'front_suspension_clunking' and 'rear_shock_absorber_rattle' as suspension noise issues; kept rear-specific details as more specific.,2
dsg_gearbox_jerkiness_clunky_shifts,DSG gearbox jerkiness and clunky shifts,DSG jerkiness,gearbox,chronic_failure,medium,high,"[""1.4_TSI""]",,,"Gear shifts feel jerky, clunky, or not smooth, with increased resistance, especially in cold weather or going into fourth gear.",,,"[""Jerky shifts"", ""Clunky feel"", ""Increased shift resistance in cold""]","Test drive in various conditions, especially cold starts, and check for clunky shifts into fourth gear.",2,1,"[{""video_id"": ""Vgxon_BrQck"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""RPskR5TPnh0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Merged from 'gearbox_clunky_shifts' and 'dsg_gearbox_jerkiness' as related DSG transmission issues.,2
rear_suspension_knocking_rattle,Rear suspension knocking and rattling noise,Rear suspension knock,suspension,noise,medium,high,"[""CJXC"", ""DJHA"", ""DNUE""]",early models,,"Knocking and rattling noise from the rear suspension, especially noticeable at speeds under 30mph.",,,"[""Knocking noise from rear"", ""Rattling over bumps at low speed""]","Listen for rear suspension knocks during a low-speed test drive, especially on uneven surfaces.",2,1,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Merged from 'front_suspension_clunking' and 'rear_shock_absorber_rattle' as suspension noise issues; kept rear-specific details as more specific.,2
turbo_failure,Turbocharger failure due to stop/start system,Turbo failure,engine,chronic_failure,high,medium,"[""CJXC""]",2013 and 2014,,Turbo failure potentially caused by stop/start system leading to lubrication issues and overheating.,Stop/start system causing lubrication issues and overheating.,,[],,2,1,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""ftdK1Rg2ob8"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Merged 'Early turbocharger failure' and 'Turbo actuator valve malfunction' as related turbo system failures. Kept most specific engine and year info.,2
turbo_failure,Turbocharger failure,Turbo failure,engine,chronic_failure,high,medium,"[""CJXC""]",2013 and 2014,,Turbo failure potentially caused by stop/start system leading to lubrication issues and overheating.,Stop/start system causing lubrication issues and overheating.,,[],,2,1,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""ftdK1Rg2ob8"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Merged 'Early turbocharger failure' and 'Turbo actuator valve malfunction' as related turbo system failures. Kept most specific engine and year info.,2
dq200_clutch_premature_wear,DSG DQ200 clutch pack premature wear,DSG clutch wear,gearbox,wear_item,medium,high,"[""1.4_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,,"Transmission slips under high torque, especially with tuned engines. The standard clutch is considered to be at its limit with factory power.",Clutch pack wear,Clutch pack replacement,"[""Transmission slip"", ""Jerky shifts""]","Test drive for slip under acceleration, check service history for DSG service.",2,1,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""Zskb3HeOWMA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,More common with tuned engines.,2
coolant_system_leak,"Coolant leaks from thermostat, water pump, or plastic adapter",Coolant leak,cooling,fluid_leak,high,medium,"[""1.8_TSI"", ""2.0_TSI""]",,,"Steam from hood and coolant leak onto turbo, leading to complete coolant loss. Also indicated by low coolant level and coolant smell.",,,[],,2,1,"[{""video_id"": ""UaYN_JlMb48"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}, {""video_id"": ""nvcpoOwqwhI"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,medium,Merged thermostat/water pump leak and plastic coolant adapter breakage as related cooling system leaks.,2
