issue_id,label,system_component,affected_engines,affected_years,symptom,cause,fix,confidence,data_quality,source_videos,topic_id,topic_size,topic_top_terms,source,mention_count,distinct_channel_count,corroboration_count,engine_year_context
water_ingress_roof_leak,roof water ingress stains headliner,body,[],,Water ingress through the roof area causes staining on the roof lining and fogging up of the car.,Leak in roof area or sunroof seal failure.,"Replace headliner and fix leak, or use sealant like Creep and Crack Protect as temporary fix.",high,high,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""channel"": ""Deutsche Auto Parts"", ""video_type_category"": ""organic""}, {""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""Vgxon_BrQck"", ""title"": ""Volkswagen Golf MK7.5, 3 Years Ownership Review (UK)(4K) | Carcode"", ""channel"": ""Carcode"", ""video_type_category"": ""organic""}, {""video_id"": ""Zskb3HeOWMA"", ""title"": ""Volkswagen Reliability... My Experience"", ""channel"": ""NewEnglandPete"", ""video_type_category"": ""organic""}, {""video_id"": ""udX3VU-Haus"", ""title"": ""VW Golf GTD MK7 - LONG TERM TEST REVIEW"", ""channel"": ""Our Tim"", ""video_type_category"": ""organic""}, {""video_id"": ""dlAJkW6qK9o"", ""title"": ""SOLOWERKS MK7 Golf SportWagon Coilovers Unboxing"", ""channel"": ""PincheAls Garage"", ""video_type_category"": ""organic""}, {""video_id"": ""TxQX5uAQnV8"", ""title"": ""Used Mk7 Buyers Guide! How to avoid a previously modified car."", ""channel"": ""Baun Performance"", ""video_type_category"": ""list_format""}]",7,9,"[""car"", ""like"", ""know"", ""look"", ""going"", ""just"", ""uh"", ""great"", ""really"", ""things""]",youtube,7,7,7,
dsg_dry_clutch_cold_behavior,DSG dry clutch cold hesitation and jerkiness,gearbox,"[""1.2_TSI"", ""1.4_TSI""]",,"Jerky takeoff from stop, hesitation when shifting, and rough behavior especially when cold.",Design characteristics of 7-speed dry clutch DSG (DQ200) transmission,Choose wet clutch DSG versions (DQ250/DQ381) for long-term ownership or ensure proper warm-up before aggressive driving,high,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""Zskb3HeOWMA"", ""title"": ""Volkswagen Reliability... My Experience"", ""channel"": ""NewEnglandPete"", ""video_type_category"": ""organic""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format""}]",1000,8,"[""uh"", ""guys"", ""cold"", ""um"", ""like"", ""sure"", ""really"", ""diesel"", ""music"", ""cars""]",youtube,3,3,3,
fuel_filter_leak_after_change,fuel filter leak after replacement,fuel,[],,Fuel leak occurs after changing the fuel filter.,Improper torque or sealing of the filter housing bolts.,"Torque bolts to specification (e.g., 5 Nm) and allow system to prime.",medium,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""s_hLRII-tBU"", ""title"": ""Car Servicing - VW Golf MK7"", ""channel"": ""Turners Workshop"", ""video_type_category"": ""organic""}, {""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic""}]",1002,3,"[""leak"", ""just"", ""going"", ""blocked"", ""bolts"", ""bolts torqued"", ""boost"", ""blocked known"", ""changed"", ""changed fuel""]",youtube,3,3,3,
rear_suspension_beam_fitment_confusion,Rear beam suspension fitment confusion,suspension,[],,Owners may order incorrect coilovers if they don't specify the TDI model due to different rear suspension design.,"The TDI model (diesel) uses a solid rear beam suspension instead of independent rear suspension, requiring different spring diameters.","Ensure coilovers are ordered specifically for the TDI model, not just the standard Golf.",high,high,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""dlAJkW6qK9o"", ""title"": ""SOLOWERKS MK7 Golf SportWagon Coilovers Unboxing"", ""channel"": ""PincheAls Garage"", ""video_type_category"": ""organic""}, {""video_id"": ""nDkdFw4z1UE"", ""title"": ""How to install SoloWerks Coilovers on a MK7 Golf SportWagen S7EP33"", ""channel"": ""PincheAls Garage"", ""video_type_category"": ""organic""}]",15,7,"[""rear"", ""guys"", ""uh"", ""coilovers"", ""suspension"", ""um"", ""wheels"", ""going"", ""spring"", ""comparison""]",youtube,3,2,3,
rear_shock_replacement_difficulty,difficult rear shock replacement procedure,suspension,[],,Replacing rear shocks requires careful procedure due to tight clearances and specific tools.,"Design with welded nuts, tight brake line routing, and limited suspension travel during disassembly.","Follow proper sequence: support rear beam, disconnect height sensor, use pass-through sockets, and avoid damaging brake lines.",high,high,"[{""video_id"": ""s_hLRII-tBU"", ""title"": ""Car Servicing - VW Golf MK7"", ""channel"": ""Turners Workshop"", ""video_type_category"": ""organic""}, {""video_id"": ""nDkdFw4z1UE"", ""title"": ""How to install SoloWerks Coilovers on a MK7 Golf SportWagen S7EP33"", ""channel"": ""PincheAls Garage"", ""video_type_category"": ""organic""}]",1,12,"[""right"", ""way"", ""going"", ""shock"", ""guys"", ""strut"", ""spring"", ""unbolt"", ""bolt"", ""little""]",youtube,2,2,2,
carbon_buildup_intake_valves,Carbon buildup on intake valves,engine,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,Gradual loss of engine performance over time as valves get gunked up.,Direct injection design allows carbon deposits to accumulate on intake valves and ports.,"Walnut blasting or cleaning intake ports every 60,000 to 80,000 miles.",high,high,"[{""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format""}, {""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic""}]",9,9,"[""engines"", ""carbon"", ""problems"", ""shouldnt"", ""miles"", ""intake"", ""ultimately"", ""carbon buildup"", ""carbon deposits"", ""handful""]",youtube,2,2,2,"[{""engine"": ""1.4_TSI"", ""years"": ""2012"", ""evidence_hits"": 3, ""post_years"": [2012]}]"
timing_chain_stretch_ea888,timing chain stretch on EA888 engines,engine,"[""1.8_TSI"", ""2.0_TSI""]",,Potential timing chain stretch that can lead to catastrophic engine failure over time.,"Timing chain stretch in EA888 engines, particularly affecting GTI and performance models.",Replacement with updated timing chain components to prevent recurrence.,high,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format""}]",16,6,"[""time"", ""destroy"", ""units"", ""failure common"", ""aligned"", ""gti models"", ""fitted"", ""repaired"", ""updated"", ""catastrophic""]",youtube,2,2,2,
thermostat_housing_coolant_leak,Thermostat housing coolant leaks,cooling,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI""]",older models,"Coolant leaks from thermostat housing area, sometimes leaving puddles on the ground.",Plastic thermostat housing integrated with water pump cracks/warps under high heat.,Replace with upgraded/superseded OEM part; aftermarket upgrades available.,high,high,"[{""video_id"": ""rdQqxKgBEWg"", ""title"": ""Two BIG Problems The Volkswagen Golf 7.5 R Has!"", ""channel"": ""Carbonwurks"", ""video_type_category"": ""organic""}, {""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic""}]",20,4,"[""um"", ""thermostat"", ""gearbox"", ""leaking"", ""thermostat housing"", ""housing"", ""tuning"", ""obviously"", ""actually"", ""coolant""]",youtube,2,2,2,"[{""engine"": ""1.4_TSI"", ""years"": ""2012"", ""evidence_hits"": 3, ""post_years"": [2012]}]"
panoramic_roof_water_leak_rattles,panoramic roof water leaks and rattles,body,[],,"Drivers notice water leaks after heavy rain, damp passenger carpets, and rattling noises from the panoramic roof on uneven roads.",Clogged drainage channels in panoramic roof system,Inspect and clear drainage channels; check for proper roof seal and alignment,high,high,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format""}]",24,4,"[""noises"", ""channels"", ""heavy"", ""drainage channels"", ""roads"", ""signs"", ""noises uneven"", ""suspension noises"", ""drainage"", ""carefully""]",youtube,2,2,2,
climate_control_interface_gremlins,Air conditioning interface gremlins,electrical,[],,"The air conditioning system is known to have gremlins, such as issues with controls or ensuring cold air output.",Loss of physical controls and potential software/interface problems.,,medium,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""yv2_SPxQFLI"", ""title"": ""Used Volkswagen Golf Review - Mk 7 (2013 - 2020): The best used family car?"", ""channel"": ""Cazoo"", ""video_type_category"": ""organic""}]",26,4,"[""air"", ""controls"", ""conditioning"", ""air conditioning"", ""blame"", ""blown"", ""controls example"", ""example like"", ""physical controls"", ""theres climate""]",youtube,2,2,2,
non_standard_wheel_bolt_sizes,standard vs metric wheel bolt confusion,body,[],,"Owners find wheel bolts are not standard metric sizes, making tire changes or wheel swaps more difficult.",Use of non-standard (imperial) bolt sizes on some vehicles instead of expected metric sizes.,Use correct standard (imperial) socket set for wheel bolts; pay attention to bolt specifications.,medium,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""nDkdFw4z1UE"", ""title"": ""How to install SoloWerks Coilovers on a MK7 Golf SportWagen S7EP33"", ""channel"": ""PincheAls Garage"", ""video_type_category"": ""organic""}]",30,3,"[""standard"", ""odd"", ""use"", ""harder"", ""fits"", ""pay attention"", ""werent"", ""going use"", ""little harder"", ""theyll""]",youtube,2,2,2,
dsg_clutch_type_confusion,DSG dry vs wet clutch differences,gearbox,[],,Driver may experience confusion or need to identify the correct DSG type (dry or wet clutch) for their vehicle.,"The vehicle uses two main DSG types: the 7-speed dry clutch DQ200 and the 6-speed wet clutch DQ250, which vary by engine application.","Verify the specific DSG type based on the engine and model (e.g., DQ200 for 1.2/1.4 TSI, DQ250 for 1.8/2.0 TSI and 2.0 TDI).",high,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format""}]",32,3,"[""clutch"", ""sixspeed wet"", ""dry clutch"", ""sixspeed"", ""150"", ""main"", ""types"", ""wet clutch"", ""blue motion"", ""dry""]",youtube,2,2,2,
cooling_system_water_pump_leaks,Cooling system water pump leaks,cooling,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI""]",2012 to 2019,"Slow coolant loss, sweet smell under hood, or moisture around engine.",Leaks from water pump or thermostat housing.,Replace water pump and/or thermostat housing.,high,medium,"[{""video_id"": ""ftdK1Rg2ob8"", ""title"": ""Addressing common faults in VW Golf MK7 (2012-2019)"", ""channel"": ""Luxe Rides & More"", ""video_type_category"": ""list_format""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format""}]",35,3,"[""air"", ""motor"", ""golf mk7"", ""mk7"", ""turbocharger"", ""issues"", ""noise"", ""air conditioning"", ""conditioning"", ""wear""]",youtube,2,2,2,
