issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,source_videos,source,data_quality,notes,merged_from_issue_ids,engine_year_context,model_scope,affected_years_evidence,affected_years_triangulated,affected_engines_original,_scope_notes
water_pump_thermostat_housing_coolant_leak,Water pump and thermostat assembly leak or failure,Coolant leak,cooling,fluid_leak,high,high,"[""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,,"Low coolant level, visible dried coolant on engine front or belly pan; coolant leak detected during service.",Plastic water pump or thermostat housing; common Volkswagen design/manufacturing defect.,"Replace the thermostat, costing about 700-900 pounds. Replace with superseded VW part; labor-intensive repair.","[""Low coolant warning"", ""Visible coolant residue"", ""Steam from hood"", ""Coolant puddles under car"", ""Frequent low coolant warnings"", ""Coolant smell"", ""Temperature fluctuations"", ""Low coolant"", ""Coolant leaks"", ""Low coolant level"", ""Coolant puddles"", ""Coolant warning light"", ""Sweet smell"", ""Puddles under car""]",Check coolant level and look for leaks around the thermostat housing. Check for coolant stains under engine bay.,14,"[{""video_id"": ""9s5dyDCpGMs"", ""title"": ""120,000 Mile Review: 2018 VW GTI Autobahn (Mk7.5) | Long-Term Ownership Insights""}, {""video_id"": ""bBnY69Fzf1I"", ""title"": ""MK7 GTI Long Term Ownership Review""}, {""video_id"": ""b3YzKwG7HxI"", ""title"": ""7 Things To Look For BEFORE Buying An MK7 VW!""}, {""video_id"": ""nvcpoOwqwhI"", ""title"": ""How Reliable is the MK7 GTI?""}, {""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!""}, {""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020""}, {""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)""}, {""video_id"": ""AhRpFZIZKDA"", ""title"": ""Common MK7 Golf R Problems""}, {""video_id"": ""rdQqxKgBEWg"", ""title"": ""Two BIG Problems The Volkswagen Golf 7.5 R Has!""}, {""video_id"": ""xiaRO3CEkjs"", ""title"": ""VW Golf MK7 GTI & R Engine Issues 2013-2020""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)""}, {""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""Common Problems of VW MK7 GTI""}]",youtube,high,Merged thermostat housing and water pump issues as related cooling system failures.,"[""cooling_system_failures"", ""thermostat_housing_coolant_leak"", ""thermostat_housing_water_pump_leak"", ""thermostat_waterpump_coolant_leak"", ""water_pump_thermostat_failure"", ""water_pump_thermostat_housing_coolant_leak""]","[{""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3}, {""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4}]","[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2014-2017""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(regex_enrichment, title)"", ""confidence"": ""high"", ""triangulated"": ""2014-2017""}",2014-2017,,
carbon_buildup_intake_valves,Intake valve carbon buildup from direct injection,Carbon buildup,engine,wear_item,medium,high,"[""1.4_TSI"", ""1.5_TSI"", ""2.0_TSI""]",,160k-177k km,"Engine performance issues due to carbon deposits, reduced engine performance, rough idle.",Side effect of the direct injection system. Direct injection fuel system (in markets without port injection).,Perform carbon cleaning service; an Italian tuneup may temporarily clear misfire after warmup.,"[""Rough idle"", ""Reduced power"", ""Loss of power"", ""Cold start misfires""]",Inspect intake valves for carbon buildup during service. Check for service history of intake valve cleaning.,4,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)""}, {""video_id"": ""9s5dyDCpGMs"", ""title"": ""120,000 Mile Review: 2018 VW GTI Autobahn (Mk7.5) | Long-Term Ownership Insights""}, {""video_id"": ""bBnY69Fzf1I"", ""title"": ""MK7 GTI Long Term Ownership Review""}]",youtube,high,Common in direct injection engines without supplemental port injection.,"[""carbon_buildup_intake_valves"", ""intake_valve_carbon_buildup""]",,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
pcv_failure_rear_main_seal_leak,PCV failure causing rear main seal leak,PCV/seal leak,engine,fluid_leak,high,medium,"[""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,,Oil leak from the rear of the engine.,PCV (Positive Crankcase Ventilation) failure.,"Replace the seal, often done during clutch replacement; standard part may fail again.","[""Oil leak at rear of engine"", ""Oil leak at engine rear"", ""Oil spots under engine/transmission area"", ""Low oil level"", ""Oil drips from bellhousing area"", ""Oil consumption""]",Check for oil leaks around rear main seal and inspect PCV system.,4,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)""}, {""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020""}, {""video_id"": ""xiaRO3CEkjs"", ""title"": ""VW Golf MK7 GTI & R Engine Issues 2013-2020""}]",youtube,medium,,"[""pcv_failure_rear_main_seal_leak"", ""rear_main_seal_failure"", ""rear_main_seal_leak"", ""rear_main_seal_oil_leak""]","[{""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3}, {""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4}]","[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [""2014-2017""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(regex_enrichment, title)"", ""confidence"": ""high"", ""triangulated"": ""2014-2017""}",2014-2017,,
washer_fluid_sensor_failure,Windshield washer fluid sensor fails,Fluid Sensor,electrical,sensor_fault,low,high,[],,,Windshield washer fluid sensor gives false low-level warnings.,"Use of certain types of washer fluid, specifically Orange Rain-X, is cited as a common cause.",Use normal washer fluid to avoid the problem.,"[""Warning light"", ""Rattling noise"", ""False low fluid warning"", ""False low washer fluid warning"", ""Persistent washer fluid warning with full reservoir""]",Check washer fluid warning light and listen for sensor rattle.,4,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)""}, {""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""Common Problems of VW MK7 GTI""}]",youtube,medium,,"[""washer_fluid_sensor_failure"", ""washer_fluid_sensor_rainx_fouling""]",,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""2.0_TSI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
plastic_oil_pan_cracking,Plastic oil pan cracks or warps from impacts or aging,Oil pan crack,engine,structural,medium,high,"[""1.4_TSI""]",,,Oil pan cracks from road impacts or leaks due to aging/warping.,"Plastic construction, low ground clearance, material aging becoming brittle.",Replacement with metal oil pan possible.,"[""Oil puddles under car"", ""Low oil pressure warning"", ""Oil leak under engine""]","Inspect oil pan for cracks or damage, especially if driven on rough roads.",3,"[{""video_id"": ""2X5bj2gX5z4"", ""title"": ""Common Problems of VW MK7 GTI""}, {""video_id"": ""xiaRO3CEkjs"", ""title"": ""VW Golf MK7 GTI & R Engine Issues 2013-2020""}, {""video_id"": ""nvcpoOwqwhI"", ""title"": ""How Reliable is the MK7 GTI?""}]",youtube,high,"Affects all engines per one source, but specifically called out for 2.0_TSI and 1.8_TSI in another. Merged to 'all' for completeness.",,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
ac_solenoid_valve_failure,Air conditioning solenoid valve failure,AC valve noise,cooling,sensor_fault,medium,high,"[""2.0_TSI""]",,,Poor air conditioning performance accompanied by noise in engine bay.,Defective solenoid valve in AC compressor.,Replace AC compressor solenoid valve.,"[""Reduced cooling"", ""Unusual engine bay noise"", ""Noise with AC on""]",Test AC performance and listen for abnormal noises.,2,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)""}, {""video_id"": ""ftdK1Rg2ob8"", ""title"": ""Addressing common faults in VW Golf MK7 (2012-2019)""}]",youtube,medium,,"[""ac_compressor_solenoid_valve_defect"", ""ac_solenoid_valve_failure""]",,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
blocked_drainage_channels_water_leak,Blocked drainage channels cause water ingress,Drainage leaks,body,fluid_leak,medium,high,[],,,Water leaks into the cabin or interior.,Drainage channels become blocked.,Easy repair if it has developed.,"[""Water in footwells"", ""Damp smell""]",Check for damp carpets and test drainage channels.,2,"[{""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems""}, {""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf""}]",youtube,medium,Merged from 'Body leaks allowing water ingress' and 'Blocked drainage channels leak'.,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,"[""all""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
bonnet_release_cable_failure,Bonnet release cable slips off mechanism,Bonnet cable slip,body,chronic_failure,medium,high,[],,,The bonnet release lever does not open the bonnet.,The bonnet release cable slips off its mechanism.,Cable-tie the mechanism or repair the cable.,"[""Difficulty opening bonnet"", ""Bonnet lever feels loose""]",Test bonnet release operation before purchase.,2,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)""}, {""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!""}]",youtube,medium,,"[""bonnet_release_cable_failure"", ""bonnet_release_cable_slip""]",,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
coolant_system_plastic_failures,Coolant system plastic component failures,Coolant plastic failures,cooling,structural,medium,medium,"[""1.4_TSI""]",,,"Steam from hood, coolant leaking onto turbo, leading to coolant loss; or visible crack in coolant reservoir.",Plastic adapter prone to breaking; coolant reservoir cracking.,Replace adapter with metal version; replace reservoir.,"[""Steam from hood"", ""Coolant loss"", ""Coolant leak from reservoir""]",Inspect coolant adapter for cracks or leaks; visually inspect coolant reservoir for cracks.,2,"[{""video_id"": ""nvcpoOwqwhI"", ""title"": ""How Reliable is the MK7 GTI?""}]",youtube,medium,Related to broader coolant system leaks.,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
cooling_system_issues,"Coolant leaks, pump sticking, and degradation clogging",Cooling system issues,cooling,chronic_failure,high,medium,"[""all""]",,,"Slowly dripping coolant, dropping coolant level, sweet smell under hood, moisture around engine, engine overheating due to coolant not circulating, overheating issues and deposits in the cooling system.",Degraded coolant deposits clog the heater core and coolant passages. The pump's sliding cover can get stuck in the closed position.,Repair with updated parts.,"[""Coolant smell"", ""Low coolant level"", ""Moisture around engine"", ""Overheating"", ""Coolant discoloration"", ""Coolant circulation issues""]",Check coolant level and for signs of leaks around water pump and thermostat. Check for overheating history and coolant system condition. Inspect coolant condition.,2,"[{""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines""}, {""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020""}]",youtube,medium,"Merged 'cooling_system_leaks', 'switchable_water_pump_sticking', and 'coolant_degradation_clogging' as related cooling system failures.",,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
