topic,terms_prob,prevalence_pct,thread_count,top_engine_specs,top_prod_years,source_breakdown,mileage_median_miles,mileage_p20_miles,mileage_p80_miles,chronic_signal
1,"oil, engine, stated, mileage, owns, tl owns, tl, accelerator, 000, miles",7.1,144,"TDI_unknown: 11%, 2.0_TSI: 1%, TSI_unknown: 1%","2002, 2011, 2001, 2010, 2019","nhtsa_complaint: 111, carproblemzoo: 33",,,,0.0
2,"transmission, gear, shift, manual, dsg, clutch, neutral, knob, manual transmission, speed",5.7,114,"TDI_unknown: 11%, 2.0_TSI: 9%","2011, 2022, 2015, 2014, 2012","nhtsa_complaint: 61, carproblemzoo: 53",,,,0.0
3,"fuel, diesel, pump, fuel pump, high pressure, high, pressure fuel, pressure, hpfp, tdi",4.9,98,"TDI_unknown: 51%, 2.0_TSI: 2%","2011, 2010, 2012, 2015, 2013","nhtsa_complaint: 63, carproblemzoo: 35",,,,0.0
4,"deployed, air, airbags, deploy, bags, passenger, air bags, bag, air bag, hit",3.8,76,"TDI_unknown: 1%, 2.0_TSI: 1%","2002, 2001, 2003, 2004, 2011","nhtsa_complaint: 58, carproblemzoo: 18",,,,0.0
5,"fuel, fuel pump, pump, engine, pressure fuel, high pressure, high, pressure, lost, glow",3.6,73,"TDI_unknown: 4%, 2.0_TSI: 4%","2011, 2013, 2010, 2012, 2019","nhtsa_complaint: 37, carproblemzoo: 36",,,,0.0
6,"clock, spring, clock spring, horn, steering, wheel, steering wheel, airbag, cruise, cruise control",3.3,66,TDI_unknown: 6%,"2015, 2017, 2016, 2012, 2000","nhtsa_complaint: 37, carproblemzoo: 29",,,,0.0
7,"infotainment, camera, assist, protection, systems, issues, features, component, backup, does",2.7,55,2.0_TSI: 18%,"2023, 2022, 2017, 2016, 2015","carproblemzoo: 40, nhtsa_complaint: 15",,,,0.0
8,"fuel, owns, stated, gasoline, mileage, tl, aware, tl owns, repaired, campaign",3.4,69,"2.0_TSI: 6%, TDI_unknown: 1%","2017, 2016, 2015, 2000, 2004","nhtsa_complaint: 46, carproblemzoo: 23",,,,0.0
9,"window, windows, door, regulator, power window, passenger window, driver window, ak, passenger, window regulator",2.5,50,"2.0_TSI: 8%, TDI_unknown: 2%","2000, 2001, 2002, 2004, 2016","nhtsa_complaint: 39, carproblemzoo: 11",,,,0.0
10,"sunroof, glass, shattered, exploded, mirror, explosion, loud, object, road, outward",2.4,48,"TDI_unknown: 8%, 2.0_TSI: 8%","2017, 2015, 2019, 2018, 2010","nhtsa_complaint: 32, carproblemzoo: 16",,,,0.0
11,"water, sunroof, roof, panoramic, headliner, leaks, sun, sun roof, leak, drains",2.4,48,,"2017, 2016, 2015, 2018, 2005","nhtsa_complaint: 33, carproblemzoo: 15",,,,0.0
12,"fuse, headlights, headlight, bulb, beam, lights, exterior, adjustment, box, fuse box",2.2,45,"TDI_unknown: 7%, 2.0_TSI: 4%","2011, 2012, 2015, 2002, 2016","carproblemzoo: 23, nhtsa_complaint: 22",,,,0.0
13,"takata, airbag, received, available, parts, number, parts available, experienced vin, notice, reasonable",2.1,43,"TDI_unknown: 7%, 2.0_TSI: 2%","2013, 2016, 2011, 2010, 2012","nhtsa_complaint: 34, carproblemzoo: 9",,,,0.0
14,"suspension, coil, 2019, spring, springs, coil springs, coil spring, rear, noise, rear coil",2.0,40,"2.0_TSI: 12%, TDI_unknown: 5%","2019, 2017, 2015, 2000, 2016","nhtsa_complaint: 19, carproblemzoo: 11, nhtsa_recall: 10",,,,0.0
15,"gas, tank, fuel, gas tank, suction, canister, suction pump, fuel tank, pump, leaking",2.2,45,2.0_TSI: 36%,"2017, 2016, 2015, 2024, 2018","nhtsa_complaint: 40, carproblemzoo: 5",,,,0.0
16,"airbag, bag, air, air bag, airbags, warning light, seatbelt, stated, airbag light, latch",2.6,53,TDI_unknown: 2%,"2000, 2001, 2003, 2019, 2005","nhtsa_complaint: 33, carproblemzoo: 20",,,,0.0
17,"abs, control, stability control, module, stability, electronic, brakes, electronic stability, lights, control module",2.0,40,2.0_TSI: 10%,"2010, 2009, 2000, 2002, 2016","nhtsa_complaint: 21, carproblemzoo: 16, nhtsa_recall: 3",,,,0.0
18,"brake, brake light, switch, light switch, brake lights, lights, wiring, electrical, 2001, park",2.3,46,"TDI_unknown: 7%, 2.0_TSI: 2%","2001, 2002, 2003, 2000, 2004","nhtsa_complaint: 30, carproblemzoo: 16",,,,0.0
19,"coolant, water pump, thermostat, housing, water, radiator, thermostat housing, pump, leak, engine",1.8,36,2.0_TSI: 8%,"2016, 2012, 2015, 2022, 2017","nhtsa_complaint: 27, carproblemzoo: 9",,,,0.0
20,"seat, smoke, heater, burning, caught, heated, seat heater, electrical, burnt, burned",1.6,32,TDI_unknown: 6%,"2003, 2000, 2015, 2005, 2001","nhtsa_complaint: 20, carproblemzoo: 12",,,,0.0
21,"fuel, smell, gas, tank, se, strong, pump, leaking, leak, fuel leaking",1.7,34,,"2016, 2017, 2015, 2018, 2004","nhtsa_complaint: 27, carproblemzoo: 7",,,,0.0
22,"owners, 11, requirements, lamps, notify owners, notify, crash, 2016, recalling, shift lever",2.4,49,"2.0_TSI: 37%, TDI_unknown: 2%","2009, 2019, 2007, 2012, 2015","nhtsa_recall: 39, nhtsa_complaint: 7, carproblemzoo: 3",,,,0.0
23,"airbag, seatbelt, seat, bag light, sensor, air bag, bag, air, sister, seat belt",1.5,31,,"2001, 2002, 2000, 2005, 2010","nhtsa_complaint: 21, carproblemzoo: 10",,,,0.0
24,"audi, owners, 2015, certain, timing, fuel, a3, sportwagen, 2013, 2020",1.7,34,"2.0_TSI: 44%, TDI_unknown: 12%","2015, 2013, 2005, 2011, 2016","nhtsa_recall: 24, nhtsa_complaint: 9, carproblemzoo: 1",,,,0.0
25,"signal, switch, turn signal, hazard, light switch, brake, brake light, turn, flasher, 2007",1.4,29,,"2001, 2007, 2005, 2002, 2004","nhtsa_recall: 10, carproblemzoo: 10, nhtsa_complaint: 9",,,,0.0
26,"belt, seat, seat belt, tensioner, ac, rear seat, rear, belts, buckle, rear passenger",1.5,31,TDI_unknown: 10%,"2001, 2002, 2010, 2005, 2017","nhtsa_complaint: 16, carproblemzoo: 13, nhtsa_recall: 2",,,,0.0
27,"2014, air bag, frontal, frontal air, bag, driver frontal, air, 2010, owners, customer 800",1.3,26,"2.0_TSI: 19%, TDI_unknown: 4%","2014, 2011, 2010, 2003, 2016","nhtsa_recall: 22, nhtsa_complaint: 3, carproblemzoo: 1",,,,0.0
28,"brake, brakes, wear, rear, rotors, rear brake, rear brakes, backing, premature, sticking",1.6,32,TDI_unknown: 12%,"2000, 2001, 2002, 2013, 2017","nhtsa_complaint: 20, carproblemzoo: 12",,,,0.0
29,"error, computer, charging, power, ignition, driven, told, electrical, engine, alternator",1.8,37,TDI_unknown: 5%,"2015, 2019, 2011, 2000, 2013","nhtsa_complaint: 26, carproblemzoo: 11",,,,0.0
30,"water, sunroof, leak, headliner, drain, rain, known, roof, interior, drains",1.4,29,2.0_TSI: 7%,"2017, 2016, 2019, 2000, 2021","nhtsa_complaint: 20, carproblemzoo: 9",,,,0.0
31,"tire, tires, sidewall, low, tire pressure, rim, wheels, wheel, bent, did",1.4,29,"TDI_unknown: 7%, 2.0_TSI: 7%","2000, 2002, 2004, 2010, 2013","nhtsa_complaint: 15, carproblemzoo: 14",,,,0.0
32,"turbo, tdi, intercooler, diesel, stall, engine, fuel, 2010, gave, oil",1.9,39,TDI_unknown: 67%,"2010, 2011, 2005, 2001, 2004","nhtsa_complaint: 22, carproblemzoo: 17",,,,0.0
33,"brake, pedal, brake pedal, brakes, hill, feature, waiting, fluid, brake fluid, assist",1.5,30,"2.0_TSI: 13%, TDI_unknown: 7%","2016, 2017, 2022, 2018, 2005","nhtsa_complaint: 17, carproblemzoo: 13",,,,0.0
34,"axle, hose, replaced, caliper, rear axle, froze, bearing, steering, bolts, rear",1.3,26,,"2000, 2015, 2017, 2001, 2013","carproblemzoo: 16, nhtsa_complaint: 10",,,,0.0
35,"hood, latch, windshield, strut, broke, work, glove box, locking, glove, bar",1.1,22,,"2001, 2006, 2004, 2000, 2015","nhtsa_complaint: 12, carproblemzoo: 10",,,,0.0
36,"trim, sharp, cut, shifter, piece, hand, gear shift, dsg, edge, shift",1.0,21,2.0_TSI: 14%,"2017, 2015, 2018, 2012, 2016","nhtsa_complaint: 15, carproblemzoo: 6",,,,0.0
37,"epc, epc light, check engine, engine, engine light, check, light come, manifold, throttle, times",1.6,32,2.0_TSI: 12%,"2016, 2013, 2004, 2014, 2017","nhtsa_complaint: 19, carproblemzoo: 13",,,,0.0
38,"spring, suspension, coil, coil spring, rear coil, rear, control arm, spring broke, grab, handle",1.2,25,2.0_TSI: 4%,"2013, 2015, 2000, 2017, 2001","nhtsa_complaint: 16, carproblemzoo: 9",,,,0.0
39,"stalls, stop, clutch, neutral, coming stop, gear, coming, stall, engine stalls, stop clutch",1.4,29,"2.0_TSI: 7%, TDI_unknown: 3%","2019, 2018, 2015, 2010, 2001","nhtsa_complaint: 26, carproblemzoo: 3",,,,0.0
40,"engine, started, start, key, turned, 4th, shut, died, 4th gear, red light",1.5,31,TDI_unknown: 3%,"2013, 2011, 2000, 2015, 2005","nhtsa_complaint: 20, carproblemzoo: 11",,,,0.0
41,"door, lock, doors, locks, driver door, latch, squeaking, close, door locks, keys",1.5,30,,"2001, 2002, 2000, 2006, 2021","carproblemzoo: 17, nhtsa_complaint: 13",,,,0.0
42,"went, sensor, check light, ak, engine check, light went, listed ak, summary, check, map",1.1,22,,"2001, 2000, 2010, 2004","nhtsa_complaint: 15, carproblemzoo: 7",,,,0.0
43,"stall, stop, stalls, gti, clutch, engine, stalling, 2019 gti, happened, start",1.3,26,"2.0_TSI: 73%, TDI_unknown: 4%","2019, 2011, 2010, 2015, 2021","nhtsa_complaint: 19, carproblemzoo: 7",,,,0.0
44,"steering, wheel, power steering, steering wheel, power, sport, violently, shaking, turned, suspension",1.2,24,"2.0_TSI: 21%, TDI_unknown: 4%","2013, 2018, 2022, 2017, 2016","carproblemzoo: 16, nhtsa_complaint: 8",,,,0.0
45,"thermostat, housing, coolant, thermostat housing, water pump, water, pump, impeller, common, inspected",0.9,19,,"2017, 2015, 2016, 2019, 2007","nhtsa_complaint: 16, carproblemzoo: 3",,,,0.0
46,"seat, body, head, seats, mechanism, defect, creaking, rear seat, piston, xxx",0.9,18,TDI_unknown: 22%,"2001, 2017, 2022, 2011, 2010","nhtsa_complaint: 9, carproblemzoo: 9",,,,0.0
47,"collision, forward collision, alarm, emergency, semi truck, semi, brakes, truck, forward, braking",1.0,21,,"2019, 2017, 2018, 2020, 2003","nhtsa_complaint: 12, carproblemzoo: 9",,,,0.0
