topic_id,label,label_short,system_component,issue_type,severity,confidence,onset_mileage_typical_km,onset_mileage_range,affected_engines,affected_years,engine_family_codes,known_part_codes,engine_notes,prevalence_pct,chronic_signal,summary,warning_signs,inspection_advice,data_quality,thread_count,notes
1,"Audio system upgrades, speaker, and amplifier installation discussions",Audio system upgrades,electrical,other,low,high,,,"[""all""]",all,[],[],,3.0,0.184,"This topic represents forum discussions about aftermarket audio system upgrades, including speaker and amplifier selection, installation, and compatibility. It is not a vehicle defect or failure, but a common modification interest among owners.","[""Interest in upgrading factory audio system"", ""Requests for advice on speaker/amplifier brands and compatibility""]","No inspection needed; this is a modification topic, not a fault.",high,136,"FREX and PROB terms (anfi, hoparlor, bass, pioneer, jbl, amper, deck) clearly indicate audio system discussions. Covariate effects show no significant engine-specific pattern. Low chronic signal and representative snippets confirm this is not a chronic failure topic. High 'unknown' engine percentage suggests topic is engine-agnostic."
2,"Premature brake pad and disc wear, potentially linked to factory components",Brake wear,brakes,wear_item,medium,medium,30000.0,4920-83000 km,"[""all""]",all,[],"[{""code"": ""TRW"", ""name"": ""Brake components (inferred from FREX)"", ""notes"": ""Mentioned in FREX terms, likely a supplier""}, {""code"": ""Bosch"", ""name"": ""Brake components (inferred from PROB)"", ""notes"": ""Mentioned in PROB terms""}]",No strong evidence for engine-specific susceptibility; issue appears across multiple engine groups.,2.6,0.48,"Reports indicate premature wear of brake pads (balatalar) and discs (disk), with some users citing factory components as problematic. Complaints span multiple generations and engine types, with wear occurring at relatively low and variable mileages.","[""Premature brake pad wear requiring early replacement"", ""Excessive disc wear or scoring necessitating machining (torna)""]","Inspect brake pad thickness and disc condition regularly, even at low mileages. Check for uneven wear or scoring that may indicate a component or alignment issue.",medium,106,"High proportion of 'unknown' engine_group (83%) limits precise engine targeting. Covariate effects show many engine groups with similar, significant estimates, suggesting a broad issue. Snippet [4] directly mentions a factory brake pad problem requiring replacement at 12,000 km and again at 7,000 km, supporting the wear item classification. Chronic signal of 0.48 and repeated complaints in snippets suggest recurring, unresolved reports, but not definitively a 'chronic_failure' in a systemic design sense."
3,"Idle instability, misfiring, and hard starting issues",Idle Misfire,engine,intermittent_fault,medium,medium,30000.0,4k-119k km,"[""all""]",all,[],"[{""code"": null, ""name"": ""ignition coil"", ""notes"": ""Inferred from 'bobin' terms""}, {""code"": null, ""name"": ""spark plug"", ""notes"": ""Inferred from 'buji' terms""}, {""code"": null, ""name"": ""throttle body"", ""notes"": ""Inferred from 'kelebegi' terms""}]","Strong signal across multiple engine types, but specific family mapping is unclear due to high 'unknown' engine data.",6.2,0.604,"A common complaint cluster involving rough idle, engine misfire, and difficulty starting, often discussed in relation to LPG conversions. The problem appears across multiple engine types and model years, with symptoms like shaking at idle and requiring multiple cranks to start.","[""Engine shaking or vibration at idle (rolantide titreme)"", ""Hard starting, requiring multiple attempts (marsta)""]","Check ignition system components (spark plugs, coils), throttle body cleanliness, and fuel delivery, with particular attention if an LPG system is installed.",medium,282,High proportion of 'unknown' engine data limits precise engine targeting. LPG conversion is a frequent covariate but not the sole cause. Chronic signal is present but not overwhelmingly strong for a 'chronic_failure' classification.
4,"Tire and wheel selection, fitment, and seasonal change discussions",Tire/Wheel Fitment,other,other,low,high,,,"[""all""]",all,[],[],,5.7,0.116,"This topic is not a mechanical failure or fault. It represents a high volume of general discussion threads about tire and wheel selection, sizing (e.g., 15"", 16"", 17"", 195/205 widths), brand comparisons (e.g., Goodyear, Continental, Nokian), seasonal changes, and fitment advice. The data shows broad, non-specific engagement across all engine types and model years.","[""Threads discussing tire sizes (e.g., 195/55 R16)"", ""Threads comparing tire brands (e.g., Continental vs. Nokian)"", ""Questions about alloy vs. steel wheels""]","No inspection is required as this is not a vehicle fault. The topic covers owner discussions and questions about wheel and tire upgrades, replacements, and legal requirements.",high,253,"This is definitively a non-issue, general discussion topic. The FREX and PROB terms are dominated by tire/wheel brands, sizes, and parts. The engine breakdown is overwhelmingly 'unknown' (87%), and the significant covariate effects for all engine groups are nearly identical, indicating no specific engine association. The chronic signal is very low, confirming this is not a recurring problem topic."
5,"MediaNav/Medianav infotainment system software updates, downgrades, and file management issues",Infotainment Software Issues,electrical,other,low,high,,,"[""all""]",all,[],[],No evidence linking issue to specific engine; discussion is infotainment-centric.,4.6,0.306,"Forum users extensively discuss MediaNav/Medianav infotainment system software versions, updates, downgrades, and file management procedures. Topics include navigating specific firmware versions (e.g., 9.1.3, 7.0.5, 4.1.0), using USB drives formatted to FAT32, and troubleshooting update processes or resulting minor glitches.","[""Infotainment system prompts for or fails during software updates"", ""Difficulty downgrading or changing MediaNav/Medianav software version"", ""USB drive not recognized for map or firmware updates""]","Verify the current infotainment software version and follow forum-shared procedures precisely for updates/downgrades, ensuring USB drives are correctly formatted (FAT32).",high,213,"Topic is clearly defined by FREX/PROB terms and snippets as infotainment software management, not a mechanical failure. Chronic signal (0.306) and high thread count indicate persistent user discussion, but this reflects ongoing community support for a complex feature, not a chronic hardware fault. Engine breakdown is dominated by 'unknown' (93.9%), and covariate effects show no meaningful differentiation, confirming the issue is vehicle-wide (all engines/years)."
6,Vehicle specification and price comparison discussions,Specs & Pricing,other,other,low,high,,,"[""all""]",all,[],[],"Discussions reference a wide variety of engines, with no specific failure pattern.",3.4,0.12,"This topic consists of forum threads focused on vehicle specifications, model comparisons, and price listings. The content is informational and administrative, not indicative of a mechanical fault or chronic issue.","[""Forum posts containing detailed specification tables"", ""Threads comparing model years, trims, and list prices""]",No mechanical inspection is warranted as this topic relates to informational and comparative discussions.,high,97,"FREX and PROB terms (td, table, align, price, class) strongly indicate HTML table formatting for data presentation. Snippets show user lists of vehicle specs and price table structures. The engine breakdown and covariates show broad, non-specific association because these threads simply list many different models. The low chronic signal and early mileage distribution are consistent with general ownership discussions, not problem reports."
7,Manual and automated manual gearbox engagement and shifting problems,Gearbox Shifting Issues,gearbox,intermittent_fault,medium,medium,17500.0,4000-79799 km,"[""all""]",all,[],[],"Evidence is present across multiple engine types, but the specific engine breakdown is dominated by 'unknown' entries.",4.9,0.594,"Reports focus on difficulty shifting gears, gearbox failures, and operational confusion with automated manual transmissions. Issues appear across multiple generations and engine types, with symptoms ranging from mechanical failure to intermittent warning messages.","[""Difficulty engaging gears, especially from a stop or into reverse"", ""Intermittent 'gearbox check' warning messages and stalling""]","Check for mechanical gear damage and clutch wear in manual models; for automated manuals, have the transmission control unit and actuator system scanned for faults.",medium,206,"High proportion of 'unknown' engine data limits precise engine targeting. Topic covers both manual gearbox mechanical failures and automated manual (EDC/Quickshift) operational faults, which may be distinct underlying issues."
8,"Fuel gauge and air conditioning system complaints, including inaccurate readings and performance concerns",Fuel Gauge & AC Issues,electrical,intermittent_fault,low,medium,,,"[""all""]",all,[],[],"Evidence is broad across engine groups, with no single engine family showing strong specific association.",3.3,0.513,"Discussions center on fuel gauge accuracy, low fuel warning behavior, and air conditioning performance comparisons. The topic appears to be a mix of general usage questions and intermittent complaints rather than a specific chronic failure.","[""Fuel gauge reading inaccurately or fluctuating"", ""Low fuel warning light activating unexpectedly or at inconsistent ranges""]",Check fuel level sensor and wiring for gauge issues; verify AC compressor operation and refrigerant levels for cooling complaints.,medium,147,"Topic appears to bundle multiple distinct but related electrical/comfort concerns (fuel gauge, AC performance). The chronic signal is moderate but not strongly supported by snippets showing repeated unresolved failures. High proportion of 'unknown' engine data limits specificity. Covariate effects are uniform and significant across all engine groups, suggesting a broad, non-specific association."
9,"Vehicle specification, trim level, and equipment discussions",Specs & Equipment,other,other,low,high,,,"[""all""]",all,[],[],,9.3,0.138,"This topic primarily consists of discussions about vehicle specifications, trim levels (e.g., Joy, Icon), equipment options (e.g., climate control, touchscreen, steering wheel controls), and general vehicle identification. It does not represent a mechanical or electrical failure.","[""Questions about vehicle trim or equipment"", ""Discussions comparing model years or specifications""]",No mechanical inspection is advised as this is an informational topic.,high,387,"High prevalence is due to common forum activity (identifying vehicles, discussing specs), not a reliability issue. The 'chronic_signal' is low and reflects ongoing general discussion, not unresolved complaints. Engine breakdown shows high 'unknown' percentage, consistent with specification topics not being engine-specific."
10,"Clutch engagement issues, vibration, and transmission concerns",Clutch/Transmission Issues,gearbox,chronic_failure,medium,medium,41500.0,16200-102400 km,"[""all""]",all,[],[],"Evidence spans multiple engine groups, but specific engine family mapping is unclear from the data.",2.8,0.428,"Users report clutch engagement problems, vibration (especially in 1st gear), and concerns about transmission reliability, including EDC (dual-clutch) units. Issues often appear at moderate mileage and can recur after initial service.","[""Vibration during acceleration, especially in 1st gear"", ""Clutch pedal engaging very high"", ""Recurring shudder after initial repair""]","Check clutch engagement point and for vibration during low-speed acceleration. For EDC transmissions, inquire about service history and clutch pack replacements.",medium,136,"High proportion of 'unknown' engine data limits precise engine targeting. Topic mixes manual clutch complaints (kavrama, debriyaj) with EDC/DSG transmission concerns, suggesting a broad clutch/transmission problem space rather than a single fault."
