issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count
timing_chain_tensioner_failure,Timing chain tensioner failure causing engine damage,Timing chain failure,engine,chronic_failure,high,high,"[""1.4_TSI"", ""1.4""]",,,"Timing chain stretches and can jump teeth, potentially causing catastrophic engine failure; chain slack and noise if oil pressure is low.",Tensioner relies on proper oil level and pressure; design prone to failure.,Replace timing chain and tensioner with updated parts.,"[""Engine rattling or noise on startup"", ""Timing chain noise under acceleration""]",Check service history for timing chain replacement; listen for rattling on cold start.,3,1,"[{""video_id"": ""V3O6BHi2-pg"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""waG3i3Hon5Q"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""wdMEFFNou3Y"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,high,"Merged issues: timing_chain_tensioner_failure, oil_pressure_dependent_tensioner, timing_chain_failure, noisy_engine_acceleration (as potential symptom).",3
timing_chain_tensioner_failure,Timing chain tensioner failure,Timing chain tensioner,engine,chronic_failure,high,high,"[""1.2_TSI"", ""1.4_TSI"", ""1.8_TSI"", ""2.0_TSI"", ""2.0_TSI_R""]",pre-Mark 7,,"Potential for catastrophic engine damage due to timing chain or tensioner failure. Rattle when starting with a cold engine, risking serious engine damage.",Timing chain tensioner failure,Requires staying on top of timing chain service as a critical maintenance item to prevent failure.,"[""Rattle when starting with a cold engine""]",Check for timing chain service history and listen for cold start rattles.,3,1,"[{""video_id"": ""CzWxijTPkHY"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""LFed8YNxj2M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""ADUK5PFB4k4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,high,Merged from 'timing_belt_rattle_failure' (specific to 2.0_TSI_R) and broader timing chain issues on EA888 engines. Note: EA113 (belt) vs EA888/EA111 (chain) distinction.,3
timing_chain_tensioner_failure,Timing chain tensioner failure,Timing chain tensioner,engine,chronic_failure,high,high,"[""1.2_TSI"", ""1.4_TSI"", ""1.8_TSI"", ""2.0_TSI"", ""2.0_TSI_R""]",pre-Mark 7,,"Potential for catastrophic engine damage due to timing chain or tensioner failure. Rattle when starting with a cold engine, risking serious engine damage.",Timing chain tensioner failure,Requires staying on top of timing chain service as a critical maintenance item to prevent failure.,"[""Rattle when starting with a cold engine""]",Check for timing chain service history and listen for cold start rattles.,3,1,"[{""video_id"": ""CzWxijTPkHY"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""LFed8YNxj2M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""ADUK5PFB4k4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,high,Merged from 'timing_belt_rattle_failure' (specific to 2.0_TSI_R) and broader timing chain issues on EA888 engines. Note: EA113 (belt) vs EA888/EA111 (chain) distinction.,3
wheel_bearing_hub_failure,Wheel bearing and hub failure,Wheel bearing/hub,suspension,wear_item,medium,high,[],,,"Wheel bearings are a known issue, causing noise. The wheel hubs tend to be bad on these cars.",Premature wear or contamination.,Replace faulty wheel bearing or hub assembly.,"[""Humming or grinding noise from wheels"", ""Noise changes with speed"", ""Growling or humming noise from wheels"", ""Play in the wheel""]",Listen for bearing noise during test drive; check for play.,2,2,"[{""video_id"": ""waG3i3Hon5Q"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""c4X_Kigzg4M"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""list_format""}]",youtube,medium,Merged wheel bearing and wheel hub issues as related suspension wear items.,2
pcv_system_failure,PCV valve or crankcase ventilation system failure,PCV failure,engine,chronic_failure,medium,high,"[""1.4_TSI"", ""1.8_TSI"", ""2.0_TSI"", ""2.0_TSI_R""]",,,"Engine may exhibit oil consumption, rough idle, or check engine light. System is a weaker part, especially when tuning the engine.",Weak crankcase ventilation design,,"[""Oil consumption"", ""Rough idle"", ""Check engine light""]",,2,2,"[{""video_id"": ""CzWxijTPkHY"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""ADUK5PFB4k4"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,medium,Merged 'crankcase_ventilation_weakness' and 'pcv_failure' as they describe the same system.,2
pcv_failure,PCV valve or system failure,PCV Failure,engine,chronic_failure,medium,high,"[""1.4_TSI"", ""1.8_TSI"", ""2.0_TSI"", ""2.0_TSI_R""]",,,"Engine may exhibit oil consumption, rough idle, or check engine light.",Weak crankcase ventilation design,,"[""Oil consumption"", ""Rough idle"", ""Check engine light""]",,2,2,"[{""video_id"": ""CzWxijTPkHY"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""ADUK5PFB4k4"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,medium,Merged with 'crankcase_ventilation_weakness'.,2
body_rust_and_trim_issues,"Body rust, brittle clips, and interior rattles",Body Issues,body,structural,medium,high,"[""2.0_TSI_R""]",,,"Multiple body and interior issues including rust, brittle plastics, and sagging headliner.",,Regular cleaning of drainage holes,"[""Rust around tailgate"", ""Brittle bumper clips"", ""Sagging headliner"", ""Rattling interior"", ""Water accumulation in door""]","Check for rust around tailgate badge/lights, inspect bumper clips, listen for interior rattles, examine headliner, and check door drainage holes for blockages.",2,2,"[{""video_id"": ""CzWxijTPkHY"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""55rbRo6ZUHs"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,medium,"Consolidated multiple body-related issues (bumper clips, door drains, wheel arch foam, tailgate rust, headlining sag, interior plastic brittleness) from source videos.",2
cp4_high_pressure_fuel_pump_failure,High pressure fuel pump (CP4) failure,CP4 pump failure,fuel,chronic_failure,high,high,"[""1.6_TDI"", ""2.0_TDI""]",2008-2013,,"Pump failure can contaminate the fuel system with metal particles, potentially requiring a new engine or very expensive repair.",Pump mechanical failure,Replace high-pressure fuel pump and clean/repair fuel system,[],Check service history for pump replacement; consider preventive replacement on high-mileage examples.,2,1,"[{""video_id"": ""c4X_Kigzg4M"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""list_format""}, {""video_id"": ""4isZJFleo9g"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic""}]",youtube,medium,Referenced as 'high pressure fuel pump failure' and 'CP4 fuel pump failure'.,2
cp4_high_pressure_fuel_pump_failure,High pressure fuel pump (CP4) failure,CP4 pump failure,fuel,chronic_failure,high,high,"[""1.6_TDI"", ""2.0_TDI""]",2008-2013,,"Pump failure can contaminate the fuel system with metal particles, potentially requiring a new engine or very expensive repair.",Pump mechanical failure,Replace high-pressure fuel pump and clean/repair fuel system,[],Check service history for pump replacement; consider preventive replacement on high-mileage examples.,2,1,"[{""video_id"": ""c4X_Kigzg4M"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""list_format""}, {""video_id"": ""4isZJFleo9g"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic""}]",youtube,medium,Referenced as 'high pressure fuel pump failure' and 'CP4 fuel pump failure'.,2
dpf_clogging,Diesel particulate filter clogging,DPF clogging,exhaust,chronic_failure,high,high,"[""1.6_TDI"", ""2.0_TDI""]",,,"Vehicle lacks power, warning light for DPF, exhaust smell in engine bay, and rattling exhaust due to excessive back pressure. Can clog if long journeys are not regularly undertaken.",Insufficient regeneration cycles from short journeys.,Forced regeneration or replacement.,"[""DPF warning light"", ""loss of power"", ""exhaust smell in cabin""]",Check service history for DPF regenerations or replacements. Look for DPF warning lights or fault codes.,2,1,"[{""video_id"": ""vGDO9iC6Mfk"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format""}, {""video_id"": ""75buEMYS0wc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}]",youtube,high,Common on diesel engines used primarily for short trips.,2
