issue_id,label,system_component,affected_engines,affected_years,symptom,cause,fix,confidence,data_quality,source_videos,topic_id,topic_size,topic_top_terms,source,mention_count,distinct_channel_count,corroboration_count,engine_year_context
rear_wiper_squeak,Rear wiper always squeaks,body,[],,"Rear wiper just always squeaks, not much you can do.",,,medium,low,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""channel"": ""Deutsche Auto Parts"", ""video_type_category"": ""organic""}, {""video_id"": ""TPoLnxbsqUE"", ""title"": ""Volkswagen Golf Mk7 used review: the best Golf EVER?"", ""channel"": ""Auto Express"", ""video_type_category"": ""organic""}, {""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""yv2_SPxQFLI"", ""title"": ""Used Volkswagen Golf Review - Mk 7 (2013 - 2020): The best used family car?"", ""channel"": ""Cazoo"", ""video_type_category"": ""organic""}, {""video_id"": ""nDkdFw4z1UE"", ""title"": ""How to install SoloWerks Coilovers on a MK7 Golf SportWagen S7EP33"", ""channel"": ""PincheAls Garage"", ""video_type_category"": ""organic""}, {""video_id"": ""AhRpFZIZKDA"", ""title"": ""Common MK7 Golf R Problems"", ""channel"": ""Sam A"", ""video_type_category"": ""organic""}, {""video_id"": ""ENL7ozzMuJI"", ""title"": ""6 years 72k Mile Update For My Mk7.5 Volkswagen GTI - Maintenance Is Adding Up"", ""channel"": ""Boston Auto Blog"", ""video_type_category"": ""organic""}]",1,14,"[""yeah"", ""mark"", ""kind"", ""mark seven"", ""seven"", ""funny"", ""basically"", ""mark golf"", ""like"", ""things""]",youtube,7,7,7,
carbon_buildup_oil_consumption,Carbon buildup and oil consumption,engine,"[""1.8_TSI"", ""2.0_TSI""]",,Gradual loss of engine performance over time and potential excessive oil consumption.,"Carbon deposits accumulating on intake valves and ports due to direct injection design, with some engines also experiencing oil consumption issues.","Walnut blasting or cleaning of intake ports every 60,000-80,000 miles; aftermarket port injection kits available in some markets.",high,high,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}, {""video_id"": ""9s5dyDCpGMs"", ""title"": ""120,000 Mile Review: 2018 VW GTI Autobahn (Mk7.5) | Long-Term Ownership Insights"", ""channel"": ""tevo"", ""video_type_category"": ""organic""}, {""video_id"": ""GBRszP9yMsE"", ""title"": ""My 400hp Daily Driver - Volkswagen Mk7 GTI Walkthrough"", ""channel"": ""Arkansas Offroad"", ""video_type_category"": ""organic""}]",4,10,"[""carbon"", ""injection"", ""carbon buildup"", ""buildup"", ""markets"", ""intake"", ""oil consumption"", ""deposits"", ""consumption"", ""carbon deposits""]",youtube,5,5,5,"[{""engine"": ""2.0_TSI"", ""years"": ""2013-2021"", ""evidence_hits"": 1}]"
rear_main_seal_failure,Rear main seal known to fail,engine,[],,Rear main seals are known to fail and owners usually opt to change these at the same time as the clutch.,,Switch to an aftermarket billet aluminium construction for a more permanent resolution that should last the life of the vehicle.,medium,medium,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""s_hLRII-tBU"", ""title"": ""Car Servicing - VW Golf MK7"", ""channel"": ""Turners Workshop"", ""video_type_category"": ""organic""}, {""video_id"": ""nNJ1RNB9wK0"", ""title"": ""The Truth About VW’s EA211 Engine Reliability (VW 1.4 TSI)"", ""channel"": ""8020 Automotive"", ""video_type_category"": ""organic""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}, {""video_id"": ""9s5dyDCpGMs"", ""title"": ""120,000 Mile Review: 2018 VW GTI Autobahn (Mk7.5) | Long-Term Ownership Insights"", ""channel"": ""tevo"", ""video_type_category"": ""organic""}]",6,9,"[""fail"", ""120000"", ""owners"", ""maintenance"", ""change"", ""like subscribe"", ""developed"", ""snap"", ""specific"", ""supposed replace""]",youtube,5,5,5,
early_turbo_failure,early turbo failure on 2015 GTIs,engine,"[""2.0_TSI""]",early 2015,"Turbo failure causing major engine problems, especially on early 2015 cars.",Early revision turbos prone to failure compared to newer model years.,"Turbo replacement, potentially under warranty if still covered.",high,high,"[{""video_id"": ""Vgxon_BrQck"", ""title"": ""Volkswagen Golf MK7.5, 3 Years Ownership Review (UK)(4K) | Carcode"", ""channel"": ""Carcode"", ""video_type_category"": ""organic""}, {""video_id"": ""Zskb3HeOWMA"", ""title"": ""Volkswagen Reliability... My Experience"", ""channel"": ""NewEnglandPete"", ""video_type_category"": ""organic""}, {""video_id"": ""TxQX5uAQnV8"", ""title"": ""Used Mk7 Buyers Guide! How to avoid a previously modified car."", ""channel"": ""Baun Performance"", ""video_type_category"": ""list_format""}, {""video_id"": ""ENL7ozzMuJI"", ""title"": ""6 years 72k Mile Update For My Mk7.5 Volkswagen GTI - Maintenance Is Adding Up"", ""channel"": ""Boston Auto Blog"", ""video_type_category"": ""organic""}, {""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems"", ""channel"": ""CashedOutCars"", ""video_type_category"": ""list_format""}]",24,7,"[""car"", ""great"", ""cars"", ""know"", ""years"", ""really"", ""2015"", ""problem"", ""things"", ""just""]",youtube,5,5,5,
water_pump_failure_carbon_buildup,Water pump failure and carbon buildup issues,cooling,"[""1.4_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,"Coolant leaks, temperature fluctuations, and performance loss with misfires.",Plastic water pump housing failure and carbon buildup on fuel injectors/valves.,Replace water pump/thermostat and perform carbon cleaning service.,high,high,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}, {""video_id"": ""9s5dyDCpGMs"", ""title"": ""120,000 Mile Review: 2018 VW GTI Autobahn (Mk7.5) | Long-Term Ownership Insights"", ""channel"": ""tevo"", ""video_type_category"": ""organic""}, {""video_id"": ""GBRszP9yMsE"", ""title"": ""My 400hp Daily Driver - Volkswagen Mk7 GTI Walkthrough"", ""channel"": ""Arkansas Offroad"", ""video_type_category"": ""organic""}]",5,9,"[""fuel"", ""pump"", ""issue"", ""water pump"", ""injectors"", ""fuel injectors"", ""water"", ""sign"", ""filters"", ""carbon""]",youtube,4,4,4,"[{""engine"": ""2.0_TSI"", ""years"": ""2013-2021"", ""evidence_hits"": 1}]"
dq200_dsg_dry_clutch_problems,DQ200 dry clutch DSG reliability issues,gearbox,"[""1.2_TSI"", ""1.4_TSI""]",,"Jerky takeoff from a stop, hesitation when shifting, rough behavior when cold, and mechatronics failures.",Design limitations of the 7-speed dry clutch DQ200 transmission.,Opt for the wet clutch DSG versions (DQ250/DQ381) for long-term reliability.,high,high,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}, {""video_id"": ""GBRszP9yMsE"", ""title"": ""My 400hp Daily Driver - Volkswagen Mk7 GTI Walkthrough"", ""channel"": ""Arkansas Offroad"", ""video_type_category"": ""organic""}]",19,7,"[""clutch"", ""sixspeed"", ""wet"", ""dsg"", ""dry"", ""manual"", ""hand"", ""dry clutch"", ""complaints"", ""longterm""]",youtube,4,4,4,
cabin_blower_motor_failure,Cabin blower motor failure and control issues,electrical,[],2012 to 2019,"No airflow or reduced airflow from vents, blower motor works intermittently, or HVAC system generates OBD code B10B.","Faulty blower motor, blower resistor, blower switch, wiring issues, or blown fuse in HVAC system.","Test blower motor and electrical components, replace faulty parts like motor, resistor, or switch, check and replace fuses.",high,high,"[{""video_id"": ""ftdK1Rg2ob8"", ""title"": ""Addressing common faults in VW Golf MK7 (2012-2019)"", ""channel"": ""Luxe Rides & More"", ""video_type_category"": ""list_format""}, {""video_id"": ""Vgxon_BrQck"", ""title"": ""Volkswagen Golf MK7.5, 3 Years Ownership Review (UK)(4K) | Carcode"", ""channel"": ""Carcode"", ""video_type_category"": ""organic""}, {""video_id"": ""s_hLRII-tBU"", ""title"": ""Car Servicing - VW Golf MK7"", ""channel"": ""Turners Workshop"", ""video_type_category"": ""organic""}, {""video_id"": ""9s5dyDCpGMs"", ""title"": ""120,000 Mile Review: 2018 VW GTI Autobahn (Mk7.5) | Long-Term Ownership Insights"", ""channel"": ""tevo"", ""video_type_category"": ""organic""}]",1001,4,"[""air"", ""blower"", ""car"", ""golf"", ""issues"", ""motor"", ""blower motor"", ""turbocharger"", ""just"", ""ive""]",youtube,4,4,4,
trim_peeling_interior_plastic,fake metal trim peeling and sharp edges,body,[],,"The plastic fake metal interior trim starts to bubble, peel, and develop sharp edges that can cut the driver.",Material degradation or poor adhesion of the metallic finish on interior plastic trim.,Replace the affected trim pieces or apply a protective film to prevent further peeling.,medium,low,"[{""video_id"": ""dlAJkW6qK9o"", ""title"": ""SOLOWERKS MK7 Golf SportWagon Coilovers Unboxing"", ""channel"": ""PincheAls Garage"", ""video_type_category"": ""organic""}, {""video_id"": ""9s5dyDCpGMs"", ""title"": ""120,000 Mile Review: 2018 VW GTI Autobahn (Mk7.5) | Long-Term Ownership Insights"", ""channel"": ""tevo"", ""video_type_category"": ""organic""}, {""video_id"": ""GBRszP9yMsE"", ""title"": ""My 400hp Daily Driver - Volkswagen Mk7 GTI Walkthrough"", ""channel"": ""Arkansas Offroad"", ""video_type_category"": ""organic""}]",0,18,"[""white"", ""uh"", ""wheels"", ""coilovers"", ""like"", ""little"", ""did"", ""dont"", ""wagon"", ""um""]",youtube,3,3,3,
cooling_system_water_pump_leaks,Cooling system water pump leaks,cooling,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI"", ""1.6_TDI"", ""2.0_TDI""]",,"Slowly dripping coolant, dropping coolant level, sweet smell under the hood, or moisture around the engine.",Leaks from the water pump or thermostat housing,Replace water pump and/or thermostat housing,high,high,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}]",14,7,"[""mk7"", ""golf mk7"", ""75 golf"", ""news"", ""honest"", ""cooling"", ""avoid"", ""coolant"", ""golf"", ""popular""]",youtube,3,3,3,"[{""engine"": ""1.5_TSI"", ""years"": ""2017"", ""evidence_hits"": 2}, {""engine"": ""2.0_TSI"", ""years"": ""2013-2021"", ""evidence_hits"": 1}]"
suspension_rattling_noise,Rear suspension knocking and rattling noise,suspension,[],early models,"Knocking and rattling noise from the rear suspension, especially under 30mph, often mistaken for trim panel rattles.","Suspension component issue, possibly shock absorbers (a revised shock absorber was introduced but noise remained).",Inspect and potentially replace suspension components; check for revised parts.,high,high,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf"", ""channel"": ""Parkers Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}]",15,7,"[""suspension"", ""rattling"", ""noises"", ""hear"", ""noise"", ""introduced"", ""remained"", ""rattling noise"", ""expensive fix"", ""car happens""]",youtube,3,3,3,
