topic_id,label,label_short,system_component,issue_type,severity,confidence,onset_mileage_typical_miles,onset_mileage_range,affected_engines,affected_years,known_part_codes,engine_notes,prevalence_pct,chronic_signal,summary,warning_signs,inspection_advice,data_quality,thread_count,notes
1,Excessive oil consumption and oil system failures leading to engine damage,Oil consumption/leaks,engine,chronic_failure,high,high,,,"[""1.4_TSI"", ""1.2_TSI"", ""2.0_TSI""]",2000-2013,"[{""code"": ""EA111"", ""name"": ""Engine assembly (pre-2014)"", ""notes"": ""Piston rings and valve stem seals known for oil consumption""}]","EA111 engines (pre-2014 1.4 TSI, 1.2 TSI) are particularly susceptible to oil consumption due to piston ring and valve seal design.",7.1,0.0,"This topic captures widespread reports of excessive oil consumption and oil system failures in VW Golf models, with multiple incidents of engines seizing or sustaining damage due to oil loss. Complaints describe oil pans being damaged by road contact, engines consuming a quart of oil per 1000 miles, and sudden oil pressure loss leading to catastrophic failure.","[""Low oil pressure warning light illuminating"", ""Frequent need to add oil between changes"", ""Oil pan damage from road contact due to low clearance""]","Check for oil leaks underneath the vehicle, verify oil level and condition, and ask for maintenance records showing oil consumption patterns. Inspect the oil pan for damage, especially on older models.",medium,144,Source data is predominantly US NHTSA complaints with limited engine specification details (86.8% unknown). Year distribution suggests older vehicles (2000-2013) are most affected.
2,"Transmission shifting issues including DSG failure, gear slip, and manual clutch problems",Transmission shifting,gearbox,chronic_failure,high,medium,,,"[""2.0_TSI"", ""TDI_unknown""]",2011-2022,"[{""code"": ""DQ200"", ""name"": ""DSG 7-speed dry clutch mechatronic unit"", ""notes"": ""Primary failure point for DSG issues; revised unit from 2014 is more reliable""}, {""code"": ""DQ250"", ""name"": ""DSG 6-speed wet clutch"", ""notes"": ""Generally robust but can have rear seal leaks at high mileage""}]","Issues span both petrol (2.0_TSI) and diesel (TDI) engines, indicating the problem is transmission-specific rather than engine-dependent.",5.7,0.0,"This topic aggregates widespread transmission-related complaints, primarily focusing on DSG (Direct-Shift Gearbox) failures and manual transmission clutch issues. Symptoms include harsh shifting, gear slip, loss of power, transmission entering emergency/limp mode, and shuddering during engagement, with some incidents occurring at very low mileage.","[""Judder or shudder during low-speed acceleration or clutch engagement"", ""Harsh shifts, gear slip, or loss of power while driving"", ""Transmission warning messages or emergency/limp mode activation""]","For DSG-equipped Golfs, test drive in stop-start traffic to check for low-speed shudder or hesitation, and scan for transmission fault codes. For manuals, check for clutch engagement smoothness and any unusual noises.",medium,114,"High proportion of documents have unknown engine spec (79.8%). Data is complaint-dominated (NHTSA complaints and CarProblemZoo), lacking TSB or recall data which could indicate official recognition."
3,High pressure fuel pump (HPFP) failure in diesel engines causing sudden engine stall,HPFP failure,engine,chronic_failure,high,high,40000.0,40k-60k miles,"[""1.6_TDI"", ""2.0_TDI""]",2009-2015,"[{""code"": ""03L130755"", ""name"": ""High pressure fuel pump"", ""notes"": ""Common failure part on EA189 diesel engines""}]","Primarily affects EA189 diesel engines (1.6_TDI and 2.0_TDI) from the Dieselgate era, with failures often occurring around 40k mile service intervals.",4.9,0.0,"High pressure fuel pump failures in diesel Golf models cause sudden engine stall while driving, often with metallic debris contamination requiring complete fuel system replacement. The issue appears most prevalent in 2010-2012 TDI models around 40,000 mile service intervals, creating significant safety concerns during traffic operation.","[""Diesel glow plug warning light illumination"", ""Metallic pinging noise before engine shutdown"", ""Rough engine running preceding stall""]","Check service history for HPFP replacement on 2009-2015 diesel Golfs, particularly around 40k mile intervals, and verify no fuel system contamination exists.",high,98,US-market data only; affected vehicles predate Dieselgate resolution; no European market data included in this topic.
4,Airbag system malfunction: inadvertent deployment or failure to deploy in collision,Airbag malfunctions,other,safety_recall,high,high,,,"[""unknown""]",2000-2004,"[{""code"": ""unknown"", ""name"": ""Airbag control module/sensor"", ""notes"": ""Likely related to early 2000s airbag systems""}]",,3.8,0.0,"This topic describes serious airbag system malfunctions in early 2000s VW Golf models, with two distinct failure modes: spontaneous deployment without collision (often triggered by road irregularities) and failure to deploy during moderate-to-severe collisions. The incidents show no clear engine-specific pattern and appear concentrated in 2000-2004 model years.","[""Previous airbag warning lights"", ""Unusual electrical system behavior"", ""Vehicle history of minor impacts that might have compromised sensors""]","Check for any airbag warning lights during pre-purchase inspection and review vehicle history for airbag-related recalls, particularly for 2000-2004 model years.",medium,76,Data dominated by NHTSA complaints (76%) with insufficient mileage data; represents safety-critical but likely recall-addressed issues from early 2000s models.
5,Fuel pump failure causing sudden engine stall and power loss,Fuel pump failure,engine,chronic_failure,high,medium,,,"[""2.0_TSI"", ""TDI_unknown""]",2010-2013,[],"The issue appears across both petrol (2.0 TSI) and diesel (TDI) engines, suggesting a fuel system component failure not limited to a single engine family.",3.6,0.0,"This topic describes failures of the fuel pump, often the high-pressure pump, leading to sudden engine stall, loss of power, and an inability to restart. The failure can occur at highway speeds, creating a significant safety hazard, and often requires replacement of the pump and sometimes the entire contaminated fuel system.","[""Engine warning light or flashing glow plug indicator"", ""Sudden loss of power or engine stalling, especially at speed"", ""Rough idle or difficulty starting""]","When buying a used Golf, scan for historical fuel pressure or fuel pump fault codes (e.g., P0190) and listen for unusual noises from the fuel tank area. A test drive should include highway speeds to check for any power loss or hesitation.",medium,73,"Data is complaint-dominated (NHTSA complaints, CarProblemZoo) with no TSB or recall documents, suggesting this is a common owner-reported failure not formally addressed by a widespread recall. Most engine specs are unknown, limiting precise engine family correlation."
6,Clock spring failure causing loss of steering wheel controls and airbag warnings,Clock spring failure,electrical,chronic_failure,high,high,,,"[""unknown"", ""TDI_unknown""]",2015-2017,"[{""code"": ""5G0959653"", ""name"": ""Clockspring/Spiral Spring"", ""notes"": ""Common replacement part for steering wheel electrical connections""}]",,3.3,0.0,"Clock spring (spiral cable) failures are reported across multiple model years, causing simultaneous loss of steering wheel-mounted controls including horn, cruise control, and audio buttons, along with airbag warning lights. The issue appears to affect vehicles primarily from 2015-2017 model years, with some reports of repeat failures within short timeframes.","[""Airbag warning light illumination"", ""Loss of steering wheel controls (horn, cruise, audio)"", ""Ratcheting or clicking sound from steering wheel during turns""]","When test driving, check all steering wheel controls including horn, cruise control, and audio buttons, and verify no airbag warning lights are illuminated while turning the wheel through its full range.",medium,66,Data is US-market only from complaint sources; insufficient engine specification data prevents correlation with specific powertrains.
7,Infotainment and Driver Assistance System Intermittent Failures and Component Protection Mode,Infotainment/ADAS Faults,electrical,intermittent_fault,medium,medium,,,"[""2.0_TSI""]",2022-2023,[],"No specific engine-related failure pattern identified; issue appears to be with the vehicle's electronic control units and software, independent of powertrain.",2.7,0.0,"This topic clusters reports of intermittent failures in the infotainment system and advanced driver assistance systems (ADAS), including the SOS emergency call function, front assist, park assist, and backup camera. A common and severe symptom is the infotainment system entering 'component protection' mode, causing it to reboot in a loop and rendering multiple comfort and safety features unavailable.","[""Infotainment screen rebooting repeatedly"", ""Error messages for 'Front Assist' or 'SOS function not available'"", ""Backup camera or parking sensors intermittently failing"", ""System entering 'Component Protection' mode""]","When buying a used Golf, especially a 2022-2023 model, test all infotainment functions, the backup camera, and cycle the ignition multiple times to check for intermittent reboots or error messages related to driver assistance systems.",medium,55,"Data is heavily skewed toward recent model years (2022-2023) and sourced primarily from owner complaints (CarProblemZoo, NHTSA), with no representation from technical service bulletins or recalls, suggesting this may be an emerging or software-related issue not yet formally addressed."
8,"Fuel system leaks and fueling problems, including tandem pump failures and recall-related issues",Fuel system leaks,engine,fluid_leak,medium,medium,,,"[""2.0_TSI"", ""TDI_unknown""]",2000-2022,"[{""code"": null, ""name"": ""Tandem fuel pump"", ""notes"": ""Common failure point on older models, especially 2004 Golf""}]",No strong engine-specific pattern; appears across multiple engine types and years.,3.4,0.0,"This topic captures fuel system leaks and fueling problems in VW Golf models, including tandem fuel pump failures (notably on a 2004 model), fuel tank overflow issues, and recall-related fuel odor problems. The data spans model years from 2000 to 2022, with a concentration of reports from 2015-2017 vehicles, and includes both owner complaints and recall notifications (e.g., NHTSA campaign 24V110000).","[""Strong fuel odor inside the vehicle"", ""Fuel leaking from the tank or engine area, especially on inclines"", ""Fuel overflow or backflow when filling the tank"", ""Check engine light with DTC P0456 (evaporative emissions leak)""]","Check for fuel odors inside the cabin, inspect the fuel tank area and tandem pump (if equipped) for signs of leaks or residue, and verify if any open fuel system recalls (e.g., 24V110000) have been addressed.",medium,69,"Source data is heavily weighted toward NHTSA complaints (46 of 69 documents), with limited engine specification details (93% unknown). Includes recall-related reports which may inflate prevalence for specific model years."
9,Power window regulator failure causing windows to fall into door or become stuck,Window regulator failure,electrical,chronic_failure,medium,high,,,"[""unknown"", ""2.0_TSI"", ""TDI_unknown""]",2000-2016,"[{""code"": ""unknown"", ""name"": ""Window regulator assembly"", ""notes"": ""Plastic mounting components prone to breakage""}]",,2.5,0.0,"Multiple owners report chronic failures of power window regulators across various VW Golf model years, with windows falling into doors or becoming stuck in the down position. Dealerships reported high demand for replacement parts, indicating this is a widespread pattern rather than isolated incidents.","[""Grinding noise when operating window"", ""Window moves slowly or hesitates"", ""Window falls into door cavity when rolled down""]","Test all power windows multiple times during purchase inspection, listening for grinding noises and checking for smooth operation, as regulator failures are common across many model years.",medium,50,Data primarily from NHTSA complaints with limited engine specification details; issue appears to affect multiple generations and engine types.
10,Sunroof glass spontaneous shattering/explosion while driving,Sunroof explosion,other,safety_recall,high,medium,,,"[""2.0_TSI"", ""TDI_unknown""]",2010-2021,"[{""code"": ""unknown"", ""name"": ""Sunroof glass panel assembly"", ""notes"": ""Likely specific to panoramic or large sunroof variants""}]",No clear engine-specific pattern; reports span TDI diesel and 2.0 TSI petrol engines.,2.4,0.0,"Multiple owners report the sunroof glass spontaneously shattering or exploding while driving at highway speeds, often with no external impact or warning. The event is described as extremely loud (like a gunshot or explosion), can occur in various weather conditions, and poses a safety risk due to potential glass ingress and driver distraction.","[""Sudden, loud explosive noise from roof while driving"", ""Glass shards falling into cabin (if sunshade is open)""]","Inspect the sunroof glass for any existing cracks, stress marks, or uneven sealing. Check service history for sunroof glass replacement and verify the sliding shade operates smoothly without binding.",medium,48,"Data is complaint-dominated (NHTSA complaints, CarProblemZoo) with no TSB or recall documents in this bundle; engine spec is mostly unknown (83.3%)."
