issue_id,label,system_component,affected_engines,affected_years,symptom,cause,fix,confidence,data_quality,source_videos,topic_id,topic_size,topic_top_terms,source,mention_count,distinct_channel_count,corroboration_count,engine_year_context,video_type_category
water_pump_coolant_leak,water pump and thermostat housing leaks,cooling,"[""1.4_TSI"", ""1.0_TSI"", ""2.0_TSI"", ""1.2_TSI"", ""1.5_TSI"", ""1.8_TSI""]",early 2015 cars,Low coolant level and visible coolant leaks at the front of the engine.,Failing water pump or thermostat housing seal failure.,Replace water pump and/or thermostat housing assembly.,high,high,"[{""video_id"": ""Zskb3HeOWMA"", ""title"": ""Volkswagen Reliability... My Experience"", ""channel"": ""NewEnglandPete"", ""video_type_category"": ""organic""}, {""video_id"": ""b3YzKwG7HxI"", ""title"": ""7 Things To Look For BEFORE Buying An MK7 VW!"", ""channel"": ""Diego Arias"", ""video_type_category"": ""organic""}, {""video_id"": ""1PSOT7GacoA"", ""title"": ""Dead Misfire MK7 GTI, Another Shop Said Engine is TOAST"", ""channel"": ""HumbleMechanic"", ""video_type_category"": ""organic""}, {""video_id"": ""P4nQsN7zNcA"", ""title"": ""This Golf R Has A HUGE LIST OF PROBLEMS!"", ""channel"": ""Calvin's Car Diary"", ""video_type_category"": ""organic""}, {""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""channel"": ""Deutsche Auto Parts"", ""video_type_category"": ""organic""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""Common Problems of VW MK7 GTI"", ""channel"": ""Lucas Huang"", ""video_type_category"": ""list_format""}, {""video_id"": ""Lb2n9GpHgmk"", ""title"": ""How to Keep your GTI Running FOREVER - Reliability Mods & Tips!"", ""channel"": ""mk8Matt"", ""video_type_category"": ""organic""}, {""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems"", ""channel"": ""CashedOutCars"", ""video_type_category"": ""list_format""}, {""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",11,7,"[""yeah"", ""car"", ""know"", ""got"", ""okay"", ""weve"", ""youre"", ""sure"", ""good"", ""make sure""]",youtube,9,9,9,"[{""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4, ""pre_years"": [2014, 2017]}, {""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3, ""pre_years"": [2014, 2017]}]",
oil_consumption_clogged_scraper_rings,excessive oil consumption in TSI/TDI,engine,"[""1.4_TSI"", ""2.0_TDI"", ""1.2_TSI""]","mid-2014 (1.2/1.4 TSI), 2017 (1.2 TSI)","Excessive oil consumption requiring frequent top-ups, often appearing after 100,000-200,000 km.",Poorly designed oil scraper rings with small holes that clog with carbon; also faulty valve guides in some cylinder heads.,Engine rebuild with redesigned piston rings; valve guide replacement under warranty for some cases.,high,high,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}, {""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}, {""video_id"": ""56T2XdwH4hU"", ""title"": ""Things I Wish I knew Before Buying a VW TDI"", ""channel"": ""Euro Driven"", ""video_type_category"": ""organic""}, {""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format""}, {""video_id"": ""ex_jlHto57E"", ""title"": ""Volkswagen’s 1.5 TSI engine: Common problems and advantages"", ""channel"": ""Dmitry Sapko"", ""video_type_category"": ""list_format""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}, {""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}, {""video_id"": ""Lb2n9GpHgmk"", ""title"": ""How to Keep your GTI Running FOREVER - Reliability Mods & Tips!"", ""channel"": ""mk8Matt"", ""video_type_category"": ""organic""}]",0,22,"[""engines"", ""tsi"", ""liter"", ""tdi"", ""issues"", ""consumption"", ""liter tsi"", ""oil consumption"", ""oil"", ""kilometers""]",youtube,8,7,8,"[{""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4, ""pre_years"": [2014, 2017]}, {""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}, {""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3, ""pre_years"": [2014, 2017]}]",
sunroof_leak_squeak_crack,"sunroof leaks, squeaks, and cracks",body,[],,"Sunroofs on these cars are known to leak, squeak, squeal, and the roof can crack from the sunroof moving back and forth.",Design or manufacturing defect in the sunroof assembly or seals.,"Avoid sunroof-equipped models if possible; otherwise, inspect seals and mechanism for leaks and wear.",high,medium,"[{""video_id"": ""0mbw1oDtRC0"", ""title"": ""VW Golf Mk7 - Still a great car 10 years later?"", ""channel"": ""JJ on Cars"", ""video_type_category"": ""organic""}, {""video_id"": ""ex_jlHto57E"", ""title"": ""Volkswagen’s 1.5 TSI engine: Common problems and advantages"", ""channel"": ""Dmitry Sapko"", ""video_type_category"": ""list_format""}, {""video_id"": ""wIKS8wlgu9I"", ""title"": ""VW Golf GTD - hidden features and ONE that could get you out of trouble!"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic""}, {""video_id"": ""0KBFyZcZ_Cc"", ""title"": ""VW Golf GTD Review - after 8 years is it still any good?"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}, {""video_id"": ""PwzmaKYijOc"", ""title"": ""Volkswagen MK7 Golf GTI Buyer's Guide - Models, Engines, & Options"", ""channel"": ""FCP Euro"", ""video_type_category"": ""list_format""}]",1000,8,"[""gti"", ""mark"", ""golf"", ""car"", ""really"", ""horsepower"", ""little"", ""performance"", ""cars"", ""models""]",youtube,6,5,6,,
timing_belt_replacement_interval_confusion,confusing timing belt replacement intervals,engine,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.6_TDI"", ""2.0_TDI""]",,"Owners face confusion and expense over recommended timing belt replacement intervals, which have changed over time.","Volkswagen issued conflicting service recommendations for timing belt replacement intervals, ranging from 5 years/75k miles to 'lifetime' claims.","Replace timing belt and water pump at conservative intervals (e.g., 5-6 years or 150k miles) for long-term reliability.",high,high,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}, {""video_id"": ""ex_jlHto57E"", ""title"": ""Volkswagen’s 1.5 TSI engine: Common problems and advantages"", ""channel"": ""Dmitry Sapko"", ""video_type_category"": ""list_format""}, {""video_id"": ""0KBFyZcZ_Cc"", ""title"": ""VW Golf GTD Review - after 8 years is it still any good?"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}]",1002,4,"[""belt"", ""kilometers"", ""timing"", ""chain"", ""replace"", ""200 000"", ""000 kilometers"", ""200"", ""000"", ""miles""]",youtube,4,4,4,"[{""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3, ""pre_years"": [2014, 2017]}, {""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4, ""pre_years"": [2014, 2017]}, {""engine"": ""1.5_TSI"", ""years"": ""2014-2024"", ""evidence_hits"": 6}]",
timing_chain_stretch_tensioner_failure,timing chain stretch and tensioner failure,engine,"[""1.8_TSI"", ""2.0_TSI""]",,"Rattling noise at cold start, especially around 200,000 km, with potential for catastrophic engine failure if chain jumps timing.","Timing chain stretch and tensioner wear, allowing excessive slack; camshaft adjuster seals can leak oil, causing erratic timing adjustment.","Replace timing chain, tensioner, guides, and camshaft adjuster seals; check tensioner extension (if >5 rings visible, replace chain system).",high,high,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}, {""video_id"": ""sWr0fpQVv20"", ""title"": ""Is this a New Common MK7 Engine Issue?"", ""channel"": ""Deutsche Auto Parts"", ""video_type_category"": ""organic""}, {""video_id"": ""1PSOT7GacoA"", ""title"": ""Dead Misfire MK7 GTI, Another Shop Said Engine is TOAST"", ""channel"": ""HumbleMechanic"", ""video_type_category"": ""organic""}, {""video_id"": ""Lb2n9GpHgmk"", ""title"": ""How to Keep your GTI Running FOREVER - Reliability Mods & Tips!"", ""channel"": ""mk8Matt"", ""video_type_category"": ""organic""}]",2001,8,"[""timing chain"", ""chain stretch"", ""chain tensioner"", ""chain rattle"", ""chain guide""]",youtube,4,4,4,,
ea888_turbo_failure_pcv_rear_seal,EA888 turbo failure and PCV/seal issues,engine,"[""1.8_TSI"", ""2.0_TSI""]",2015 to 2017,"Turbocharger failure causing poor engine running, rough idle, and oil leaks from rear main seal.","Weak seal from turbo to manifold on 06K 145 702N turbo unit, combined with PCV failure leading to rear main seal oil leaks.",Replace turbo unit with improved seals and address PCV system to prevent rear main seal failure.,high,high,"[{""video_id"": ""ex_jlHto57E"", ""title"": ""Volkswagen’s 1.5 TSI engine: Common problems and advantages"", ""channel"": ""Dmitry Sapko"", ""video_type_category"": ""list_format""}, {""video_id"": ""1PSOT7GacoA"", ""title"": ""Dead Misfire MK7 GTI, Another Shop Said Engine is TOAST"", ""channel"": ""HumbleMechanic"", ""video_type_category"": ""organic""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}]",8,8,"[""failure"", ""help"", ""pedal"", ""common"", ""effect"", ""turbo"", ""unit"", ""models"", ""seal"", ""fitted""]",youtube,3,3,3,"[{""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}]",
ea888_camshaft_phaser_failure,EA888 camshaft phaser failure and timing chain wear,engine,"[""1.8_TSI"", ""2.0_TSI""]",,"Rattling noise from upper timing cover, loss of drivability and performance, with timing hunting back and forth.","Camshaft adjuster (phaser) seal leakage causing inability to hold oil pressure, often due to low oil levels in 1.8T engines.","Replace camshaft and updated spool valve, requiring full timing chain service and cam cage resealing.",high,high,"[{""video_id"": ""sWr0fpQVv20"", ""title"": ""Is this a New Common MK7 Engine Issue?"", ""channel"": ""Deutsche Auto Parts"", ""video_type_category"": ""organic""}, {""video_id"": ""1PSOT7GacoA"", ""title"": ""Dead Misfire MK7 GTI, Another Shop Said Engine is TOAST"", ""channel"": ""HumbleMechanic"", ""video_type_category"": ""organic""}, {""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format""}]",14,6,"[""timing"", ""cam"", ""going"", ""valve"", ""spring"", ""chain"", ""camshaft"", ""time"", ""chains"", ""remove""]",youtube,3,3,3,,
water_leakage_multiple_points,Multiple water ingress points causing leaks,body,[],,"Water leaks into cabin, boot, footwells, and electronics from various points including sunroof drains, door speakers, rear badge, and tail light seals.","Failed seals, clogged drainage tubes, and plastic trim cracking allowing water ingress.","Clean drainage tubes, replace seals, and repair cracked plastic trim; may require extensive diagnosis and repair.",high,high,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}, {""video_id"": ""nQ13NQhis_E"", ""title"": ""Watch This Before Buying a Volkswagen Golf MK7 2015-2021"", ""channel"": ""AutoMotivate"", ""video_type_category"": ""organic""}, {""video_id"": ""udX3VU-Haus"", ""title"": ""VW Golf GTD MK7 - LONG TERM TEST REVIEW"", ""channel"": ""Our Tim"", ""video_type_category"": ""organic""}]",33,3,"[""just"", ""golf"", ""water"", ""plastic"", ""volkswagen"", ""owners"", ""issues"", ""car"", ""driving"", ""far""]",youtube,3,3,3,,
carbon_buildup_valve_spring_failure,carbon buildup causing valve spring failure,engine,"[""1.8_TSI"", ""2.0_TSI""]",,"Flashing check engine light, rough idle, misfires, and poor running due to carbon buildup on intake valves and potential valve spring failure.","Carbon buildup on intake valves from direct injection and PCV system recirculation, leading to valve sticking and eventual valve spring breakage.",Remove intake manifold to manually clean carbon deposits every ~100k miles; replace broken valve springs and timing chains during major repairs.,high,high,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""Watch This Before Buying a Volkswagen Golf MK7 2015-2021"", ""channel"": ""AutoMotivate"", ""video_type_category"": ""organic""}, {""video_id"": ""sWr0fpQVv20"", ""title"": ""Is this a New Common MK7 Engine Issue?"", ""channel"": ""Deutsche Auto Parts"", ""video_type_category"": ""organic""}, {""video_id"": ""1PSOT7GacoA"", ""title"": ""Dead Misfire MK7 GTI, Another Shop Said Engine is TOAST"", ""channel"": ""HumbleMechanic"", ""video_type_category"": ""organic""}]",34,3,"[""cylinder"", ""going"", ""value"", ""misfire"", ""cam"", ""valve"", ""im"", ""plug"", ""intake"", ""im going""]",youtube,3,3,3,,
manual_clutch_dmf_failure,Manual clutch and DMF failure on tuned cars,gearbox,[],Mark 5 through Mark 7,"Clutch chatter at idle and low speeds, reduced service life when tuning","Factory clutch at power limit, abusive driving without downshifting, DMF failure","Uprated clutch and upgraded DMF, replace slave cylinder when transmission is dropped",high,high,"[{""video_id"": ""56T2XdwH4hU"", ""title"": ""Things I Wish I knew Before Buying a VW TDI"", ""channel"": ""Euro Driven"", ""video_type_category"": ""organic""}, {""video_id"": ""0KBFyZcZ_Cc"", ""title"": ""VW Golf GTD Review - after 8 years is it still any good?"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic""}, {""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}]",35,3,"[""transmissions"", ""mark"", ""transmission"", ""flywheel"", ""mass"", ""mass flywheel"", ""automatic"", ""replace"", ""arent"", ""clutch""]",youtube,3,3,3,,
