issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,source_videos,source,data_quality,notes
tdi_injector_failure,TDI injector failure causing misfire and rough idle,Injector failure,fuel,chronic_failure,high,high,"[""1.6_TDI""]",,,"Engine runs rough with a noticeable tapping noise and misfire, engine warning light on, glow plug light flashing.",Piezo injectors failing or circuit failure; excessive carbon buildup can cause seizure.,"Replace or repair the faulty injectors, program new calibration codes to ECU, and clean injector bore if seized.","[""Rough idle"", ""Tapping noise"", ""Flashing glow plug light""]",Check for misfire codes and listen for irregular engine idle.,3,"[{""video_id"": ""cVVvlLlMhT0"", ""title"": ""VW Golf 1.6 TDI idling rough with a tapping noise... Fault finding and repair."", ""bucket"": ""diesel_engine""}, {""video_id"": ""JHpDWA0PqS0"", ""title"": ""VW Caddy 1.6 TDI Injector replacement"", ""bucket"": ""diesel_engine""}]",youtube,medium,"Includes piezo failure, circuit failure, and seizure from carbon buildup."
water_pump_failure_diesel,Water pump failure and seal damage on TDI engines,Water pump failure,cooling,chronic_failure,medium,high,"[""1.6_TDI"", ""2.0_TDI""]",,,Coolant leak from the water pump after installation; potential coolant circulation issues or pump failure.,Electronic water pump actuator complexity; dry rotation during installation damages the mechanical seal.,Replace with modified aftermarket pump that bypasses electronic actuator if needed; pre-lubricate pump with coolant before installation to prevent seal damage.,"[""Coolant leak"", ""Overheating warning""]",Inspect for coolant leaks around the water pump and check service history for replacement.,3,"[{""video_id"": ""f05um4A3vMU"", ""title"": ""2.0 TDI Timing belt & water pump replacement - MK7 VW Golf CRBC"", ""bucket"": ""diesel_engine""}, {""video_id"": ""en_GY0HGr_0"", ""title"": ""How to replace the timing belt and the water pump Golf mk7 1.6 or 2.0 TDI 🚗"", ""bucket"": ""diesel_engine""}]",youtube,medium,Merges electronic pump failure and dry rotation seal damage.
timing_chain_stretch_cam_bridge_issues,"Timing chain stretch, tensioner failure, and cam bridge issues",Timing chain and cam bridge,engine,chronic_failure,high,high,"[""2.0_TSI""]",,,"Engine timing issues, potential for severe engine damage; oil flow restriction to variator, potential camshaft timing issues; oil leak from cam bridge area after timing chain replacement.","Chain stretch beyond specified limits (e.g., 61-64 link measurement); screen in cam bridge becomes blocked or broken; original seal design is difficult to reinstall correctly and prone to leaking.","Replace timing chain kit and tensioner, verify timing marks; replace cam bridge assembly during timing chain service; replace seal with new one during reassembly; critical to prevent rework.","[""Engine timing issues"", ""Oil leak from cam bridge""]",Check timing chain stretch measurement and inspect cam bridge for leaks or screen blockage.,1,"[{""video_id"": ""myCt1ybXVGI"", ""title"": ""How To Replace TIMING CHAIN KIT on VW Audi EA888 2.0 tfsi tsi Video Tutorial"", ""bucket"": ""petrol_engine""}]",youtube,medium,"Multiple related cam bridge issues (screen blockage, seal leak) often addressed during timing chain service."
pcv_valve_oil_ingestion,PCV valve oil ingestion and inadequate air-oil separator,PCV valve failure,engine,chronic_failure,medium,high,"[""1.4_TSI"", ""1.5_TSI""]",,,"Excessive knock correction (up to 18 degrees) during hard cornering or track use, indicating oil ingestion into the intake; oil ingestion into the intake system, particularly during dynamic driving.","Stock Mk7 PCV valve design overwhelmed during hard braking/cornering, allowing oil to bypass the air-oil separator and enter the intake manifold; Mk7 PCV valve has a small air-oil separator drain hole and a bypass valve that opens under pressure differential, allowing oil to flood the diaphragm assembly.",Retrofit Mk8 PCV valve (revision B) with a 2021 Tiguan PCV hose and cap the unused port; Mk8 PCV valve features a revised separator with a larger drain outlet and improved bypass valve material.,"[""Excessive knock correction under load"", ""Oil in intake""]","Check for oil in the intake manifold and PCV valve condition, especially if used for performance driving.",1,"[{""video_id"": ""jYdF-sOLe3I"", ""title"": ""MK7 PCV Analysis - How it works, and why I've adapted the MK8 PCV (Pt 5)"", ""bucket"": ""petrol_engine""}]",youtube,high,Issue is particularly pronounced during aggressive driving or track use.
thermostat_housing_leak,Thermostat housing prone to leaking,Thermostat leak,cooling,fluid_leak,medium,high,"[""1.8_TSI"", ""2.0_TSI""]",,,"Coolant leak from the thermostat housing area, often with sweet-smelling vapor under the hood.",,Replace thermostat housing and water pump assembly; often requires intake manifold removal for proper cleaning and installation.,"[""Coolant leak"", ""Sweet-smelling vapor under hood""]",Inspect thermostat housing area for coolant residue or leaks.,1,"[{""video_id"": ""RIVyvfEWztc"", ""title"": ""Don't Overpay for a MK7 Waterpump/Thermostat Housing and How to do it Yourself"", ""bucket"": ""petrol_engine""}]",youtube,medium,
timing_belt_short_interval,Short timing belt replacement interval on TDI,Timing belt interval,engine,wear_item,high,high,"[""2.0_TDI""]",,,Risk of belt failure if not replaced on schedule.,Manufacturer-specified 5-year replacement interval regardless of mileage.,Replace timing belt and water pump every 5 years.,"[""Age-based maintenance due""]",Check service records for timing belt replacement date; replace if over 5 years old.,1,"[{""video_id"": ""f05um4A3vMU"", ""title"": ""2.0 TDI Timing belt & water pump replacement - MK7 VW Golf CRBC"", ""bucket"": ""diesel_engine""}]",youtube,medium,
dq200_mechatronics_pump_leakage,DQ200 mechatronics internal pump leakage,DSG Pump Leak,gearbox,chronic_failure,high,high,"[""1.6_TDI""]",,,Gearbox jumps out of gear and fails to engage due to low hydraulic pressure.,Internal leakage inside the mechatronics hydraulic pump preventing pressure buildup.,Remove and repair or replace the mechatronics unit.,"[""Gear disengagement"", ""Low pressure warnings""]",Check for transmission fault codes and test drive for gear engagement issues.,1,"[{""video_id"": ""u5bAMQPC5O0"", ""title"": ""Golf DSG gearbox jumping out of gear... Fault finding and repair."", ""bucket"": ""drivetrain_cooling""}]",youtube,medium,
dq200_input_speed_sensor_mounting_failure,DQ200 input speed sensor mounting failure,Sensor Mount Break,gearbox,sensor_fault,medium,high,"[""1.6_TDI""]",,,Gearbox fault codes for input speed sensor and erratic operation.,"Sensor mounting tab broken, allowing the sensor to dislodge.",Secure sensor with a custom bracket or replacement mount.,"[""Erratic shifting"", ""Sensor fault codes""]",Inspect sensor mounting for damage or looseness.,1,"[{""video_id"": ""u5bAMQPC5O0"", ""title"": ""Golf DSG gearbox jumping out of gear... Fault finding and repair."", ""bucket"": ""drivetrain_cooling""}]",youtube,medium,
dsg_mechatronics_circuit_board_burnout,DSG mechatronics circuit board burnout,DSG Board Burnout,gearbox,chronic_failure,high,high,"[""1.2_TSI"", ""1.4_TSI""]",,,"Gear indicator flashes, transmission does not respond, and a 30A fuse for the transmission control module keeps blowing.",Sulfur content in old hydraulic oil formulation causing internal short circuits over time.,Replace mechatronics unit with a remanufactured one filled with updated oil and perform basic calibration.,"[""Flashing gear indicator"", ""Blown TCM fuses""]",Check transmission oil age and for electrical faults.,1,"[{""video_id"": ""wxauAw_AuAo"", ""title"": ""DSG Gearbox Diagnosed explained Fixed"", ""bucket"": ""drivetrain_cooling""}]",youtube,medium,
rear_axle_beam_bushing_failure,Rear axle beam bushing wear or failure,Rear Bushing Wear,suspension,wear_item,medium,high,"[""all""]",,,Excessive play or noise from the rear suspension.,Bushing material degradation or rust leading to separation.,"Replace with new bonded rubber bushings, ensuring correct orientation during installation.","[""Rear clunking"", ""Loose handling""]","Check rear axle bushings for cracks, separation, or excessive movement.",1,"[{""video_id"": ""RllGdT3GIhc"", ""title"": ""Let’s Fix The Volkswagen Part 9:  Rear Axle Beam Bushings"", ""bucket"": ""drivetrain_cooling""}]",youtube,medium,
