issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count
rear_visibility_limited,Limited rear visibility due to thick pillars and small windows,Poor rear visibility,body,structural,medium,high,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]",2013-2016,,"Reduced view over the shoulder due to thick rear pillars and small rear side windows, making exiting junctions or parking tricky.",Vehicle design with thick C-pillars and limited glass area.,"Use mirrors carefully, consider aftermarket blind-spot mirrors.","[""Difficulty seeing over shoulder"", ""Large blind spots""]","Check visibility during test drive, especially over-the-shoulder checks.",3,2,"[{""video_id"": ""U_X59Q2rvUU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""xCj4akEF9KE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""vFVYN8VBBYk"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,high,Merged from 'Small rear side windows' and 'Seriously limited rear visibility' and 'Poor rear visibility and blind spots' issues.,3
excessive_cabin_noise,"Excessive road, engine, and wind noise in cabin",High cabin noise,body,noise,low,high,"[""0.9_TCE"", ""1.5_DCI""]",2018,,"Excessive road, engine, and wind noise at motorway speeds, making the cabin tiring on long journeys.",Insufficient sound insulation and aerodynamics or sealing issues.,Add aftermarket sound deadening materials.,"[""Loud road/engine noise at speed"", ""High wind noise on highway""]",Test drive at highway speeds to assess cabin noise levels.,2,2,"[{""video_id"": ""Cf7MDFX--NE"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}, {""video_id"": ""iDjfgnk3iZI"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,Merged wind noise and general cabin noise issues.,2
rear_visibility_limited,Limited rear visibility due to thick pillars and small windows,Poor rear visibility,body,structural,medium,high,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]",2013-2016,,"Reduced view over the shoulder due to thick rear pillars and small rear side windows, making exiting junctions or parking tricky.",Vehicle design with thick C-pillars and limited glass area.,"Use mirrors carefully, consider aftermarket blind-spot mirrors.","[""Difficulty seeing over shoulder"", ""Large blind spots""]","Check visibility during test drive, especially over-the-shoulder checks.",2,1,"[{""video_id"": ""U_X59Q2rvUU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""xCj4akEF9KE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,high,Merged from 'Small rear side windows' and 'Seriously limited rear visibility' issues.,2
timing_chain_failure,"Timing chain stretch, tensioner failure, or jump",Timing chain failure,engine,chronic_failure,high,medium,"[""H4BT"", ""0.9_TCE""]",,,Engine locks up due to timing chain failure causing piston-to-valve contact. Issues with chain stretch or tensioners can occur.,"Timing chain stretch, tensioner failure, or chain jump.",Replace timing chain and tensioner assembly.,"[""Timing chain rattle"", ""Engine misfire"", ""Check engine light""]",Listen for timing chain rattle at cold start. Check service history for chain replacement.,2,1,"[{""video_id"": ""Evdq4T0IGLw"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}, {""video_id"": ""JbrHwdpO98U"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}]",youtube,medium,Reported on H4BT/0.9 TCE engine. Less frequent than some other engines but can cause catastrophic failure.,2
timing_chain_failure,"Timing chain stretch, tensioner failure, or jump",Timing chain failure,engine,chronic_failure,high,medium,"[""H4BT"", ""0.9_TCE""]",,,Engine locks up due to timing chain failure causing piston-to-valve contact. Issues with chain stretch or tensioners can occur.,"Timing chain stretch, tensioner failure, or chain jump.",Replace timing chain and tensioner assembly.,"[""Timing chain rattle"", ""Engine misfire"", ""Check engine light""]",Listen for timing chain rattle at cold start. Check service history for chain replacement.,2,1,"[{""video_id"": ""Evdq4T0IGLw"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}, {""video_id"": ""JbrHwdpO98U"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}]",youtube,medium,Reported on H4BT/0.9 TCE engine. Less frequent than some other engines but can cause catastrophic failure.,2
cooling_system_leaks,Coolant distribution unit or water pump leak,Coolant leak,cooling,fluid_leak,medium,medium,"[""0.9_TCE"", ""1.2_NA""]",,,"Coolant leaks from the distribution unit ports or water pump, indicated by pink crystallization.",,,"[""Visible coolant leak"", ""Low coolant level"", ""Pink crystallization around pump""]",Inspect coolant distribution unit and water pump area for leaks or pink residue.,2,1,"[{""video_id"": ""JbrHwdpO98U"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}, {""video_id"": ""T7M_G2OXHHg"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}]",youtube,medium,,2
interior_wear_rattles,Interior wears poorly and rattles,Interior wear,body,wear_item,medium,high,"[""all""]",,,"The interior doesn't wear too well, with the steering wheel, gear knob and gear gaiter being common areas, and it rattles quite a bit.",Material degradation and poor build quality,"Replace worn components (steering wheel, gear knob) and address rattles with insulation or tightening","[""Steering wheel degradation"", ""Gear knob wear"", ""Persistent interior rattles""]",Check steering wheel and gear knob for excessive wear. Test drive on rough roads for rattles.,2,1,"[{""video_id"": ""c79QiRXOc6A"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format""}, {""video_id"": ""SZu5aUtBA-E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}]",youtube,medium,Steering wheel degradation specifically mentioned as rapid.,2
exhaust_system_short_lifespan,Exhaust system and rubbers fail early,Exhaust failure,exhaust,chronic_failure,medium,high,"[""all""]",,,Standard exhaust system has a short lifespan (4-6 years) and exhaust rubbers commonly fail.,Corrosion and poor-quality rubber materials,Replace exhaust system components and upgrade exhaust rubbers,"[""Exhaust noise"", ""Visible corrosion"", ""Sagging exhaust""]","Inspect exhaust for rust, especially at joints and silencers. Check rubber hangers for cracking.",2,1,"[{""video_id"": ""c79QiRXOc6A"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format""}, {""video_id"": ""SZu5aUtBA-E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}]",youtube,medium,Combines exhaust system and rubber failures as related exhaust issues.,2
interior_wear_rattles,Interior wears poorly and rattles,Interior wear,body,wear_item,medium,high,"[""all""]",,,"The interior doesn't wear too well, with the steering wheel, gear knob and gear gaiter being common areas, and it rattles quite a bit.",Material degradation and poor build quality,"Replace worn components (steering wheel, gear knob) and address rattles with insulation or tightening","[""Steering wheel degradation"", ""Gear knob wear"", ""Persistent interior rattles""]",Check steering wheel and gear knob for excessive wear. Test drive on rough roads for rattles.,2,1,"[{""video_id"": ""c79QiRXOc6A"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format""}, {""video_id"": ""SZu5aUtBA-E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}]",youtube,medium,Steering wheel degradation specifically mentioned as rapid.,2
exhaust_system_short_lifespan,Exhaust system and rubbers fail early,Exhaust failure,exhaust,chronic_failure,medium,high,"[""all""]",,,Standard exhaust system has a short lifespan (4-6 years) and exhaust rubbers commonly fail.,Corrosion and poor-quality rubber materials,Replace exhaust system components and upgrade exhaust rubbers,"[""Exhaust noise"", ""Visible corrosion"", ""Sagging exhaust""]","Inspect exhaust for rust, especially at joints and silencers. Check rubber hangers for cracking.",2,1,"[{""video_id"": ""c79QiRXOc6A"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format""}, {""video_id"": ""SZu5aUtBA-E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}]",youtube,medium,Combines exhaust system and rubber failures as related exhaust issues.,2
