topic,terms_frex,prevalence,prevalence_tech,technical_signal,chronic_signal,min_km,max_km,avg_km,representative_text,prevalence_blended,prevalence_pct,mileage_range
1,"philips, 4300k, vision, osram_xenarc_original_d3s, ampullerle, far_ayari_yaptirmaniz, h11, far_ayari, osram, 6000k",0.04925541113122371,0.04051509202939163,1.3055519161098241,0.6225457326067358,10000,90000,19000,"[...mediada cikmiyor ise en basiti vagcom cihazi baglanip arizanin nereden geldigi tespit edilebilir... yada servise... mediada cikmiyor ise en basiti vagcom cihazi baglanip arizanin nereden geldigi tespit edilebilir... yada servise... bujilerden birisi olabilir... yakit aldi isen sulu olabilir... eve v...] | [...golf 7 1.2tsi arac sahibiyim. rampada geri geri gitmeye calisirken arac ileriye dogru kaciriyoe kendim kavrama yapip geriye cikiyorum. is yerimin onu dolayisiyla rampaya park ediyorum geri geri gitmeye calisirken one kaciriyor 9 seneden sonra ara ara surekli basima geldi vw servisi sorun yok diyor 9...] | [...2016 1,6tdi 73b dsg 2016 1,6tdi 73b dsg dun yaklasik 1 saat kadar trafikte dur kalk yaptim trafigin son kismi ciddi manada egimli yokus bir yerde oldu, yokusa gelmeden once hicbir sorun kacirma titreme vs yoktu. yokus basladi ve arkamdaki arac cok dibime girdi normalde hold kullanmiyorum ve ayagimi ...]",0.04532226753539928,4.5,10000 - 90000 km
2,"takoz, amortisor, amortisor_rulmanini, cevirirken, lemforder, yaylari, fag, 1500-2000, 318203, 35mm",0.045293423968005696,0.04945989742148127,1.967743006159691,0.8516702397082796,4000,127200,73000,[...merhaba arkadaslar. 2013 model 1.2 tsi manuel comfortline araca sahibim.videodaki su kacagi yuzunden ustaya goturmustum araci su termostatini degistirmisti. ancak 2 ay sonra farkettim ki aracda su bitmisti. yine ayni sorun ayni yerde devam ediyor. baska bir ustaya goturdum. termostatin degistigini s...] | [...aracim 2014 model 69.000km’de 1.6 tdi manuel ve birkac aydir devam eden bir sorunum var. arac rolantide veyahut hareket halindeyken bile gaza bastigimda 2200-2500 devir araliginda trim ses geliyor. 3000 devirde ayagimi gazdan kestigimde devir saati yine 2500 bandina dustugunde o ses geliyor. sanki a...] | [...merhaba yakin zamanda 2013 model golf 1.4 tsi dsg 165.000 km arac aldim fakat aldigimdan bu yana sorun bitmiyor suan arac d de hareket etmeye basladigi an 2 kmh geldiginde vitesi 2 ye atiyor ve  2 viteste de araci zor kaldiriyor  bir cok yeri arastirdik denilen sey 1. vites araci hareket ettirmek ic...],0.047168337022069705,4.7,4000 - 127000 km
3,"capaklanma, bituself, p00af00, tesbih, enjektor, fiskiye, silecegi, swf, enjektorler, zannederim",0.05838303786583939,0.05795742509363257,1.632119148684986,0.8025136712920655,5000,113200.00000000003,50000,[...arabada rolantide lambur lumbur ses gelmeye basladi ustaya baktirdim sarj dinamosu kasnagi kitlemis dedi. bu parca boyle sakir sukur ses yaparmi. basina gelen oldumu arabada rolantide lambur lumbur ses gelmeye basladi ustaya baktirdim sarj dinamosu kasnagi kitlemis dedi. bu parca boyle sakir sukur s...] | [...merhabalar 2015 model golf 7 tdi bluemotion comfortline aracimda dun sabah devir saatindeki teklemeyi farkettim. arac bosta gaz verip ayaginizi gazdan cekindice ozelikle 1200-1300 den gibi devirde duserken titreme yapiyor kadran. boyle bir sorun yasayan oldumu daha once neden olur acaba bilgisi olan...] | [...hocam arac yili ve motorun genisten cekilmis resmini paylasirsaniz yardimci olmaya calisalim. hocam arac yili ve motorun genisten cekilmis resmini paylasirsaniz yardimci olmaya calisalim. ciddi bir yag kacagi gibi duruyor. bakimda yag doldururken dokulmus olamaz cunku yag eski sanzimanda yag kacagi ...],0.05819151211834633,5.8,5000 - 113000 km
4,"lcd, demirde, kemikli, logolari, nem, mib, buhulu, cokmesi, fasilali, getvay",0.05529489338030465,0.04778456944253687,1.383028325145255,0.6625220386340257,4800.000000000001,114400.00000000003,54000,"[...oncelikle herkese merhabalar,iyi gunler.son 15 gundur arabanin ici garip bir sekilde bugu yapiyor.klimayi cama verince kesiliyor,ancak normal auto'ya cekince tekrardan hizli ve fazla sekilde bugu yapiyor.ayni zamanda acayip kotu koku ve nem yapiyor.ilk basta yikamadan sonra paspaslari islak biraktil...] | [...selamlar, aracim 250 bin km'de 1.6 tdi clh kodlu motora sahip. asagidaki videoyu uzun zaman once yuklemistim fakat son zamanlarda inanilmaz artan sikayetim mevcuttu. her mars bastigimda silindirlerin icerisi su doldugu icin motor mars basamayip kitliyordu, her gun sogutma kabina su eklemek zorunda k...] | [...selamlar degerli arkadaslar. golf 2016 1.2 tsi dsg aracim 125 bin km de. aracimdan kis lastikleri takiliyken 80-90 km hizda rahatsiz edici ugultu sesi gelmeye basladi. lastikten veya porye bilyasindan gelebilecegi dusuncesiyle iki ustaya gosterdim ama bilyadan olmadigini soylediler. yaz lastiklerini...]",0.05191524760830915,5.2,5000 - 114000 km
5,"far, led, aydinlatmasindan, farlardan, kapanmadi, afs, uzunlari, ledleri, farda, halojen",0.1009370527493313,0.07558126787330172,1.000215447268839,0.6077064869318435,4600.000000000002,94000.00000000006,26000,"[...bugun basima geldi misafirimiz vardi yolcu edecektik hali ile valizler esya cok otogara kadar her neyse araci yukledim otagara geldigimizde bagaji acmaya calistim ses geliyor acilmiyor.... bugun basima geldi misafirimiz vardi yolcu edecektik hali ile valizler esya cok otogara kadar her neyse araci y...] | [...hafta sonu kirklareli igneada yolunda ilerlerken (bol viraj ve yokuslu bir yol) 5 dakika mola verdim. akabinde araca binip tekrar calistirdigimda, arac titresimli bir sekilde calismaya basladi ve ekranda start stop hatasi verdi. gecici bir hata oldugunu dusundum ve start stopu iptal edip yola devam ...] | [...dun yeni lastiklere gectim, balans yaptilar. sonrasinda rot yaptirdim. arac saga cekmeye devam ediyordu. bugun baska bir yere rot, balans yaptirdim. onlarda ilk gittigim yerin arka rotlara bakmadigini, halledeceklerini belirttiler. ugrastilar yaptilar. ancak sorun yine cozulmedi. dun yeni lastiklere...]",0.089526949555118,9,5000 - 94000 km
6,"yurumuyor, c28, bara, follow, tupten, tupu, guclendirilmis, mekatronik, plate, tupun",0.05251692848993262,0.05802905260956614,1.6792573465144842,0.9850063946982067,4200.000000000001,108000.00000000004,27500,"[...merhabalar. yaklasik 1 hafta once 1.6 tdi aracimda hafif sarsinti olmaya basladi. ben once soguk havadan oldugunu dusunup cok onemsemedim. sonra baktim motor sicakken de isiklarda bekledigimde dengesiz bir sarsinti yapiyordu. her zaman yapmiyordu ama yaptiginda da can sikiyordu. daha sonra evin onun...] | [...1.2 tsi aracimin v kayisinin etrafina sicrayan ,bir yag serpilmesi soz konusu. 1.2 tsi aracimin v kayisinin etrafina sicrayan ,bir yag serpilmesi soz konusu. krank kasnagi ve klima komp. kasnaginin cevresine dondukce sicramis yag tanecikleri var. gecen hafta servise gosterdim birlikte lift ile kaldi...] | [...golf 7 1.4 tsi act bmt dsg 2015 model aracimin 120.000 km agir bakimlarini yaptirmaya gitmisken kavramadan da ses geldigini farkedip onun da degismesi icin gerekli islemlere baslamistim. ustamin ""bu kadar acmisken volani da degistirelim mi?"" demesinden sonra gerekli ise bakalim abi en azindan bir fi...]",0.054997384343767705,5.5,4000 - 108000 km
7,"tipa, fat32, tipalar, byte, tipayi, menfez, logo, bijon, g40, genisligi",0.05170191338072341,0.04568578158129319,1.3066898113379275,0.7567111727828502,5000,103600.00000000003,30000,[...henuz yeni obdeleven cihazi aldim ve golf7 aracima bagladim. hatalari tarattigimda asagidaki hata kodu cikiyor. hatalari silip tekrar tarattigimda yine ayni hata kodunu aliyorum. araci 2. el olarak aldim ve hicbir gizli ozelligini henuz acmadim. bu hata kodu hakkinda yardimci olabilir misiniz bana? ...] | [...arkadaslar selamlar. 1.2 tsi 2016 golfum var. aracim kisa mesafe gittikten sonra stop edip tekrar calistiginda motor isigi yanip yanip sonuyor gaza bastigimda motor titriyor start-stop hatasi veriyor. bir sure bekledikten sonra o motor isigi kendi kendine sonuyor titreme sorunu ortadan kalkiyor en s...] | [...dun bir sorun fark ettim gecen sene 3.stop lambasini frene basinca yanip sonen cakar dedikleri seyden yaptirdim sorun yoktu gecenlerde fark ettim 2 tane ledi patlamis gittim atolye semihte yaptirdim zar zor yapti orda isten pek anlamayan bir calisan vardi zaten trim isciliginden belliydi hic kibar d...],0.04899465407097982,4.9,5000 - 104000 km
8,"regen, polisaj, dpf'in, rejenerasyon, rejenerasyona, partikul, oil_ash, dpf_temizligi, dpf, dpfi",0.041118862727178754,0.03885257395655268,1.5474219071317157,0.7588717854936319,6600.000000000001,120000,82500,"[...merhaba 1.6 tdi golf 7 aracim 1000 devirde calisiyordu rejenerasyona girmis bende kenara cektim kendi kendine temizlemesini bekledim zamanim da vardi 45 dk falan araba rolanti de calisti.sonra devir dustu bende stop ettim.5 dk sonra calistirip yola ciktim tekrar 1000 devirde calismaya basladi sonra ...] | [...2014 model 1.6 tdi midline plus manuel  aracimda sanziman tarafinda ozellikle sola donuslerde surtme sesi gibi bir ses geliyordu. 14.06.2021 pazartesi gunu servisten randevu alarak konya gokmen otomotiv'e  araci teslim ettim. az once servis danismanim aradi ve difransiyel bilyasi, keceleri contalari...] | [...arkadaslar merhava aracim 1.6 tdi dsg golf 7.araci calistiriyorsun normal seyahatini yapiyorsun 15 20 km. sonra park edip stop ediyorsun. 15 dk sonra bi daha calistirip devam ediyorsun.iste tam bu esnada arac calisir halde durup frene  bastiginda bir titreme basliyor gaza bastin mi duruyor az ilerde...]",0.04009903278039702,4,7000 - 120000 km
9,"tikirt, pla, kararan, aktivasyonu, beyinli, flac, isiklardan, kararan_dikiz_aynasi_montaji, karsilasan_oldumu, kimiside",0.05644684555466469,0.05143976192682156,1.4681392652270062,0.7386032380555458,3000,106400.00000000003,27250,"[...golf 7 aracimda tumseklerden gecerken on takimdan gelen gicirti sesleri mevcut ve sanirim artik cozumunun ne oldugu herkesce bilinen bir sorun. ustama da gosterdigimde salincak burclarinin degismesi gerektigini soyledi. asil sorum su ki daha once burclari degistiren arkadaslar hangi markayla degisti...] | [...herkese selamlar. benim aracimda kontagi actigimda ve calistirdigimda fotografta gordugunuz lambalar yanik kaliyor. az ilerledigimde abs sonuyor kirmizi fren lambasi yanmaya devam ediyor. bir sure sonra o da sonebiliyor bazen, yada az ilerleyip kontak kapa ac yaptigimda hepsi sonuyor bidaha yanmiyor...] | [...arkadaslar arac yavas giderken bi vuruntu sesi geliyor hizlaninca ya ses kesiliyor yada ben duymuyorum.lastige vida girmis ondan saniyordum simdi lastikciye geldim bi baktim balata buyuk ihtimal bitmis ondan dolayi ses geliyor olabilir mi ? arkadaslar arac yavas giderken bi vuruntu sesi geliyor hizl...]",0.054193657922135284,5.4,3000 - 106000 km
10,"hths, mekatronik_unite, cst, derecedeki, poe, motul, 10w60, ios, castrol, sentetik",0.040979302030893595,0.03961663641650546,1.7334760539573966,0.6836547016259327,5400.000000000002,155800.00000000003,104775,"[...herkese iyi forumlar abilerim kardeslerim aracim golf 7 dizel 163 binde aracin sorununu bastan sona anlatayim oncelikle araci alali 2.5 ay falan oldu. onceki sahibi partikul ve egr iptali yapmis ancak partikulu ne sokmus ne de temizletmis full dolu tahminimizce. 1 hafta once yakit ve performans icin...] | [...iyi forumlar herkese. 2016 model 1.2 tsi bluemotion golf 7 aracim, 1. vitesi neredeyse hic tercih etmiyor. neredeyse kalkisi 2. viteste yapacak, bu yuzden hem arac cok zorlaniyor  hem de yakit tuketimi cok yukseliyor dusuk hacim nedeniyle. baska bir forumda gordugum dsg resetleme ile ilgili bahsedil...] | [...merhaba arkadaslar aracim golf 7 2013 1.2 tsi midline plus 160 bin km de araci alali 6 ay oldu ancak neredeyse her ay araca yag koyuyoruz 1 litre yag 1 ay gidiyor arac daha once de ayni sorunla servise girmis yapilan islemler fayda etmemis demekki hala devam ediyor volkswagen servisine gosterdigimiz...]",0.04036610250441894,4,5000 - 156000 km
