issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count
wiper_motor_failure,Front and rear wiper motor failure or sticking,Wiper motor failure,electrical,chronic_failure,medium,high,"[""all""]",,,Wipers stop working or stick mid-screen due to faulty motor or perished wiring.,Faulty motor or perished wiring,Replace wiper motor or repair wiring,"[""Wipers moving slowly"", ""Intermittent operation""]",Test wipers at all speeds and check for smooth operation.,3,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""VQ3YHsEDV7I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Mentioned for both general models and specific 2.0L engines; consolidated as a common issue. Includes linkage seizure as a related failure mode.,3
wiper_motor_failure,Front and rear wiper motor failure or sticking,Wiper motor failure,electrical,chronic_failure,medium,high,"[""all""]",,,Wipers stop working or stick mid-screen due to faulty motor or perished wiring.,Faulty motor or perished wiring,Replace wiper motor or repair wiring,"[""Wipers moving slowly"", ""Intermittent operation""]",Test wipers at all speeds and check for smooth operation.,2,2,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Renault Clio Buyer's Guide - Common Problems"", ""channel"": ""Car Buyer's Tips"", ""video_type_category"": ""list_format""}, {""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Mentioned for both general models and specific 2.0L engines; consolidated as a common issue.,2
scuttle_panel_drain_blockage,Scuttle panel drain channels block causing water ingress,Scuttle drain blockage,body,chronic_failure,medium,high,"[""1.2_16V"", ""1.2_TCE"", ""1.4_16V"", ""1.5_DCI"", ""1.6_16V"", ""2.0_16V"", ""2.0_RS""]",2006,,"Water accumulates in the scuttle panel area, leading to component corrosion and potential interior leaks.",Blockage of drain channels by leaves and debris.,Regularly clean scuttle panel drains to prevent water buildup.,"[""Water sloshing sounds behind dashboard"", ""Damp footwells""]",Check scuttle area under windshield for debris and ensure drains are clear.,2,1,"[{""video_id"": ""VQ3YHsEDV7I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Can lead to water ingress into interior and electrical issues. Often related to interior water leak.,2
rear_wheel_bearing_wear,Rear wheel bearing wear,Rear bearing wear,suspension,wear_item,medium,high,"[""2.0_16V"", ""2.0_RS""]",,,"Rear wheel bearings wear out, creating a rumbling noise like roller skates on concrete.",Normal wear or contamination leading to bearing failure.,Replace the affected wheel bearing assembly.,"[""Rumbling or humming noise from rear"", ""Noise changes with speed""]",Lift rear and spin wheels by hand to feel for roughness or listen for noise.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,A common wear item on higher mileage cars.,1
water_ingress_boot,Water ingress in boot/trunk,Boot water leak,body,chronic_failure,medium,high,"[""2.0_16V"", ""2.0_RS""]",,,"Water leaks into the boot, often due to degraded rubber bungs.",Degraded or missing rubber seals/bungs around boot lid or rear lights.,Inspect and replace damaged rubber seals or bungs.,"[""Damp carpet in boot"", ""Musty smell"", ""Water pooling in spare wheel well""]",Check boot carpet and spare wheel well for moisture or signs of rust.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Common in older examples; can promote rust.,1
water_ingress_body,Water ingress in boot and interior from degraded seals,Body water leaks,body,chronic_failure,medium,high,"[""2.0_16V"", ""2.0_RS""]",,,"Water leaks into the boot or interior carpets, often due to degraded seals or blocked drains.","Degraded or missing rubber seals/bungs around boot lid, rear lights, or doors; blocked scuttle drains.",Inspect and replace damaged rubber seals or bungs; clear scuttle drains.,"[""Damp carpet in boot or footwells"", ""Musty smell"", ""Water pooling in spare wheel well"", ""Condensation on windows""]","Check boot carpet, spare wheel well, and interior footwells for moisture. Inspect door and boot seals for integrity.",1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Common in older examples; can promote rust. Boot and interior leaks are related sealing issues.,1
rear_wheel_bearing_wear,Rear wheel bearing wear,Rear bearing wear,suspension,wear_item,medium,high,"[""2.0_16V"", ""2.0_RS""]",,,"Rear wheel bearings wear out, creating a rumbling noise like roller skates on concrete.",Normal wear or contamination leading to bearing failure.,Replace the affected wheel bearing assembly.,"[""Rumbling or humming noise from rear"", ""Noise changes with speed""]",Lift rear and spin wheels by hand to feel for roughness or listen for noise.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,A common wear item on higher mileage cars.,1
diesel_exhaust_issues,EGR valve sooting and DPF clogging on diesel,Diesel exhaust issues,exhaust,chronic_failure,high,high,"[""1.5_DCI""]",,,"Reduced engine performance, warning lights, or rough running due to EGR valve clogging with soot or DPF clogging from short trips.",Soot accumulation in EGR valve; insufficient exhaust temperature for DPF regeneration.,Clean or replace EGR valve; forced regeneration or DPF replacement.,"[""Reduced power"", ""Check engine light"", ""Rough idle"", ""DPF warning light"", ""Increased fuel consumption""]",Check for EGR valve fault codes and soot buildup; check DPF condition and regeneration history.,1,1,"[{""video_id"": ""U_X59Q2rvUU"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,EGR and DPF issues are related chronic failures on the diesel engine.,1
diesel_exhaust_issues,EGR and DPF clogging on diesel engines,Diesel exhaust clogging,exhaust,chronic_failure,high,high,"[""1.5_DCI""]",,,"Reduced engine performance, warning lights, rough running, or frequent regeneration cycles due to soot accumulation in EGR valve and DPF clogging from short trips.",Soot accumulation in EGR valve; insufficient exhaust temperature for DPF regeneration.,Clean or replace EGR valve; forced regeneration or DPF replacement.,"[""Reduced power"", ""Check engine light"", ""Rough idle"", ""DPF warning light"", ""Increased fuel consumption""]",Check for EGR valve fault codes and soot buildup; check DPF condition and regeneration history.,1,1,"[{""video_id"": ""U_X59Q2rvUU"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,Combined EGR and DPF issues common in diesel engines with short-trip usage.,1
electrical_interior_quirks,Sat nav remote dependency and non-standard AUX input,Electrical quirks,electrical,other,low,high,"[""1.2_16V""]",,,Integrated TomTom sat nav unusable without proprietary remote; uncommon left/right dual-input aux port instead of standard 3.5mm jack.,Design dependency on proprietary remote; design choice for audio input.,Replace remote batteries or use alternative navigation; use adapter cable.,"[""Sat nav unresponsive to touch"", ""Cannot connect standard audio devices""]",Check sat nav remote functionality; check audio input ports.,1,1,"[{""video_id"": ""uUlBjQzdGuM"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,Combined sat nav and AUX input issues from same source.,1
sat_nav_remote_dependency,Sat nav requires proprietary remote,Sat nav remote,electrical,other,low,high,"[""1.2_16V""]",,,The integrated TomTom sat nav is unusable if the proprietary remote control runs out of battery.,Design dependency on proprietary remote,Replace remote batteries or use alternative navigation,"[""Sat nav unresponsive to touch""]",Check sat nav remote functionality,1,1,"[{""video_id"": ""uUlBjQzdGuM"", ""title"": """", ""channel"": """", ""video_type_category"": ""organic""}]",youtube,medium,,1
