issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count
touch_controls_unresponsive_unlit,"Erratic, unresponsive, or unlit touch controls",Touch control issues,electrical,intermittent_fault,medium,high,"[""1.0_ETSI"", ""1.0_TSI"", ""1.4_EHYBRID"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]",2019,,"Touch pads for climate control and heated seats are unresponsive or hard to operate while driving. At night, the driver cannot see the touch-sensitive climate/volume controls to operate them. Includes accidental presses from overly sensitive capacitive/haptic buttons.",Overly sensitive touch controls and design oversight,"Software adjustment, careful handling, or use of memory/external light","[""Difficulty operating controls while driving"", ""Controls not illuminated at night"", ""Unintended setting changes during steering""]","Test all touch controls during day and night driving conditions, including during cornering.",6,1,"[{""video_id"": ""nFsGTPz5800"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""A2gnwh7qYCk"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""P9DleUljRjA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""oQp9KxVqiuQ"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""RYZDp94LG80"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""rNMHOg3SPog"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,high,"Merged 'touch_controls_unresponsive', 'capacitive_controls_malfunction', 'climate_controls_unlit', and 'touch_interface_ergonomics'. Issue includes responsiveness, visibility, accidental activation, and ergonomics.",6
infotainment_system_performance,"Infotainment system lag, blackout, and slow startup",Infotainment lag/blackout,electrical,intermittent_fault,medium,high,"[""1.0_ETSI"", ""1.0_TSI"", ""1.4_EHYBRID"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]",,,"The center screen may be slow, unresponsive, lag after startup, or black out/reboot during a drive, often requiring a firmware update.",Software/firmware issues,Firmware update,"[""Slow response on startup"", ""Screen freezing"", ""Unexpected reboots""]",Test infotainment responsiveness and check for software version during a test drive.,4,1,"[{""video_id"": ""zWCiJW8C63U"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""oQp9KxVqiuQ"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""RYZDp94LG80"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""P9DleUljRjA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,high,"Merged from multiple reports of infotainment lag, blackout, and slow startup.",4
infotainment_ui_complexity,Overly complex touchscreen infotainment interface,Complex infotainment,electrical,other,medium,high,"[""1.0_ETSI"", ""1.0_TSI"", ""1.4_EHYBRID"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]",,,"The driver finds the touchscreen system infuriating and difficult to use while driving, requiring multiple steps for basic functions like climate control. Voice commands may be unreliable.",Design choice for minimalist interior,Adaptation or aftermarket solutions,"[""Frustration accessing climate controls"", ""Distraction while driving""]","Spend time navigating menus, especially climate settings, during a test drive.",4,1,"[{""video_id"": ""nFsGTPz5800"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""A2gnwh7qYCk"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""rNMHOg3SPog"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""P9DleUljRjA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,high,Merged with 'voice_command_unreliable' as part of overall HMI frustration. Expanded affected engines based on design commonality.,4
infotainment_ui_complexity,Overly complex touchscreen infotainment interface,Complex infotainment,electrical,other,medium,high,"[""1.0_ETSI"", ""1.0_TSI"", ""1.4_EHYBRID"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]",,,"The driver finds the touchscreen system infuriating and difficult to use while driving, requiring multiple steps for basic functions like climate control. The infotainment screen is also laggy or unresponsive.",,,"[""Frustration accessing climate controls"", ""Distraction while driving"", ""Screen lag"", ""Unresponsive touch controls""]","Spend time navigating menus, especially climate settings, and test all infotainment functions thoroughly during a test drive.",3,2,"[{""video_id"": ""nFsGTPz5800"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""A2gnwh7qYCk"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""EryhYgmqNAk"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,high,Merged with 'voice_command_unreliable' as part of overall HMI frustration and 'infotainment_screen_failure' for lag/unresponsiveness.,3
touch_controls_unresponsive,Erratic or unresponsive touch-sensitive climate controls,Unresponsive touch controls,electrical,intermittent_fault,medium,high,"[""1.0_ETSI"", ""1.0_TSI"", ""1.4_EHYBRID"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]",2019,,"Touch pads for climate control and heated seats are unresponsive or hard to operate while driving. At night, the driver cannot see the touch-sensitive climate/volume controls to operate them.",,,"[""Difficulty operating controls while driving"", ""Controls not illuminated at night""]",Test all touch controls during day and night driving conditions.,3,1,"[{""video_id"": ""nFsGTPz5800"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""A2gnwh7qYCk"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""P9DleUljRjA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,high,Merged 'touch_controls_unlit_night' and 'touch_controls_unresponsive'. Issue includes both responsiveness and visibility.,3
suspension_issues,"Suspension knocks, groans, and harsh ride",Suspension issues,suspension,noise,medium,high,"[""1.0_ETSI"", ""1.0_TSI"", ""1.4_EHYBRID"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]",2021 and 2022,,"Noises, knocks, or groans from the front suspension, especially as mileage increases. On base models with torsion beam rear suspension, the rear of the car thumps and clatters heavily over transverse road ridges or repairs.",Torsion beam rear suspension design,Consider models with independent rear suspension if ride comfort is a priority.,"[""Knocking sounds from front"", ""Groaning over bumps"", ""Excessive noise from rear over bumps"", ""Jarring impacts""]","Listen for suspension noises during a test drive over varied surfaces. Drive over uneven surfaces, speed bumps, and repaired road sections to assess rear suspension comfort.",2,2,"[{""video_id"": ""P9DleUljRjA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""EryhYgmqNAk"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,high,Merged 'early_suspension_knocks' and 'torsion_beam_ride_quality' as related suspension comfort and noise issues.,2
dsg_jerky_low_speed,DSG gearbox jerky at low speed,Jerky DSG,gearbox,chronic_failure,medium,medium,"[""1.0_ETSI"", ""1.0_TSI"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]",2019,,The automatic DSG gearbox feels jerky and unrefined during low-speed maneuvering.,,,"[""Rough shifts in parking lots or traffic""]",Test drive in stop-and-go traffic to assess low-speed behavior.,2,1,"[{""video_id"": ""A2gnwh7qYCk"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""P9DleUljRjA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Merged with 'clutch_pedal_action' as related drivetrain refinement issue. Focus kept on DSG behavior.,2
dsg_jerky_low_speed,DSG gearbox jerky at low speed,Jerky DSG,gearbox,chronic_failure,medium,medium,"[""1.0_ETSI"", ""1.0_TSI"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]",2019,,The automatic DSG gearbox feels jerky and unrefined during low-speed maneuvering.,,,"[""Rough shifts in parking lots or traffic""]",Test drive in stop-and-go traffic to assess low-speed behavior.,2,1,"[{""video_id"": ""A2gnwh7qYCk"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""P9DleUljRjA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Merged with 'clutch_pedal_action' as related drivetrain refinement issue. Focus kept on DSG behavior.,2
electrical_system_faults,Multiple electrical system faults,Electrical faults,electrical,intermittent_fault,medium,medium,"[""2.0_TSI""]",,,"Infotainment system malfunction, travel assist errors, and steering wheel issues reported.",,,"[""Travel assist warning message"", ""System deactivation"", ""Flashing screens"", ""Erratic behavior""]",Check for any driver assistance or infotainment system fault codes.,2,1,"[{""video_id"": ""2cfJPerhPss"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic""}, {""video_id"": ""B573CeuGMhM"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None""}]",youtube,medium,"Includes infotainment malfunction, travel assist errors, and steering wheel issues. Some reports are anecdotal from online forums.",2
torsion_beam_ride_quality,Harsh ride with torsion beam rear suspension,Harsh ride,suspension,structural,medium,high,"[""1.0_ETSI"", ""1.0_TSI"", ""1.4_EHYBRID"", ""1.5_ETSI"", ""1.5_TSI"", ""2.0_TDI"", ""2.0_TSI""]",,,"On base models with torsion beam rear suspension, the rear of the car thumps and clatters heavily over transverse road ridges or repairs.",Torsion beam rear suspension design,Consider models with independent rear suspension if ride comfort is a priority.,"[""Excessive noise from rear over bumps"", ""Jarring impacts""]","Drive over uneven surfaces, speed bumps, and repaired road sections to assess rear suspension comfort.",1,1,"[{""video_id"": ""P9DleUljRjA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,high,,1
