doc_name,thread_name,thread_url,dominant_topic,topic_gamma,engine_spec,prod_year,engine_group,mileage_miles,mileage_confidence,technical_bucket,chronic_score,n_messages,gamma_vector
doc_00004,GTI Review and links.,https://www.golfgtiforum.co.uk/index.php?topic=245312.0,1,0.2902662784653253,2.0_TSI,2013,MK7,,none,high,3,25,"[0.2902662784653253, 0.009399996289883847, 0.011533217976869433, 0.014139454289882154, 0.010896797320996496, 0.027640357213999357, 0.013300158767813175, 0.05034563494653415, 0.028748427956451463, 0.09000769210720476, 0.026285910755620784, 0.01378643697102469, 0.01406425333151764, 0.02766455397995881, 0.01581423932082568, 0.016959368644350506, 0.012356100141341189, 0.025993162988966877, 0.0112166170049103, 0.030613222488222847, 0.025712054355177136, 0.01973195792693862, 0.06288654517729295, 0.016540071784137248, 0.012763441426829308, 0.014156145526737853, 0.021689754059255807]"
doc_00009,Sudden Increase In Exhaust Noise,https://www.golfgtiforum.co.uk/index.php?topic=288481.0,6,0.20562205451921806,2.0_TSI,2010,MK7.5,23000.0,high,high,2,11,"[0.020098706150299284, 0.010298682377377006, 0.009444759893651775, 0.010191066287906954, 0.010625885868267682, 0.20562205451921806, 0.010283122528685667, 0.015502276371575271, 0.03357513208022126, 0.022408301276939747, 0.021452404346787527, 0.012035625475476212, 0.010155580367985303, 0.01593252515208775, 0.011191047960059356, 0.010387326410259272, 0.010643417887593074, 0.017078535998549447, 0.00947763296646889, 0.01805836677860932, 0.013267916552259404, 0.018759908782463232, 0.02056313078384808, 0.018057897784906473, 0.009807614921792319, 0.011639193677199814, 0.01280619165465469]"
doc_00010,DSG oil change,https://www.golfgtiforum.co.uk/index.php?topic=290365.0,4,0.3406440536885974,unknown,,unknown,80000.0,high,high,1,7,"[0.019311907688859507, 0.012724170484486163, 0.03356031463335062, 0.3406440536885974, 0.014416313641792702, 0.014851985737909695, 0.018503416710467787, 0.023184207632781735, 0.01460097994144578, 0.017567627716566846, 0.015409302091049654, 0.013731908533234761, 0.014382007038384872, 0.018942599821267798, 0.017210198689146312, 0.016762045284907656, 0.013718439464246146, 0.025885605041842077, 0.013183980498499982, 0.017271751875837512, 0.041260067041653546, 0.01563672910501245, 0.018244690193994367, 0.013791490985249266, 0.14094926380959877, 0.016233622108663557, 0.017579048526023003]"
doc_00011,Soundaktor disconnection,https://www.golfgtiforum.co.uk/index.php?topic=277484.0,6,0.0875226590797714,2.0_TSI,,MK8,5000.0,high,high,2,18,"[0.02263312536331382, 0.012599660902346842, 0.011162924969996598, 0.011209384775958604, 0.011573253051984058, 0.0875226590797714, 0.013386590017093237, 0.017082550829280847, 0.028437670422415354, 0.024432337501566766, 0.027682374495010962, 0.016822175354033173, 0.01408038567802873, 0.02414019640653399, 0.0152741581862148, 0.013933530291604216, 0.01176716663017376, 0.02174641853372372, 0.01080399827601464, 0.01676414570344127, 0.01541997944437905, 0.023714976326336127, 0.01995622764837574, 0.020392883524714064, 0.010949609350552818, 0.013778520720935201, 0.017900737566137116]"
doc_00013,Battery low voltage,https://www.golfgtiforum.co.uk/index.php?topic=290971.0,13,0.0368324419803798,2.0_TSI,2020,unknown,33000.0,high,high,2,6,"[0.006526220371136134, 0.005419995869113998, 0.007718234720234576, 0.005685242755872197, 0.004152962667063425, 0.006268525202783167, 0.014201578570193595, 0.00588560113850948, 0.005738406068975008, 0.005906895062332399, 0.008048511275198945, 0.015202442115613734, 0.0368324419803798, 0.013162545679514321, 0.015408553573569263, 0.010812017419368167, 0.00415356213812699, 0.009809691570438518, 0.004168061405815443, 0.005112022513630834, 0.0067892826006268866, 0.008460250491527441, 0.005590605571521417, 0.006858994948603446, 0.006221106995388806, 0.005118957355125191, 0.014295278722589587]"
doc_00016,Stage 1,https://www.golfgtiforum.co.uk/index.php?topic=291298.0,9,1.0,2.0_TSI,,unknown,,none,medium,1,4,"[6.155779511063679e-308, 2.0058688853859107e-308, 2.056894716178097e-308, 2.265992919208499e-308, 2.24227477153003e-308, 6.965138443520291e-308, 2.3368090448760616e-308, 3.948369511400292e-308, 1.0, 5.522541382577023e-308, 8.111031016403005e-308, 2.989484535193244e-308, 2.302795502120815e-308, 3.749380078861202e-308, 2.6555717056121506e-308, 2.419740928324747e-308, 2.4523230945279807e-308, 3.415323169804844e-308, 2.209129896376721e-308, 6.64830613925743e-308, 3.0408751852759123e-308, 5.538269205052557e-308, 7.641142334678057e-308, 5.47990953840854e-308, 2.19350466766743e-308, 2.609559340432398e-308, 3.0424725705357404e-308]"
doc_00017,Road Noise,https://www.golfgtiforum.co.uk/index.php?topic=290977.0,2,0.5168553674602563,2.0_TSI,2019,MK7.5,55000.0,high,high,3,14,"[0.014875163285373588, 0.5168553674602563, 0.018954898485504877, 0.01517735624777663, 0.028344067746238245, 0.019326095896364633, 0.017563735188196608, 0.014597115003574194, 0.014820739600880936, 0.01607743603847368, 0.015243052719203738, 0.015816518384457637, 0.01568686970136526, 0.017183551744619587, 0.01705635865224495, 0.016316370889033045, 0.01930501422456774, 0.02648945409422907, 0.019084811743900195, 0.012611950254253906, 0.016727197887568074, 0.015799187786520553, 0.013949476058909062, 0.014830786285152334, 0.01599519216707462, 0.022624311959038444, 0.016948453488707788]"
doc_00018,acceleration hesitation,https://www.golfgtiforum.co.uk/index.php?topic=291299.0,22,0.6887789893262202,2.0_TSI,2017,Golf_R,41000.0,high,high,2,8,"[0.009338051998388627, 0.005704186015202939, 0.006787106721256039, 0.006356475150535487, 0.00526677062534435, 0.011417997843045398, 0.009900666007326439, 0.008312317349210013, 0.016406268142728976, 0.009245976717498883, 0.04925524954811882, 0.016813319074355012, 0.008157435803434665, 0.014568801479675278, 0.011226958560859762, 0.008147655553967712, 0.005421017087275434, 0.00953846484767975, 0.005239850710771111, 0.010195723365837954, 0.008302364574926679, 0.6887789893262202, 0.01023233843106241, 0.04072921388771673, 0.006691720813580773, 0.006359110888109181, 0.011067601783578983]"
doc_00023,"Rear Main seal install fail, twice! Please help!",https://www.golfgtiforum.co.uk/index.php?topic=291309.0,3,0.02669394123974804,TSI_unknown,,MK7.5,,none,high,1,11,"[0.006434327584522427, 0.004172387240020558, 0.02669394123974804, 0.020577158304762273, 0.005045381023767426, 0.005349629394994563, 0.008681143328707541, 0.007133202964706857, 0.004992428994899057, 0.0058928181275066105, 0.0055207718787750335, 0.004941725202255784, 0.005322929420391748, 0.00754282216158961, 0.00756606749060624, 0.006916389913578006, 0.004635928701285901, 0.011711687627684934, 0.004539894596954553, 0.005336007831725124, 0.013095995441204952, 0.005841805313346791, 0.005765502687723145, 0.0050363380397851895, 0.037554479185202404, 0.005817737879365216, 0.007322435304495008]"
doc_00028,Racingline or Revo,https://www.golfgtiforum.co.uk/index.php?topic=291328.0,9,1.0,2.0_TSI,,MK7,5000.0,high,high,1,15,"[5.94693509722513e-308, 2.014062934294738e-308, 2.0781153854876525e-308, 2.2815064268360997e-308, 2.231916165456411e-308, 6.971034065953101e-308, 2.3677665880790654e-308, 3.920077120255986e-308, 1.0, 5.390219206747352e-308, 8.486452596775667e-308, 3.0432273651471973e-308, 2.323307799400443e-308, 3.79020246766867e-308, 2.6845693336733324e-308, 2.43102605101166e-308, 2.429380687605375e-308, 3.4311632963088014e-308, 2.194312086892475e-308, 6.663563191777029e-308, 3.051367772970538e-308, 5.758277456023619e-308, 7.472226532980448e-308, 5.721498573798687e-308, 2.213659300378776e-308, 2.595983764695942e-308, 3.066757941676911e-308]"
doc_00029,AC leak...,https://www.golfgtiforum.co.uk/index.php?topic=291361.0,3,0.2504368043243596,unknown,,unknown,,none,high,1,6,"[0.012834161201131188, 0.012419658537996354, 0.2504368043243596, 0.02900083679107804, 0.011216387454060239, 0.0113405362650962, 0.02207093328470628, 0.013625127401953289, 0.010327091596910377, 0.011867400861756845, 0.011745032376221182, 0.01270450256697967, 0.013991991128986844, 0.01635101544944408, 0.018158556786769954, 0.01564583693682568, 0.010084372262582814, 0.027620675490454705, 0.01000521568410571, 0.010563207580632292, 0.022617113226590827, 0.012554179681494698, 0.01141134991597346, 0.010858515379541255, 0.05116383700823244, 0.012762420281419443, 0.016424986544363838]"
doc_00030,Coming Home/Leaving Home Lights,https://www.golfgtiforum.co.uk/index.php?topic=291367.0,16,1.0,2.0_TSI,2019,MK7.5,40000.0,high,medium,1,2,"[3.2904377811208516e-308, 2.2799696819479347e-308, 3.238590349259544e-308, 2.843264152323379e-308, 2.1353471228832816e-308, 2.64053594310043e-308, 5.72063360641673e-308, 3.295491050518479e-308, 2.476100925419902e-308, 3.1616777838423797e-308, 3.0745571268206735e-308, 4.0145059468197194e-308, 5.42332301501503e-308, 8.566761605916545e-308, 8.355257557800751e-308, 1.0, 2.330690910313962e-308, 7.32166941546275e-308, 2.4109774911597146e-308, 2.3072452287675896e-308, 4.092340832640239e-308, 3.029257516419966e-308, 2.79276957797533e-308, 2.4481304791499194e-308, 2.795655071636066e-308, 3.170706456604812e-308, 1.5727911379971144e-307]"
doc_00031,Water pump leak,https://www.golfgtiforum.co.uk/index.php?topic=291371.0,3,0.4452417804665077,unknown,,unknown,23000.0,high,high,1,5,"[0.012961578484660341, 0.012578596854235959, 0.4452417804665077, 0.029460794766009518, 0.011332366966457903, 0.011458933928784594, 0.022691106235026872, 0.01375381807277103, 0.010482649408297422, 0.011974526359170614, 0.011944636212819834, 0.012979477716669501, 0.014279742294290179, 0.016535755487767857, 0.018565869560717835, 0.015877456300957767, 0.010203165767803342, 0.027101757050803123, 0.010137570622657143, 0.010745484652217722, 0.02256478037671564, 0.012784903293896869, 0.011556049560189208, 0.011078236197072117, 0.05367332725364685, 0.01285413921844838, 0.016629101896625358]"
doc_00035,Lighter wheels = Rougher ride?,https://www.golfgtiforum.co.uk/index.php?topic=291369.0,17,0.5867084693471367,2.0_TSI,,unknown,,none,medium,1,9,"[0.007105838843480528, 0.006225153102348353, 0.005036333315968995, 0.005650478793863556, 0.01647263438554428, 0.0065559601544614215, 0.004980687923882278, 0.007079405832950546, 0.006051369449223585, 0.008227773642797873, 0.005484955929317075, 0.004683398761496133, 0.004485856632219887, 0.0061232905058023375, 0.0053486202765958, 0.005879470048572455, 0.5867084693471367, 0.008752212762885367, 0.044936215780095635, 0.005551570801261965, 0.007208183025243346, 0.005113672182772388, 0.006693877962228808, 0.0048299030684437316, 0.0051232562960155026, 0.042091419281123206, 0.0058325370179716]"
doc_00040,Coolant silicon bag,https://www.golfgtiforum.co.uk/index.php?topic=291396.0,3,1.0,2.0_TSI,2016,unknown,,none,medium,1,11,"[2.4576637582579475e-308, 2.561543960558209e-308, 1.0, 5.25589753196109e-308, 2.2223004672328043e-308, 2.217860919964393e-308, 4.542080434867761e-308, 2.5790751876439577e-308, 2.0296920784045945e-308, 2.275969278150522e-308, 2.318248477695207e-308, 2.5786919173639845e-308, 2.849987495386273e-308, 3.13543663023799e-308, 3.654076778571976e-308, 3.062298730408152e-308, 1.985139073268902e-308, 4.8944505594735745e-308, 1.9813064887673937e-308, 2.0706978523002753e-308, 3.9862522239690334e-308, 2.491056427986993e-308, 2.2023370038428567e-308, 2.1813796596744996e-308, 9.484871729333834e-308, 2.465726512631655e-308, 3.176875768815489e-308]"
