issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,model_scope,affected_engines_original,_scope_notes,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence
water_ingress_blocked_drains,Water ingress from blocked scuttle or sunroof drains,Water leaks,body,chronic_failure,medium,high,[],,,"Water floods the interior, causing sodden carpets and puddles on the floor, or water accumulates in the scuttle panel area. Water can also leak into the boot.","Scuttle panel drain tube blockage, sunroof drain blockage and seal failure, or degraded rubber bungs and door seals.","Clear debris from scuttle panel drains, replace rubber bungs, check and replace door seals.","[""Wet carpets"", ""Damp smell"", ""Water in courtesy light"", ""Water pooling near windshield base"", ""Damp footwells"", ""Water in spare wheel well""]","Check carpets for dampness, inspect scuttle panel and sunroof drains, check scuttle panel area for debris and signs of water damage or rust. Check boot floor and spare wheel well for dampness.",3,2,"[{""video_id"": ""V87ZBmLrkyU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""VQ3YHsEDV7I"", ""title"": ""Renault Clio 2006 wipers not working. Fault finding and repair."", ""channel"": ""LM Auto Repairs"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,"Merged from multiple water ingress issues including scuttle drain, sunroof, boot, and interior leaks.",3,"[""all_renault_clio_mk1""]","[""1.1"", ""1.2"", ""1.4"", ""1.7"", ""1.8"", ""1.9_D"", ""2.0""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 3}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1990-1998""], ""from_model_scope_window"": [""1990-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1990-1998"", ""fallback_window_source"": ""engine""}"
engine_oil_issues,Engine oil degrades quickly and may leak,Oil issues,engine,wear_item,medium,high,"[""1.1"", ""1.2"", ""1.4"", ""1.7"", ""1.8"", ""1.9_D"", ""2.0""]",,,"Engines work their lubricating oils hard, requiring more frequent oil changes. Oil leaks occur from engine seals.",High engine stress and heat; factory-used non-solidifying sealant degrades over time.,Use high-quality oil and change more frequently.,"[""Oil darkens quickly"", ""Increased engine noise"", ""Oil spots under car"", ""Low oil level between changes""]","Check oil condition and service history for frequent changes. Inspect engine bay and underside for oil seepage, especially around gaskets.",2,2,"[{""video_id"": ""vFVYN8VBBYk"", ""title"": ""Renault Clio RS: Worthy of the hype, or just another French flop?  | ReDriven"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,2,"[""all_renault_clio_mk1""]",,,"{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1990-1998""], ""from_model_scope_window"": [""1990-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1990-1998"", ""fallback_window_source"": ""engine""}"
immobiliser_ecu_electrical_faults,Immobiliser and ECU electrical connection faults,Immobilizer/ECU fault,electrical,intermittent_fault,high,high,[],2002,,Vehicle fails to start or crank; immobilizer light may stay on solid red. Engine may fail to start due to poor ECU connection.,Immobilizer system fault or poor electrical connection at ECU.,"Check key transponder, immobilizer module, wiring, and secure ECU connectors.","[""Immobilizer light stays solid"", ""No fuel pump prime"", ""Intermittent no-start"", ""Electrical gremlins""]","Verify immobilizer light behavior, key recognition, and inspect ECU box connections for corrosion or looseness.",2,2,"[{""video_id"": ""oQAwOZ8X8X0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""7N_vokq9ZME"", ""title"": ""2002 Renault Clio 2 / II non start issue - Profanity warnings"", ""channel"": ""Church House Classics"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,Year 2002 specified in one source but vehicle corpus ends 1998; may apply to later models or incorrect data.,2,"[""all_renault_clio_mk1""]","[""1.1"", ""1.2"", ""1.4"", ""1.7"", ""1.8"", ""1.9_D"", ""2.0""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""2002"", ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1990-1998""], ""from_model_scope_window"": [""1990-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1990-1998"", ""fallback_window_source"": ""engine""}"
suspension_noise_and_harshness,"Suspension rattles, squeaks, and harsh ride",Suspension issues,suspension,wear_item,medium,high,[],pre-update phase one car,,"Rattles and squeaks develop, and suspension becomes firm and crashy, especially in pre-update models. Noticeable noise on rough roads.","Worn suspension bushings or components, aging suspension design.","Inspect and replace worn suspension parts like shocks, struts, and bushings; consider upgrades.","[""Noise over bumps"", ""Creaking when turning"", ""Harsh ride quality"", ""Increased impact noise"", ""Clunks or rattles over bumps""]","Listen for noises over bumps, check suspension components for wear, and test drive over varied surfaces.",2,2,"[{""video_id"": ""vFVYN8VBBYk"", ""title"": ""Renault Clio RS: Worthy of the hype, or just another French flop?  | ReDriven"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic"", ""trim"": ""base""}, {""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Affects pre-update models more severely.,2,"[""all_renault_clio_mk1""]","[""1.1"", ""1.2"", ""1.4"", ""1.7"", ""1.8"", ""1.9_D"", ""2.0""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": ""pre-update phase one car"", ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1990-1998""], ""from_model_scope_window"": [""1990-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1990-1998"", ""fallback_window_source"": ""engine""}"
wiper_motor_failure,Front and rear wiper motor failure or sticking,Wiper motor failure,electrical,chronic_failure,medium,high,[],,,Wipers can stick mid-screen or fail permanently for both front and rear wipers.,Faulty motor or chafed wiring.,,"[""Wipers moving erratically"", ""Intermittent wiper operation""]",Test wipers at all speeds and check for smooth operation.,2,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Mentioned in two videos with slightly different symptoms; merged as same component failure.,2,"[""all_renault_clio_mk1""]","[""2.0""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1993-1998""], ""from_model_scope_window"": [""1993-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1993-1998"", ""fallback_window_source"": ""engine""}"
airbag_system_electrical_fault,Airbag system electrical faults,Airbag faults,electrical,sensor_fault,medium,medium,[],,,Airbag warning light and service light illuminate on the dashboard.,Faulty seatbelt pretensioner connector or passenger side impact sensor circuit failure.,,"[""Dashboard warning lights""]",Check for airbag warning light on startup.,1,1,"[{""video_id"": ""1t2FLp23JdQ"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Merged from 'Faulty seatbelt pretensioner connector' and 'Passenger side impact sensor failure' as they share the same symptom and system.,1,"[""all_renault_clio_mk1""]","[""1.1"", ""1.2"", ""1.4"", ""1.7"", ""1.8"", ""1.9_D"", ""2.0""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1990-1998""], ""from_model_scope_window"": [""1990-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1990-1998"", ""fallback_window_source"": ""engine""}"
body_rust_multiple_areas,"Rust on sills, rear arches, and fuel filler cap",Body rust,body,structural,high,high,[],,,"Rust can develop on the sills (hidden by plastic side skirts), rear wheel arches, and around the fuel filler cap area.","Corrosion due to age, moisture, and design.","Cut out and weld in new metal, treat and protect.","[""Visible bubbling paint"", ""Flaky rust spots""]","Check sills thoroughly by removing side skirts, inspect rear wheel arches and fuel filler cap area for rust.",1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Consolidated from multiple rust-related raw issues.,1,"[""all_renault_clio_mk1""]","[""2.0""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1993-1998""], ""from_model_scope_window"": [""1993-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1993-1998"", ""fallback_window_source"": ""engine""}"
clutch_wear_high_pedal,"Clutch wear, high pedal",Clutch wear,gearbox,wear_item,medium,high,"[""2.0""]",,,The self-adjusting clutch pedal rises high as the clutch wears out.,Normal clutch wear.,Replace clutch assembly.,"[""High clutch bite point"", ""Slipping under load""]",Check clutch pedal height and feel for slipping during test drive.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1993-1998""], ""from_model_scope_window"": [""1993-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1993-1998"", ""fallback_window_source"": ""engine""}"
crankshaft_position_sensor_failure,Crankshaft position sensor failure,Crank sensor failure,electrical,sensor_fault,high,high,[],,,"Car fails to start, with the magnetized crank sensor losing its magnetic field.",Crankshaft position sensor failure,Replace crankshaft position sensor,"[""Intermittent no-start"", ""Stalling""]",Check sensor output with a multimeter or scan tool.,1,1,"[{""video_id"": ""9oO0xSrvs1M"", ""title"": ""Renualt clio 1.2 16v starting problem fix"", ""channel"": ""Help Yourself"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]","[""1.2""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1996-1998""], ""from_model_scope_window"": [""1996-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1996-1998"", ""fallback_window_source"": ""engine""}"
defazer_pulley_rattle,Defazer pulley rattles when engine is hot,Defazer pulley rattle,engine,noise,medium,medium,"[""2.0""]",,,A faulty defazer pulley in the VVT system rattles when the engine is hot.,,,"[""Rattling noise from engine when hot""]",Listen for rattling from the engine bay after a warm-up or test drive.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""RENAULT CLIO 182 BUYERS GUIDE | Here's Why They're Still Worth Buying!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk1""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1993-1998""], ""from_model_scope_window"": [""1993-1998""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1993-1998"", ""fallback_window_source"": ""engine""}"
