issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,merged_from_issue_ids,model_scope,affected_engines_original,_scope_notes,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated
front_wings_rust,Rust on front wings and wheel arches,Front wing rust,body,structural,medium,high,[],,,"Rust develops on the front wings and wheel arches, likely due to vibration from the engine.",Corrosion accelerated by vibration and road debris.,"Repair or replace rusted panels, apply anti-corrosion treatment.","[""Visible rust bubbles on front wings"", ""Paint flaking near wheel arches""]","Check front wings and inner wheel arches thoroughly for rust, especially on diesel models.",3,1,"[{""video_id"": ""15xeRnfHvS8"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""actmbuVmHeA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""DTw2c5EAbkY"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Merged from 'Rust on front wings' and 'Rusty front wheel arches'.,3,"[""front_wings_rust"", ""rust_front_wings""]","[""all_vw_golf_mk5""]","[""1.4"", ""1.4_FSI"", ""1.4_TSI"", ""1.6"", ""1.6_FSI"", ""1.9_TDI"", ""2.0_FSI"", ""2.0_SDI"", ""2.0_TDI_PD"", ""2.0_TFSI"", ""3.2_R32""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 3}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2006""], ""from_engine_production_windows"": [""2003-2009""], ""from_model_scope_window"": [""2003-2009""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2006""}",2006
door_wiring_harness_failure,Door and hatch wiring harness damage causing electrical failures,Door wiring damage,electrical,chronic_failure,medium,high,[],,,"Windows, door locks, hatch release, or rear wiper do not work due to wiring damage at hinge points.",Wiring harness fatigue or damage at door or hatch hinge area,Replace or repair damaged wiring harness section,"[""Intermittent window/lock/mirror operation"", ""Door control module errors"", ""Intermittent window operation"", ""Door lock malfunctions"", ""Intermittent hatch release"", ""Rear wiper failure""]",Check all door and hatch electrical functions repeatedly; inspect wiring boots at door and hatch hinges for cracks or exposed wires.,2,2,"[{""video_id"": ""EpgWWrcrYnk"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""DsTJ1tT2OH0"", ""title"": ""How NOT To Buy a MK5 VW GTI"", ""channel"": ""HumbleMechanic"", ""video_type_category"": ""organic"", ""trim"": ""GTI""}]",youtube,medium,Common in many VW models of this era due to flexing. Merged door and hatch issues.,2,"[""door_hatch_wiring_harness_failure"", ""door_wiring_harness_failure"", ""hatch_wiring_harness_failure""]","[""all_vw_golf_mk5""]","[""1.9_TDI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""GTI"": 1, ""base"": 1}",2,mixed,1,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2003-2008""], ""from_model_scope_window"": [""2003-2008""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2003-2008"", ""fallback_window_source"": ""engine""}",
fsi_carbon_buildup_intake_valves,FSI engine carbon buildup on intake valves,Carbon Buildup,engine,chronic_failure,medium,high,"[""1.4_FSI"", ""1.6_FSI"", ""2.0_FSI""]",,,Engine runs lean off idle and is down on power.,Direct injection design leads to carbon deposits on intake valves.,Walnut blasting or chemical cleaning of intake valves.,"[""Rough idle"", ""Loss of power"", ""Poor fuel economy""]",Check for rough idle and consider a borescope inspection of intake valves.,2,1,"[{""video_id"": ""Vz1j3JU8E6M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""DsTJ1tT2OH0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Common to all direct injection FSI engines. Merged with general carbon/oil consumption for 1.4.,2,,"[""all_vw_golf_mk5""]",,,"{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2003-2008""], ""from_engine_production_windows"": [""2003-2008""], ""from_model_scope_window"": [""2003-2008""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2003-2008""}",2003-2008
1_4_tsi_twincharger_compressor,1.4 TSI twincharger compressor problem,Twincharger Issue,engine,chronic_failure,high,medium,"[""1.4_TSI""]",,,The 1.4 TSI twincharger can have problems with its compressor.,Failure of the supercharger clutch or related components.,Repair or replacement of supercharger components.,"[""Loss of boost"", ""Unusual noise from supercharger"", ""Check engine light""]",Listen for unusual noises from the supercharger and test for full boost pressure.,1,1,"[{""video_id"": ""Vz1j3JU8E6M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Specific to the twincharged (supercharged and turbocharged) 1.4 TSI engine.,1,,"[""all_vw_golf_mk5""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2003-2008""], ""from_engine_production_windows"": [""2005-2009""], ""from_model_scope_window"": [""2005-2009""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2005-2008""}",2005-2008
2_0_tdi_pd_multiple_failures,"2.0 TDI PD dual mass flywheel, oil, fuel pump, camshaft, cylinder head",TDI PD Issues,engine,chronic_failure,high,high,"[""2.0_TDI_PD""]",,,"Multiple potential problems including dual mass flywheel failure, oil consumption, fuel pump issues, worn camshaft, and cracked cylinder head.",Design and wear-related failures in various engine components.,Component-specific repairs or replacements.,"[""Excessive vibration"", ""High oil consumption"", ""Loss of power"", ""Unusual engine noise""]",Check service history for oil consumption and listen for flywheel rattle. Inspect for oil leaks and consider a compression test.,1,1,"[{""video_id"": ""Vz1j3JU8E6M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Multiple distinct but related failure points for this engine.,1,,"[""diesel_only""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2003-2008""], ""from_engine_production_windows"": [""2003-2008""], ""from_model_scope_window"": [""2003-2008""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2003-2008""}",2003-2008
ac_compressor_pulley_damper_failure,AC compressor pulley rubber damper failure,AC pulley failure,cooling,wear_item,medium,high,"[""1.9_TDI""]",,,"Air conditioning stops working despite the system having gas and the compressor clutch receiving power, because the pulley's rubber damper has broken, disconnecting the belt drive from the compressor.",Rubber damper in AC compressor pulley degrades and fails.,Replace AC compressor pulley or entire compressor.,"[""AC not blowing cold"", ""Unusual noise from AC compressor area""]",Check AC operation and listen for compressor noise.,1,1,"[{""video_id"": ""xL3gtwtSCLQ"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk5""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2003-2008""], ""from_model_scope_window"": [""2003-2008""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2003-2008"", ""fallback_window_source"": ""engine""}",
ac_refrigerant_pressure_fault,Air conditioning system inoperative,A/C failure,cooling,sensor_fault,medium,medium,"[""all""]",,,Air conditioning system is completely inoperative.,"Refrigerant pressure fault, leak, or compressor failure","Check refrigerant pressure, repair leaks, replace compressor if needed","[""A/C blows warm air"", ""Unusual noises from compressor""]",Test A/C operation and listen for compressor engagement,1,1,"[{""video_id"": ""DsTJ1tT2OH0"", ""title"": ""How NOT To Buy a MK5 VW GTI"", ""channel"": ""HumbleMechanic"", ""video_type_category"": ""organic"", ""trim"": ""GTI""}]",youtube,medium,,1,,"[""all_vw_golf_mk5""]",,,"{""GTI"": 1}",1,GTI,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2003-2009""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2003-2009"", ""fallback_window_source"": ""model_window""}",
air_conditioning_system_problems,Air conditioning system problems,AC problems,cooling,intermittent_fault,medium,medium,[],,,The air conditioning system may develop faults.,,,[],,1,1,"[{""video_id"": ""Vz1j3JU8E6M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk5""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2003-2008""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2003-2009""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2003-2008""}",2003-2008
airbag_system_faults,Airbag warning light illuminated,Airbag fault,electrical,sensor_fault,high,medium,[],,,Airbag warning light is illuminated on the instrument cluster.,"Faulty airbag sensor, clock spring, or control module",Diagnose with scan tool and replace faulty component,"[""Warning light on dashboard""]",Check for airbag warning light during ignition cycle,1,1,"[{""video_id"": ""DsTJ1tT2OH0"", ""title"": ""How NOT To Buy a MK5 VW GTI"", ""channel"": ""HumbleMechanic"", ""video_type_category"": ""organic"", ""trim"": ""GTI""}]",youtube,medium,,1,,"[""all_vw_golf_mk5""]","[""all""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""GTI"": 1}",1,GTI,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2003-2009""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2003-2009"", ""fallback_window_source"": ""model_window""}",
blower_motor_noise,Noisy blower motor,Blower noise,electrical,noise,low,medium,[],,,The driver hears a grumble or noise from the blower motor.,Worn motor bearings or debris in the fan.,Clean or replace the blower motor.,"[""Rumbling or grinding noise from dash vents""]",Test blower at all speeds for unusual noises.,1,1,"[{""video_id"": ""actmbuVmHeA"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,low,Engine specificity not provided.,1,,"[""all_vw_golf_mk5""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2003-2009""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2003-2009"", ""fallback_window_source"": ""model_window""}",
