issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count
suspension_handling_issues,Excessive body roll and light steering feel,Suspension roll,suspension,structural,low,medium,"[""1.5_DCI""]",,,"Suspension tends to roll in corners; steering lacks weight and feedback, reducing fun.",Suspension tuning for comfort,Aftermarket suspension upgrades or alignment adjustments,"[""Body lean in turns"", ""Vague steering response""]",Test drive on winding roads to assess body control and steering feedback.,2,1,"[{""video_id"": ""hN_e8p3y-X0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""QycnbLJuV0s"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,"Merged two separate suspension/handling complaints from different videos; 'excessive body roll' had no engine specified, so used engine from 'light steering' for consolidation.",2
suspension_handling_issues,Excessive body roll and light steering feel,Suspension roll,suspension,structural,low,medium,"[""1.5_DCI""]",,,"Suspension tends to roll in corners; steering lacks weight and feedback, reducing fun.",Suspension tuning for comfort,Aftermarket suspension upgrades or alignment adjustments,"[""Body lean in turns"", ""Vague steering response""]",Test drive on winding roads to assess body control and steering feedback.,2,1,"[{""video_id"": ""hN_e8p3y-X0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""QycnbLJuV0s"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,"Merged two separate suspension/handling complaints from different videos; 'excessive body roll' had no engine specified, so used engine from 'light steering' for consolidation.",2
engine_noise_characteristic,Noisy engine characteristic for diesel and three-cylinder,Engine noise,engine,noise,low,high,"[""0.9_TCE"", ""1.5_DCI""]",2013,,The diesel engine is quite noisy. The three-cylinder petrol engine is also quite noisy most of the time.,Typical diesel engine characteristic. Inherent characteristic of the three-cylinder engine.,,"[""Excessive clatter at idle or under load"", ""Excessive engine noise at idle and under load""]",Listen for abnormal knocking or rattling beyond typical diesel noise. Listen for engine noise during cold start and acceleration.,2,1,"[{""video_id"": ""hN_e8p3y-X0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""K4tUsjiai8Y"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Merged 'diesel_engine_noise' and 'engine_noise_vibration' as both describe inherent engine noise characteristics. Kept most specific year (2013) and combined affected engines.,2
carbon_buildup_intake_valves,Carbon buildup on intake valves and throttle body,Carbon buildup,engine,chronic_failure,medium,high,"[""0.9_TCE"", ""1.2_TCE""]",,,"Loss of power, rough idle, or misfires due to direct injection design.",Direct injection design leading to deposits.,Periodic cleaning of intake valves and throttle body.,"[""Rough idle"", ""Loss of power"", ""Misfires""]",Check for carbon deposits on intake valves and throttle body flap.,2,1,"[{""video_id"": ""_WqgVzlnzO4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}, {""video_id"": ""U_X59Q2rvUU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format""}]",youtube,high,Includes throttle body carbon buildup and sensor dependency from separate mentions.,2
egr_clogging,EGR valve and inlet conduit clogging,EGR clogging,exhaust,chronic_failure,medium,high,"[""1.5_DCI""]",,,"Reduced engine performance, warning lights, limp mode, or increased emissions due to carbon and soot buildup.",Carbon and soot accumulation from exhaust gas recirculation.,Cleaning or replacement of EGR valve and inlet conduit.,"[""Reduced performance"", ""Warning lights"", ""Limp mode"", ""Increased emissions""]","Inspect EGR valve and inlet conduit for carbon/soot buildup and check for related fault codes, especially on higher mileage vehicles.",2,1,"[{""video_id"": ""hHK51MNcEsI"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""U_X59Q2rvUU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format""}]",youtube,high,Merged EGR valve sooting and EGR inlet conduit clogging.,2
carbon_buildup_intake_valves,Carbon buildup on intake valves and throttle body,Carbon buildup,engine,chronic_failure,medium,high,"[""0.9_TCE"", ""1.2_TCE""]",,,"Loss of power, rough idle, or misfires due to direct injection design.",Direct injection design leading to deposits.,Periodic cleaning of intake valves and throttle body.,"[""Rough idle"", ""Loss of power"", ""Misfires""]",Check for carbon deposits on intake valves and throttle body flap.,2,1,"[{""video_id"": ""_WqgVzlnzO4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}, {""video_id"": ""U_X59Q2rvUU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format""}]",youtube,high,Includes throttle body carbon buildup and sensor dependency from separate mentions.,2
egr_system_clogging,EGR valve and inlet conduit clogging,EGR clogging,exhaust,chronic_failure,medium,high,"[""1.5_DCI""]",,,"Reduced engine performance, warning lights, limp mode, or increased emissions, especially with short trips.",Soot and carbon buildup from exhaust gas recirculation.,Clean or replace the EGR valve and inlet conduit.,"[""Reduced engine performance"", ""Warning lights"", ""Limp mode"", ""Increased emissions""]","Inspect EGR system for soot and carbon deposits during service, especially on higher mileage vehicles, and check for related fault codes.",2,1,"[{""video_id"": ""hHK51MNcEsI"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""U_X59Q2rvUU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format""}]",youtube,high,Merged EGR valve and inlet conduit clogging issues.,2
gearbox_issues_manual,Notchy manual gearbox and reverse gear grinding,Manual gearbox issues,gearbox,wear_item,medium,medium,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]",,,The gearbox feels notchy during shifts. Reverse gear may produce a grinding noise if not engaged carefully.,Synchromesh wear or clutch adjustment,Gearbox repair or clutch adjustment,"[""Notchy shifting feel"", ""Grinding noise when selecting reverse"", ""Difficulty engaging reverse""]",Test drive to assess gear shift smoothness. Test reverse gear engagement multiple times.,2,1,"[{""video_id"": ""BpSVplvqdl4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}, {""video_id"": ""Cf7MDFX--NE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,2
egr_valve_carbon_clogging_failure,EGR valve carbon clogging and internal failure,EGR valve clogging,exhaust,chronic_failure,medium,high,"[""1.5_DCI""]",,,EGR valve becomes very difficult to remove due to being blocked by carbon deposits; internal valve may work incorrectly when clogged.,Carbon deposit buildup,Clean or replace EGR valve,"[""Reduced engine performance"", ""Increased emissions""]",Check for fault codes related to EGR; inspect valve for carbon buildup if accessible.,1,1,"[{""video_id"": ""hHK51MNcEsI"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Two related issues from same video merged into one comprehensive failure description.,1
dpf_clogging_short_trips,DPF clogging from short trips,DPF clogging,exhaust,chronic_failure,high,high,"[""1.5_DCI""]",,,"Frequent regeneration requests, loss of power, or DPF warning light illumination.",Insufficient exhaust temperatures during short trips preventing regeneration.,Forced regeneration or replacement of DPF.,"[""DPF warning light"", ""Loss of power"", ""Frequent regeneration""]",Check DPF condition and regeneration history via diagnostic scan.,1,1,"[{""video_id"": ""U_X59Q2rvUU"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format""}]",youtube,high,,1
