issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,source_videos,source,data_quality,notes,source_video_id,source_title,source_bucket
dsg_mechatronics_unit_failure,DSG mechatronic unit failure causing drive loss or control issues,Mechatronic failure,gearbox,chronic_failure,high,high,"[""all""]",2008-2009,,"Gear indicator flashing on dash, car not moving, hard shifting, delayed gears, complete loss of forward drive","Short circuit in transmission control module circuit, often from old transmission oil with high sulfur content, or electronic/hydraulic failure","Replace mechatronics unit (often remanufactured) and use updated oil, ensure correct coding","[""Gear indicator flashing"", ""Burnt plastic smell"", ""Hard shifts"", ""Loss of drive""]","Check for blown fuses (e.g., F2 30A), service history for oil changes and TSB compliance, scan for transmission fault codes",3.0,"[{""video_id"": ""wxauAw_AuAo"", ""title"": ""DSG Gearbox Diagnosed explained Fixed"", ""bucket"": ""engine_issues""}, {""video_id"": ""BxW8Gu21pyU"", ""title"": ""The DSG Transmission Explained - How A DSG Transmission Works, Advantages, & Cars That Have Them"", ""bucket"": ""engine_issues""}, {""video_id"": ""ReWaJ5ZYZYY"", ""title"": ""DSG GEARBOX FAULT CAN I FIX IT???? IT'S A 50/50 CHANCE!!!! "", ""bucket"": ""engine_issues""}]",youtube,high,Recall issued for late 2000s models; control module is expensive; fuse F2 feeds the TCM; can involve hydraulic pump overheating or solenoid shorts,,,
dsg_flywheel_failure,DSG dual mass flywheel wear and vibration,Flywheel failure,gearbox,wear_item,high,high,"[""all""]",,,"Hard shifting, failure to engage gear when starting, vibration, eventual contact inside bell housing",Dual mass flywheel components wear out and go out of balance,"Replace flywheel, requires transmission removal","[""Hard shifts"", ""Delayed gear engagement"", ""Vibration""]",Check for vibration and harsh engagement during test drive,2.0,"[{""video_id"": ""BxW8Gu21pyU"", ""title"": ""The DSG Transmission Explained - How A DSG Transmission Works, Advantages, & Cars That Have Them"", ""bucket"": ""engine_issues""}, {""video_id"": ""wxauAw_AuAo"", ""title"": ""DSG Gearbox Diagnosed explained Fixed"", ""bucket"": ""engine_issues""}]",youtube,high,Described as the most common problem on DSG transmissions,,,
dsg_clutch_wear_and_filter_clogging,DSG clutch wear and filter clogging from neglected service,Clutch/filter wear,gearbox,wear_item,medium,high,"[""all""]",,150k-250k km,"Increased clutch wear, potential slippage or engagement issues, harsh shifting",Neglecting fluid and filter changes leads to contaminant buildup and friction material accumulation,"Replace fluid and filter regularly (every 35k-40k miles), may need clutch pack replacement if severely worn","[""Neglected service history"", ""Harsh shifting"", ""Missed service intervals""]","Verify DSG service records, inspect drained fluid for metal debris or excessive contamination",2.0,"[{""video_id"": ""BxW8Gu21pyU"", ""title"": ""The DSG Transmission Explained - How A DSG Transmission Works, Advantages, & Cars That Have Them"", ""bucket"": ""engine_issues""}, {""video_id"": ""ReWaJ5ZYZYY"", ""title"": ""DSG GEARBOX FAULT CAN I FIX IT???? IT'S A 50/50 CHANCE!!!! "", ""bucket"": ""engine_issues""}]",youtube,high,"With proper service, clutches can last well over 150,000 miles; fluid was found clean in one case indicating no major wear",,,
dsg_pressure_sensor_failure,DSG pressure sensor failure causing limp mode,Pressure sensor fault,gearbox,sensor_fault,high,high,"[""1.2_TSI"", ""1.4_TSI""]",,,"Car intermittently loses drive, recovers after restart; gearbox enters emergency/limp mode with warning",Pressure sensor in DSG gearbox fails,Replace faulty pressure sensors on mechatronics unit and reset adaptations,"[""Intermittent loss of drive"", ""Gearbox emergency mode warning"", ""Sudden loss of gear engagement""]",Check for fault codes related to clutch pressure sensors; monitor live data for pressure readings outside spec; test drive for intermittent limp mode,2.0,"[{""video_id"": ""ReWaJ5ZYZYY"", ""title"": ""DSG GEARBOX FAULT CAN I FIX IT???? IT'S A 50/50 CHANCE!!!! "", ""bucket"": ""engine_issues""}, {""video_id"": ""BxW8Gu21pyU"", ""title"": ""The DSG Transmission Explained - How A DSG Transmission Works, Advantages, & Cars That Have Them"", ""bucket"": ""engine_issues""}]",youtube,high,Issue specific to DQ200 (0AM) 7-speed dry DSG gearbox; sensors located under a metal plate on the mechatronics unit,,,
dsg_hard_or_soft_shifting,DSG hard or soft shifting characteristics,Shift quality issues,gearbox,intermittent_fault,low,high,"[""all""]",2018-2024,,"Occasional harsh or balky gear changes; or feels less sharp, more like a traditional automatic with slippy feel","Computer mispredicting driver input, rapid throttle changes, failing flywheel, or shift logic changed to vehicle speed based","More deliberate driving inputs, possible flywheel or mechatronic repair; TCU tuning can improve but may not match older feel","[""Jerky shifts during light throttle modulation"", ""Smooth but less responsive shifts""]",Test drive with varying throttle inputs to assess shift character preference,2.0,"[{""video_id"": ""BxW8Gu21pyU"", ""title"": ""The DSG Transmission Explained - How A DSG Transmission Works, Advantages, & Cars That Have Them"", ""bucket"": ""engine_issues""}, {""video_id"": ""wxauAw_AuAo"", ""title"": ""DSG Gearbox Diagnosed explained Fixed"", ""bucket"": ""engine_issues""}]",youtube,high,"Hard shifting common on older DSGs; soft shifting affects Golf R (2018+) and GTI (2019+) with DQ381, subjective disadvantage for performance",,,
water_pump_thermostat_housing_failure,Water pump and thermostat housing prone to early failure,Water pump failure,cooling,chronic_failure,high,high,"[""EA888"", ""all""]",,,"Coolant leak, potential engine overheating, coolant smell, low coolant","Poor plastic housing design, leak between housing and pump",Replacement of water pump and thermostat housing with updated kit,"[""Minor coolant leak"", ""Overheating"", ""Coolant smell under hood"", ""Wetness or residue around pump""]",Check for coolant leaks and overheating history; inspect under manifold for leaks,2.0,"[{""video_id"": ""Ud-hCsHR8I8"", ""title"": ""VW Golf 7 GTI used car Buyer's Guide - Common Problems, Parts Pricing, Used Car Pricing, Review"", ""bucket"": ""common_faults""}, {""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,high,Common across various Volkswagen group products; leak can worsen and lead to overheating,,,
ignition_coil_pack_failure,Ignition coil pack failures and revision needed,Coil pack failure,electrical,intermittent_fault,medium,medium,"[""EA888"", ""all""]",,,"Misfires, rough running, check engine light, possible running issues",Original coils may have updates,Coil pack replacement with updated coils if needed,"[""Misfires"", ""Rough idle"", ""Original coils still installed""]",Check for misfire codes or recent coil replacements; check if coils are original or updated,2.0,"[{""video_id"": ""Ud-hCsHR8I8"", ""title"": ""VW Golf 7 GTI used car Buyer's Guide - Common Problems, Parts Pricing, Used Car Pricing, Review"", ""bucket"": ""common_faults""}, {""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""bucket"": ""common_faults""}]",youtube,medium,Listed as a fairly common problem; coils may have been revised; replacement depends on condition,,,
interior_creaks_rattles,Interior creaks and rattles,Interior rattles,body,noise,low,high,"[""all""]",,,Various creaks and rattles inside the cabin,Typical for Volkswagen build quality; mentioned as expected by owner,,"[""Rattles from dashboard or trim"", ""Creaks over bumps""]",Listen for interior noises during test drive on rough roads,2.0,"[{""video_id"": ""JOaWTEIZEgQ"", ""title"": ""Mk7 VW Golf Gti Ownership Review - How Does It Hold Up As A Daily?"", ""bucket"": ""reviews""}, {""video_id"": ""uWlJroGaFS0"", ""title"": ""Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review."", ""bucket"": ""reviews""}]",youtube,high,Owner was forewarned about this issue; considered normal for the model,,,
battery_failure,Battery failure causing vehicle breakdown,Battery failure,electrical,wear_item,medium,high,"[""all""]",,,"Car won't start, electrical systems fail","Insufficient reserve capacity, especially with start/stop systems",Replace battery with one meeting reserve capacity requirements,"[""Dim headlights"", ""Slow cranking""]","Test battery for reserve capacity, not just cold cranking amps",1.0,"[{""video_id"": ""wxauAw_AuAo"", ""title"": ""DSG Gearbox Diagnosed explained Fixed"", ""bucket"": ""engine_issues""}]",youtube,high,Over 50% of breakdowns are battery or charging system related,,,
dsg_fluid_contamination,DSG hydraulic fluid leaking into gearbox oil,Fluid contamination,gearbox,fluid_leak,high,medium,"[""all""]",,,"Potential gearbox damage, shifting problems",Internal seal failure in mechatronics unit,Replace mechatronics unit and flush gearbox if contaminated,"[""Low hydraulic fluid"", ""Discolored gearbox oil""]",Check for proper fluid separation and levels,1.0,"[{""video_id"": ""wxauAw_AuAo"", ""title"": ""DSG Gearbox Diagnosed explained Fixed"", ""bucket"": ""engine_issues""}]",youtube,medium,Not observed in one case; unit held correct amount of fluid,,,
