topic,terms_frex,terms_prob,prevalence_pct,chronic_signal,thread_count,top_engine_specs,top_prod_years,mileage_median_miles,mileage_p20_miles,mileage_p80_miles
1,"interior, seats, dcc, hatch, series, s3, roof, estate, cupra, handling","interior, seats, dcc, hatch, series, s3, roof, estate, cupra, handling",12.7,1.835,339,"2.0_TSI: 86%, 2.0_TDI: 4%, 1.4_TSI: 3%","2013, 2014, 2017, 2016, 2015",20000.0,5000.0,40000.0
2,"rattle, shock, shocks, bearing, mounts, bushes, noises, creaking, rattles, mount","rattle, shock, shocks, bearing, mounts, bushes, noises, creaking, rattles, mount",7.4,1.106,198,"2.0_TSI: 59%, 2.0_TDI: 4%, 1.6_TDI: 1%","2013, 2016, 2017, 2019, 2014",16000.0,2000.0,40000.0
3,"coolant, thermostat, water pump, leak, bag, housing, heater, smell, thermostat housing, tools","coolant, thermostat, water pump, leak, bag, housing, heater, smell, thermostat housing, tools",5.9,1.306,157,"2.0_TSI: 59%, 2.0_TDI: 13%, TSI_unknown: 1%","2014, 2016, 2013, 2015, 2019",27000.0,8000.0,54000.0
4,"oil change, filter, service plan, servicing, fluid, brake fluid, inspection, extended, extended warranty, oil filter","oil change, filter, service plan, servicing, fluid, brake fluid, inspection, extended, extended warranty, oil filter",5.5,1.205,146,"2.0_TSI: 65%, 2.0_TDI: 10%, 1.6_TDI: 1%","2013, 2018, 2014, 2019, 2016",13000.0,7000.0,30000.0
5,"discs, discs pads, disc, pad, rear discs, calipers, brembo, caliper, dust, rears","discs, discs pads, disc, pad, rear discs, calipers, brembo, caliper, dust, rears",5.2,1.022,138,"2.0_TSI: 63%, 2.0_TDI: 3%, 1.6_TDI: 1%","2016, 2017, 2019, 2014, 2013",15000.0,4200.0,38800.0
6,"gpf, cat, intake, regen, delete, pipe, downpipe, chain, milltek, filter","gpf, cat, intake, regen, delete, pipe, downpipe, chain, milltek, filter",4.7,0.92,125,"2.0_TSI: 66%, 2.0_TDI: 9%, TDI_unknown: 2%","2018, 2019, 2013, 2014, 2016",7000.0,2200.0,58800.0
7,"codes, epc, coil, epc light, limp mode, limp, fault code, scan, plugs, cleared","codes, epc, coil, epc light, limp mode, limp, fault code, scan, plugs, cleared",4.6,1.016,124,"2.0_TSI: 49%, 2.0_TDI: 5%, TSI_unknown: 2%","2014, 2013, 2015, 2018, 2016",14208.0,3940.0,39400.0
8,"dtd, lease, pcp, dynaudio, nav, wbac, finance, ex, market, trade","dtd, lease, pcp, dynaudio, nav, wbac, finance, ex, market, trade",4.4,1.822,118,"2.0_TSI: 89%, 2.0_TDI: 4%, 1.4_TSI: 2%","2017, 2016, 2014, 2013, 2018",16000.0,4199.0,30799.0
9,"revo, map, pedal box, tuning, throttle, dtuk, remap, boost, apr, tuning box","revo, map, pedal box, tuning, throttle, dtuk, remap, boost, apr, tuning box",4.1,1.431,109,"2.0_TSI: 82%, 2.0_TDI: 6%, 1.4_TSI: 2%","2015, 2014, 2019, 2018, 2013",7500.0,3000.0,22600.0
10,"dcc, leather, seats, grey, nav, dynaudio, carbon, keyless, non pp, interior","dcc, leather, seats, grey, nav, dynaudio, carbon, keyless, non pp, interior",5.1,1.75,136,"2.0_TSI: 88%, 2.0_TDI: 8%, 1.2_TSI: 1%","2014, 2013, 2017, 2012, 2011",5000.0,2000.0,29200.0
11,"paddles, eco, throttle, sport mode, individual, dsg box, manual mode, gears, modes, manual dsg","paddles, eco, throttle, sport mode, individual, dsg box, manual mode, gears, modes, manual dsg",4.0,1.349,106,"2.0_TSI: 71%, 2.0_TDI: 9%, 1.4_TSI: 1%","2013, 2016, 2014, 2019, 2017",5000.0,2000.0,25200.0
12,"handbrake, auto hold, stop start, autohold, start stop, foot brake, seatbelt, engage, brake pedal, hand brake","handbrake, auto hold, stop start, autohold, start stop, foot brake, seatbelt, engage, brake pedal, hand brake",2.8,1.395,76,"2.0_TSI: 55%, 2.0_TDI: 14%, 1.6_TDI: 4%","2013, 2016, 2012, 2015, 2019",17000.0,1880.0,39000.0
13,"keyless, fob, agm, batteries, stolen, security, alarm, insurance, key fob, unlock","keyless, fob, agm, batteries, stolen, security, alarm, insurance, key fob, unlock",2.7,1.694,72,"2.0_TSI: 67%, 2.0_TDI: 4%","2016, 2025, 2013, 2015, 2020",15000.0,7000.0,33000.0
14,"coding, album, display, files, music, nav, card, mp3, folder, sd","coding, album, display, files, music, nav, card, mp3, folder, sd",2.8,1.527,74,"2.0_TSI: 47%, 2.0_TDI: 12%, 1.2_TSI: 1%","2016, 2013, 2018, 2014, 2012",5000.0,3200.0,9200.0
15,"radar, emergency, cruise control, collision, insurance, adc, bus, accident, lane assist, overtake","radar, emergency, cruise control, collision, insurance, adc, bus, accident, lane assist, overtake",2.8,1.342,76,"2.0_TSI: 47%, 2.0_TDI: 20%, 1.6_TDI: 3%","2013, 2014, 2017, 2016, 2019",5500.0,3600.0,28000.0
16,"beam, headlights, led, bulb, dynamic, bulbs, coding, 5q0, xenon, hw","beam, headlights, led, bulb, dynamic, bulbs, coding, 5q0, xenon, hw",2.4,1.046,65,"2.0_TSI: 45%, 2.0_TDI: 12%, 1.6_TDI: 2%","2014, 2018, 2019, 2013, 2016",26000.0,12430.0,46198.0
17,"alloys, diamond, 225, spacers, diamond cut, prets, vwr, springs, weight, 235","alloys, diamond, 225, spacers, diamond cut, prets, vwr, springs, weight, 235",2.5,1.309,68,"2.0_TSI: 85%, 2.0_TDI: 1%","2013, 2014, 2017, 2019, 2012",3500.0,2000.0,25000.0
18,"glass, wiper, bonnet, wipers, spoiler, trim, loom, surround, tape, wiring","glass, wiper, bonnet, wipers, spoiler, trim, loom, surround, tape, wiring",2.4,1.477,65,"2.0_TSI: 52%, 2.0_TDI: 11%, TDI_unknown: 2%","2016, 2019, 2014, 2020, 2013",5000.0,3400.0,26400.0
19,"bridgestones, snow, michelin, winter tyres, grip, conti, bridgestone, winters, goodyear, ps4","bridgestones, snow, michelin, winter tyres, grip, conti, bridgestone, winters, goodyear, ps4",2.2,1.65,60,"2.0_TSI: 70%, 2.0_TDI: 13%, 1.6_TDI: 3%","2013, 2018, 2012, 2014, 2015",15000.0,5000.0,24000.0
20,"tank, economy, consumption, 95, octane, unleaded, eco, ron, long term, 40mpg","tank, economy, consumption, 95, octane, unleaded, eco, ron, long term, 40mpg",3.4,1.505,91,"2.0_TSI: 65%, 2.0_TDI: 16%, 1.6_TDI: 3%","2013, 2018, 2017, 2008, 2016",9000.0,2000.0,20000.0
